SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"10672-1",4106513,2,"Black","System: Animals And Creatures",30103,"Bat","http://cache.lego.com/media/bricks/5/1/4106513.jpg",65
"10672-1",4181144,3,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"10672-1",6037390,1,"Black","System: Bricks",93888,"Brick 2X8","http://cache.lego.com/media/bricks/5/1/6037390.jpg",35
"10672-1",4251161,2,"Black","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4251161.jpg",144
"10672-1",4613153,2,"Black","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4613153.jpg",78
"10672-1",4214559,1,"Black","System: Bricks, Special",47905,"Brick 1X1 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/4214559.jpg",71
"10672-1",370026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"10672-1",4551168,1,"Black","System: Bricks, With Slope",86665,"Roof Tile 2X2 No. 15","http://cache.lego.com/media/bricks/5/1/4551168.jpg",19
"10672-1",4541191,2,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"10672-1",4620385,1,"Black","System: Fences And Ladders",95229,"Lattice Ø3.18 3X8M","http://cache.lego.com/media/bricks/5/1/4620385.jpg",12
"10672-1",396226,1,"Black","System: Figure Accessories In Hand",3962,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/396226.jpg",212
"10672-1",434926,1,"Black","System: Figure Accessories In Hand",4349,"Megaphone","http://cache.lego.com/media/bricks/5/1/434926.jpg",167
"10672-1",6100054,1,"Black","System: Figure Accessories In Hand",19220,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/6100054.jpg",103
