SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"10673-1",300126,6,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"10673-1",300226,2,"Black","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300226.jpg",335
"10673-1",300326,4,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"10673-1",300426,4,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"10673-1",301026,2,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"10673-1",6037390,1,"Black","System: Bricks",93888,"Brick 2X8","http://cache.lego.com/media/bricks/5/1/6037390.jpg",35
"10673-1",4163904,1,"Black","System: Bricks, Special",30389,"Brick 2X2 W/Stub Vertical","http://cache.lego.com/media/bricks/5/1/4163904.jpg",39
"10673-1",303926,3,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"10673-1",329826,2,"Black","System: Bricks, With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329826.jpg",164
"10673-1",428626,4,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"10673-1",4144567,1,"Black","System: Connectors",30396,"Ball Coupling Friction/Fork","http://cache.lego.com/media/bricks/5/1/4144567.jpg",39
"10673-1",4667463,2,"Black","System: Cranes And Scaffold",95347,"Lattice Tower 2X2X10 W/Cross","http://cache.lego.com/media/bricks/5/1/4667463.jpg",34
"10673-1",400626,1,"Black","System: Figure Accessories In Hand",4006,"Screwdriver/Spanner","http://cache.lego.com/media/bricks/5/1/400626.jpg",219
"10673-1",6036006,2,"Black","System: Figure, Head Clothing",14045,"Headset W. Shaft Ø1.5","http://cache.lego.com/media/bricks/5/1/6036006.jpg",18
"10673-1",303526,1,"Black","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303526.jpg",211
"10673-1",346026,2,"Black","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/346026.jpg",371
"10673-1",379526,3,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"10673-1",243226,2,"Black","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243226.jpg",233
"10673-1",6061032,1,"Black","System: Plates, Special",10247,"Plate 2X2 + One Hule Ø4,8","http://cache.lego.com/media/bricks/5/1/6061032.jpg",69
"10673-1",395726,1,"Black","System: Signs, Flags And Poles",3957,"Whip/Aerial","http://cache.lego.com/media/bricks/5/1/395726.jpg",210
"10673-1",6057397,2,"Black","System: Transportation Means, Vehicles",16091,"Stee.Wheel Ø16 F/Console 2X2","http://cache.lego.com/media/bricks/5/1/6057397.jpg",43
"10673-1",4568644,8,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"10673-1",6025012,1,"Black","System: Wheel Base",12622,"Waggon Bottom, Assembly","http://cache.lego.com/media/bricks/5/1/6025012.jpg",10
"10673-1",300123,5,"Bright Blue","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300123.jpg",332
"10673-1",300223,2,"Bright Blue","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300223.jpg",256
"10673-1",300323,3,"Bright Blue","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300323.jpg",359
"10673-1",6061587,2,"Bright Blue","System: Bricks With Bows And Arches",16485,"Plate W. Bow 2X4X2/3 'No. 1'","http://cache.lego.com/media/bricks/5/1/6061587.jpg",1
"10673-1",614323,4,"Bright Blue","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614323.jpg",52
"10673-1",428623,2,"Bright Blue","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428623.jpg",94
"10673-1",4171849,2,"Bright Blue","System: Decoration Elements",30602,"Front, 2X2, Sport","http://cache.lego.com/media/bricks/5/1/4171849.jpg",31
"10673-1",4597338,4,"Bright Blue","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4597338.jpg",29
"10673-1",4298618,1,"Bright Blue","System: Figure, Head Clothing",30124,"Mini Crash Helmet","http://cache.lego.com/media/bricks/5/1/4298618.jpg",38
"10673-1",6032176,1,"Bright Blue","System: Figure, Head Clothing",11303,"Figur Head Clothing No 6","http://cache.lego.com/media/bricks/5/1/6032176.jpg",19
"10673-1",9341,1,"Bright Blue","System: Mini Figure",73200,"Mini Body Lowerpart Blue","http://cache.lego.com/media/bricks/5/1/9341.jpg",390
"10673-1",4118827,4,"Bright Orange","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4118827.jpg",96
"10673-1",4121739,3,"Bright Orange","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4121739.jpg",171
"10673-1",4153827,4,"Bright Orange","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4153827.jpg",102
"10673-1",6062601,2,"Bright Orange","System: Bricks, Special Circles And Angles",14918,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/6062601.jpg",9
"10673-1",4121967,4,"Bright Orange","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121967.jpg",89
"10673-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"10673-1",4158355,4,"Bright Orange","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4158355.jpg",146
"10673-1",4159007,2,"Bright Orange","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4159007.jpg",112
"10673-1",300121,6,"Bright Red","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300121.jpg",436
"10673-1",300221,2,"Bright Red","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300221.jpg",305
"10673-1",300321,3,"Bright Red","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300321.jpg",429
"10673-1",300421,4,"Bright Red","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300421.jpg",585
"10673-1",301021,2,"Bright Red","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301021.jpg",408
"10673-1",4181138,1,"Bright Red","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181138.jpg",150
"10673-1",6061589,1,"Bright Red","System: Bricks With Bows And Arches",16486,"Plate W. Bow 2X4X2/3 'No. 2'","http://cache.lego.com/media/bricks/5/1/6061589.jpg",2
"10673-1",4170375,4,"Bright Red","System: Bricks, Special Circles And Angles",3063,"Curved Brick 2 Knobs","http://cache.lego.com/media/bricks/5/1/4170375.jpg",27
"10673-1",4567445,4,"Bright Red","System: Bricks, Special Circles And Angles",85080,"Brick 2X2W.Inside And Outs.Bow","http://cache.lego.com/media/bricks/5/1/4567445.jpg",13
"10673-1",303921,2,"Bright Red","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303921.jpg",237
