SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"10683-1",4163904,2,"Black","System: Bricks, Special",30389,"Brick 2X2 W/Stub Vertical","http://cache.lego.com/media/bricks/5/1/4163904.jpg",39
"10683-1",4167106,3,"Black","System: Bricks, Special",30386,"Brick 1X2 Fric/Stub/Fork Vert.","http://cache.lego.com/media/bricks/5/1/4167106.jpg",29
"10683-1",370026,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"10683-1",4515373,2,"Black","System: Bricks, With Slope",60481,"Roof Tile 2X1X2","http://cache.lego.com/media/bricks/5/1/4515373.jpg",55
"10683-1",4144567,1,"Black","System: Connectors",30396,"Ball Coupling Friction/Fork","http://cache.lego.com/media/bricks/5/1/4144567.jpg",39
"10683-1",4189009,1,"Black","System: Figure Accessories In Hand",3837,"Mini Shovel","http://cache.lego.com/media/bricks/5/1/4189009.jpg",48
"10683-1",241226,3,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"10683-1",6116785,1,"Black","System: Plates",21507,"Plate 4X4 W. 4 Knobs No. 14","http://cache.lego.com/media/bricks/5/1/6116785.jpg",1
"10683-1",4598528,2,"Black","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598528.jpg",200
"10683-1",6010831,1,"Black","System: Plates, Special Circles And Angles",74698,"Round Plate 2X2 W/Eye","http://cache.lego.com/media/bricks/5/1/6010831.jpg",65
"10683-1",6117932,1,"Black","System: Transportation Means, Vehicles",21709,"Shovel 4X6X2 1/3 Fric/Fork","http://cache.lego.com/media/bricks/4/1/6117932.jpg",7
"10683-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"10683-1",4578677,2,"Black","System: Tyres And Rims For Snap Ø3,2",87414,"Tyre High Narrow Ø15 X 6","http://cache.lego.com/media/bricks/5/1/4578677.jpg",74
"10683-1",4619323,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",92402,"Tyre Normal Wide Ø30,4 X 14","http://cache.lego.com/media/bricks/5/1/4619323.jpg",72
"10683-1",460026,3,"Black","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/460026.jpg",201
"10683-1",9341,2,"Bright Blue","System: Mini Figure",73200,"Mini Body Lowerpart Blue","http://cache.lego.com/media/bricks/5/1/9341.jpg",390
"10683-1",4548877,2,"Bright Blue","System: Mini Figure",76382,"Mini Upper Part 'No. 1470'","http://cache.lego.com/media/bricks/5/1/4548877.jpg",27
"10683-1",9566,2,"Bright Blue","System: Transportation Means, Vehicles",73081,"Console W/St.Wheel B/Bla","http://cache.lego.com/media/bricks/5/1/9566.jpg",156
