SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"10696-1",6022032,4,"Aqua","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/6022032.jpg",12
"10696-1",4619815,2,"Aqua","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4619815.jpg",2
"10696-1",4616211,2,"Aqua","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4616211.jpg",10
"10696-1",300526,3,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"10696-1",4288212,1,"Black","System: Bricks, Special",30236,"Brick 1X2 With Stick","http://cache.lego.com/media/bricks/5/1/4288212.jpg",61
"10696-1",306226,2,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"10696-1",4653822,1,"Black","System: Bricks, Special Circles And Angles",98100,"2X2 Round,Slope Brick W. Knob","http://cache.lego.com/media/bricks/5/1/4653822.jpg",21
"10696-1",6024730,1,"Black","System: Bricks, Special Circles And Angles",92947,"Profile Brick Ø15.83 W. Cross","http://cache.lego.com/media/bricks/5/1/6024730.jpg",35
"10696-1",366526,4,"Black","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366526.jpg",231
"10696-1",4121966,8,"Black","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121966.jpg",308
"10696-1",4539128,10,"Black","System: Frames, Windows, Walls And Doors",60032,"Wall Element 1X2X2 W. Window","http://cache.lego.com/media/bricks/5/1/4539128.jpg",11
"10696-1",302026,2,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"10696-1",4516020,1,"Black","System: Plates, Special",3184,"Coupling Plate 1X4 W. Ball","http://cache.lego.com/media/bricks/5/1/4516020.jpg",13
"10696-1",4535739,1,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"10696-1",6048855,1,"Black","System: Plates, Special",92411,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6048855.jpg",83
"10696-1",6117973,1,"Black","System: Plates, Special",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6117973.jpg",151
"10696-1",614126,2,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"10696-1",247926,1,"Black","System: Transportation Means, Aviation",2479,"Rotor","http://cache.lego.com/media/bricks/5/1/247926.jpg",142
"10696-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"10696-1",4578677,4,"Black","System: Tyres And Rims For Snap Ø3,2",87414,"Tyre High Narrow Ø15 X 6","http://cache.lego.com/media/bricks/5/1/4578677.jpg",74
