SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"21103-1",300526,4,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"21103-1",609126,2,"Black","System: Bricks With Bows And Arches",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/609126.jpg",145
"21103-1",407026,10,"Black","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/407026.jpg",297
"21103-1",303926,2,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"21103-1",4504382,2,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"21103-1",4548180,5,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"21103-1",393726,4,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"21103-1",393826,4,"Black","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393826.jpg",175
"21103-1",459926,2,"Black","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459926.jpg",209
"21103-1",242026,6,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"21103-1",243126,3,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"21103-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"21103-1",302226,3,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"21103-1",302326,3,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"21103-1",302426,2,"Black","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302426.jpg",320
"21103-1",303626,1,"Black","System: Plates",3036,"Plate 6X8","http://cache.lego.com/media/bricks/5/1/303626.jpg",136
"21103-1",306926,6,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"21103-1",307026,2,"Black","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",204
"21103-1",362326,2,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"21103-1",371026,3,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"21103-1",379526,3,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"21103-1",663626,1,"Black","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663626.jpg",298
"21103-1",255526,2,"Black","System: Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/255526.jpg",359
"21103-1",408126,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"21103-1",4107761,2,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"21103-1",4225201,2,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"21103-1",4632571,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4632571.jpg",113
"21103-1",6030718,2,"Black","System: Plates, Special",12825,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6030718.jpg",110
"21103-1",403226,1,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"21103-1",614126,1,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"21103-1",6057397,1,"Black","System: Transportation Means, Vehicles",16091,"Stee.Wheel Ø16 F/Console 2X2","http://cache.lego.com/media/bricks/5/1/6057397.jpg",43
"21103-1",4541455,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",61254,"Tyre Low Narrow Ø24X7Mm","http://cache.lego.com/media/bricks/5/1/4541455.jpg",63
"21103-1",249626,2,"Black","System: Tyres And Rims, Special",2496,"Wheel Axle Ø8.2/Ø1.9","http://cache.lego.com/media/bricks/5/1/249626.jpg",185
"21103-1",4142822,8,"Black","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4142822.jpg",183
"21103-1",4121715,16,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"21103-1",4514554,4,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",244
"21103-1",4212411,1,"Bright Blue","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4212411.jpg",55
"21103-1",306223,2,"Bright Blue","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306223.jpg",83
"21103-1",459923,2,"Bright Blue","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459923.jpg",46
"21103-1",4243815,1,"Bright Blue","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243815.jpg",81
"21103-1",4613257,2,"Bright Blue","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4613257.jpg",42
"21103-1",4143005,3,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"21103-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"21103-1",4158355,3,"Bright Orange","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4158355.jpg",146
"21103-1",6055829,1,"Bright Orange","System: Plates",15910,"Flat Tile 1X2 'No. 135'","http://cache.lego.com/media/bricks/5/1/6055829.jpg",1
"21103-1",4558886,2,"Bright Red","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4558886.jpg",72
