SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"21124-1",6101874,2,"Black","System: Animals And Creatures",19732,"Animal Legs No.2","http://cache.lego.com/media/bricks/5/1/6101874.jpg",4
"21124-1",300326,2,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"21124-1",4181144,2,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"21124-1",6102782,4,"Black","System: Functional Elements",19954,"Hinge Plate 1X2","http://cache.lego.com/media/bricks/5/1/6102782.jpg",23
"21124-1",302426,8,"Black","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302426.jpg",320
"21124-1",307026,4,"Black","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",204
"21124-1",379526,3,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"21124-1",663626,4,"Black","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663626.jpg",298
"21124-1",4225201,2,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"21124-1",4535739,4,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"21124-1",6162466,2,"Black","Various: Category Not Known",28272,"Figur Head No.1 'No.4'","http://cache.lego.com/media/bricks/5/1/6162466.jpg",3
"21124-1",4109995,1,"Brick Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",277
"21124-1",4114306,12,"Brick Yellow","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4114306.jpg",166
"21124-1",4113917,4,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"21124-1",4114001,1,"Brick Yellow","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/4114001.jpg",102
"21124-1",4565387,12,"Brick Yellow","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565387.jpg",44
"21124-1",300523,4,"Bright Blue","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300523.jpg",256
"21124-1",4496366,2,"Bright Blue","System: Decoration Elements",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/1/4496366.jpg",39
"21124-1",302023,1,"Bright Blue","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302023.jpg",357
"21124-1",302123,2,"Bright Blue","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302123.jpg",275
"21124-1",362323,2,"Bright Blue","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362323.jpg",113
"21124-1",379523,1,"Bright Blue","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379523.jpg",221
"21124-1",383223,1,"Bright Blue","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/383223.jpg",57
"21124-1",4560180,1,"Bright Blue","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560180.jpg",47
"21124-1",6109808,4,"Bright Green","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/6109808.jpg",9
"21124-1",4153825,5,"Bright Orange","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4153825.jpg",109
"21124-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"21124-1",6052391,1,"Bright Orange","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/6052391.jpg",10
"21124-1",302421,8,"Bright Red","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302421.jpg",222
