SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"21127-1",300126,1,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"21127-1",300326,9,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"21127-1",300526,8,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"21127-1",6037390,15,"Black","System: Bricks",93888,"Brick 2X8","http://cache.lego.com/media/bricks/5/1/6037390.jpg",35
"21127-1",302226,1,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"21127-1",303426,1,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"21127-1",379526,2,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"21127-1",4565323,8,"Black","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565323.jpg",123
"21127-1",403226,2,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"21127-1",4107136,2,"Black","Technic: Half Beams",32006,"Technic Lever 4M","http://cache.lego.com/media/bricks/5/1/4107136.jpg",104
"21127-1",6168646,2,"Black","Various: Category Not Known",28626,"Pl.Round 1X1 W. Throughg. Hole","http://cache.lego.com/media/bricks/5/1/6168646.jpg",22
"21127-1",4114306,12,"Brick Yellow","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4114306.jpg",166
"21127-1",6103001,2,"Brick Yellow","System: Bricks, Special",4216,"Brick 1X2 W. Groove","http://cache.lego.com/media/bricks/5/1/6103001.jpg",5
"21127-1",4125217,6,"Brick Yellow","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/4125217.jpg",52
"21127-1",4666579,2,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"21127-1",302023,1,"Bright Blue","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302023.jpg",357
"21127-1",4199519,3,"Bright Blue","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/4199519.jpg",31
"21127-1",4119479,1,"Bright Green","System: Foodstuff",33183,"Carrot Top","http://cache.lego.com/media/bricks/5/1/4119479.jpg",116
"21127-1",4143562,2,"Bright Green","System: Plants",4727,"Flower, Stalk","http://cache.lego.com/media/bricks/5/1/4143562.jpg",61
"21127-1",4541414,13,"Bright Green","System: Plates",3028,"Plate 6X12","http://cache.lego.com/media/bricks/5/1/4541414.jpg",23
"21127-1",4617799,2,"Bright Green","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4617799.jpg",21
"21127-1",6004650,1,"Bright Green","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/6004650.jpg",11
"21127-1",6141590,2,"Bright Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/6141590.jpg",3
"21127-1",6170300,3,"Bright Green","Various: Category Not Known",28573,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/6170300.jpg",20
"21127-1",4153826,4,"Bright Orange","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/4153826.jpg",69
"21127-1",6103249,1,"Bright Orange","System: Foodstuff",20086,"Carrot","http://cache.lego.com/media/bricks/5/1/6103249.jpg",11
"21127-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"21127-1",6054438,1,"Bright Red","System: Foodstuff",33051,"Apple With Leaf","http://cache.lego.com/media/bricks/5/1/6054438.jpg",26
"21127-1",302221,1,"Bright Red","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302221.jpg",541
"21127-1",6153845,4,"Bright Red","System: Plates, Special",26965,"Plate 2X3, W/Holder, No. 2","http://cache.lego.com/media/bricks/5/1/6153845.jpg",2
"21127-1",4142865,2,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"21127-1",6163983,4,"Bright Red","Various: Category Not Known",28573,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/6163983.jpg",17
"21127-1",302224,2,"Bright Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302224.jpg",370
"21127-1",4565386,1,"Bright Yellow","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565386.jpg",33
"21127-1",4212454,12,"Bright Yellowish Green","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4212454.jpg",59
"21127-1",4183133,4,"Bright Yellowish Green","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4183133.jpg",211
"21127-1",6104050,1,"Dark Azur","System: Mini Figure",76382,"Mini Upper Part No.2819","http://cache.lego.com/media/bricks/5/1/6104050.jpg",19
"21127-1",4538950,8,"Dark Brown","System: Figure Accessories In Hand",64644,"Stick Ã˜3.2 2Mm W/Knob And Tube","http://cache.lego.com/media/bricks/5/1/4538950.jpg",107
"21127-1",6101984,1,"Dark Brown","Various: Category Not Known",19729,"Figur Head No.1","http://cache.lego.com/media/bricks/5/1/6101984.jpg",1
"21127-1",6162384,1,"Dark Brown","Various: Category Not Known",28266,"Figur Head No.1 'No.1'","http://cache.lego.com/media/bricks/5/1/6162384.jpg",9
"21127-1",4181135,2,"Dark Green","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181135.jpg",37
"21127-1",302128,2,"Dark Green","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302128.jpg",156
"21127-1",371028,3,"Dark Green","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371028.jpg",179
"21127-1",4107758,4,"Dark Green","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/4107758.jpg",103
"21127-1",4565321,22,"Dark Green","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565321.jpg",43
"21127-1",4566179,1,"Dark Green","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4566179.jpg",27
"21127-1",6048853,4,"Dark Green","System: Plates, Special",92411,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6048853.jpg",20
"21127-1",6036557,4,"Dark Green","Technic: Half Beams",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/1/6036557.jpg",6
"21127-1",4535928,1,"Dark Orange","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4535928.jpg",31
"21127-1",4570877,2,"Dark Orange","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4570877.jpg",31
"21127-1",4615606,3,"Dark Orange","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4615606.jpg",34
"21127-1",6153389,1,"Dark Orange","Various: Category Not Known",26884,"Animal Head No. 17","http://cache.lego.com/media/bricks/5/1/6153389.jpg",1
"21127-1",4211060,17,"Dark Stone Grey","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4211060.jpg",237
"21127-1",4211085,13,"Dark Stone Grey","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4211085.jpg",242
"21127-1",4211098,4,"Dark Stone Grey","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211098.jpg",233
"21127-1",6000311,22,"Dark Stone Grey","System: Bricks",98283,"Profile Brick 1X2 Single Gro.","http://cache.lego.com/media/bricks/5/1/6000311.jpg",43
"21127-1",4211111,4,"Dark Stone Grey","System: Bricks, Special Ã˜4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ã˜4.9","http://cache.lego.com/media/bricks/5/1/4211111.jpg",217
"21127-1",4210795,1,"Dark Stone Grey","System: Functional Elements",3831,"Hinge 1X2 Lower Part","http://cache.lego.com/media/bricks/5/1/4210795.jpg",41
"21127-1",6011461,1,"Dark Stone Grey","System: Functional Elements",3830,"Hinge 1X2 Upper Part","http://cache.lego.com/media/bricks/5/1/6011461.jpg",29
"21127-1",4210719,6,"Dark Stone Grey","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4210719.jpg",192
"21127-1",4210802,6,"Dark Stone Grey","System: Plates",41539,"Plate 8X8","http://cache.lego.com/media/bricks/5/1/4210802.jpg",78
"21127-1",4210997,8,"Dark Stone Grey","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4210997.jpg",311
"21127-1",4210998,4,"Dark Stone Grey","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4210998.jpg",250
"21127-1",4211001,9,"Dark Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211001.jpg",489
"21127-1",4211002,4,"Dark Stone Grey","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4211002.jpg",487
"21127-1",4211052,1,"Dark Stone Grey","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4211052.jpg",283
"21127-1",4211053,6,"Dark Stone Grey","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4211053.jpg",285
"21127-1",4211055,4,"Dark Stone Grey","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/4211055.jpg",233
"21127-1",4211056,2,"Dark Stone Grey","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4211056.jpg",366
"21127-1",4211063,26,"Dark Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211063.jpg",576
"21127-1",4211094,8,"Dark Stone Grey","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4211094.jpg",499
"21127-1",4560184,6,"Dark Stone Grey","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560184.jpg",115
"21127-1",6092572,2,"Dark Stone Grey","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6092572.jpg",99
"21127-1",6126083,77,"Dark Stone Grey","System: Plates",23893,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/6126083.jpg",83
"21127-1",4210660,6,"Dark Stone Grey","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4210660.jpg",287
