SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"2263-1",4538782,4,"Black","Miscellaneous: Miscellaneous Elements",64712,"Rim W. Studs Ø62","http://cache.lego.com/media/bricks/5/1/4538782.jpg",18
"2263-1",235726,1,"Black","System: Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/235726.jpg",148
"2263-1",300126,1,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"2263-1",300326,2,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"2263-1",300926,1,"Black","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",279
"2263-1",4180413,1,"Black","System: Bricks With Slope, Special",43710,"Left Roof Tile 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4180413.jpg",34
"2263-1",4180423,1,"Black","System: Bricks With Slope, Special",43711,"Right Roof Tile 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4180423.jpg",33
"2263-1",6040297,1,"Black","System: Bricks With Slope, Special",43710,"Left Roof Tile 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/6040297.jpg",14
"2263-1",6040298,1,"Black","System: Bricks With Slope, Special",43711,"Right Roof Tile 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/6040298.jpg",14
"2263-1",4219107,2,"Black","System: Bricks With Special Bows And Angles",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/1/4219107.jpg",37
"2263-1",4162443,2,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"2263-1",370026,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"2263-1",370226,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3702,"Technic Brick 1X8","http://cache.lego.com/media/bricks/5/1/370226.jpg",184
"2263-1",4107558,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32018,"Technic Brick 1X14, Ø4,9","http://cache.lego.com/media/bricks/5/1/4107558.jpg",107
"2263-1",4141810,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32333,"V-Engine Holder","http://cache.lego.com/media/bricks/5/1/4141810.jpg",28
"2263-1",303826,2,"Black","System: Bricks, With Slope",3038,"Roof Tile 2X3/45°","http://cache.lego.com/media/bricks/5/1/303826.jpg",54
"2263-1",4515362,1,"Black","System: Bricks, With Slope",60477,"Roof Tile 1X4X1","http://cache.lego.com/media/bricks/5/1/4515362.jpg",55
"2263-1",4185272,1,"Black","System: Decoration Elements",44675,"2X2 Front With Suction","http://cache.lego.com/media/bricks/5/1/4185272.jpg",31
"2263-1",6021752,1,"Black","System: Decoration Elements",44675,"2X2 Front With Suction","http://cache.lego.com/media/bricks/5/1/6021752.jpg",14
