SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"30294-1",4563477,2,"Black","System: Animals And Creatures",87747,"Tooth Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4563477.jpg",62
"30294-1",4253815,1,"Black","System: Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",133
"30294-1",4188534,1,"Black","System: Bricks, With Slope",4871,"Roof Tile 4X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/4188534.jpg",76
"30294-1",6015891,1,"Black","System: Connectors",11090,"Holder Ø3.2 W/Tube Ø3.2 Hole","http://cache.lego.com/media/bricks/5/1/6015891.jpg",86
"30294-1",302226,1,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"30294-1",4140588,2,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"30294-1",4535739,1,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"30294-1",6066102,4,"Black","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6066102.jpg",117
"30294-1",614126,1,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"30294-1",6054852,2,"Black","System: Plates, Special Circles And Angles",15706,"Plate (A)  4M 45°","http://cache.lego.com/media/bricks/5/1/6054852.jpg",37
"30294-1",4537937,1,"Bright Yellowish Green","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4537937.jpg",99
"30294-1",6039479,2,"Dark Stone Grey","System: Plates, Special",14417,"Plate 1X2 Ball Ø5.9 Middle","http://cache.lego.com/media/bricks/5/1/6039479.jpg",131
"30294-1",6094143,3,"Earth Blue","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6094143.jpg",30
"30294-1",6109583,1,"Earth Blue","System: Figure Accessories, Upper Body",15619,"Mini  Mask No. 1","http://cache.lego.com/media/bricks/5/1/6109583.jpg",10
"30294-1",4177735,1,"Earth Blue","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/4177735.jpg",14
"30294-1",4528981,1,"Earth Blue","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4528981.jpg",69
"30294-1",4613335,1,"Earth Blue","System: Plates, Special Circles And Angles",51739,"Plate 2X4X18°","http://cache.lego.com/media/bricks/5/1/4613335.jpg",32
"30294-1",6116730,1,"Medium Lilac","System: Mini Figure",76382,"Mini Upper Part No. 3043","http://cache.lego.com/media/bricks/5/1/6116730.jpg",6
"30294-1",6043656,2,"Medium Stone Grey","System: Plates, Special",14704,"Plate 1X2 Ball Cup / Friction Middle","http://cache.lego.com/media/bricks/5/1/6043656.jpg",159
"30294-1",6116593,1,"Silver Metallic","System: Figure, Weapons",21459,"Ninja Sword","http://cache.lego.com/media/bricks/5/1/6116593.jpg",39
"30294-1",6109497,1,"Spring Yellowish Green","System: Animals And Creatures",15064,"Leg W Ø3.2 Shaft 1/2 M","http://cache.lego.com/media/bricks/5/1/6109497.jpg",7
"30294-1",6109495,4,"Spring Yellowish Green","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/6109495.jpg",8
"30294-1",6109561,2,"Spring Yellowish Green","System: Figure, Weapons",98137,"Blade 10M W/Ø3.2","http://cache.lego.com/media/bricks/5/1/6109561.jpg",4
"30294-1",6116600,2,"Spring Yellowish Green","System: Figure, Weapons",21459,"Ninja Sword","http://cache.lego.com/media/bricks/5/1/6116600.jpg",11
"30294-1",6057898,3,"Spring Yellowish Green","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/6057898.jpg",16
"30294-1",6116500,1,"Transparent Fluorescent Green","System: Figure, Heads And Masks",21420,"Mini Head 'No. 1688'","http://cache.lego.com/media/bricks/5/1/6116500.jpg",9
"30294-1",6127361,1,"Transparent Fluorescent Green","System: Mini Figure",23889,"Mini Lower Part ' No.951'","http://cache.lego.com/media/bricks/5/1/6127361.jpg",9
