SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"30315-1",4617848,4,"Black","System: Tyres And Rims For Snap Ø3,2",92409,"Tyre Ø17,6 X 6,24","http://cache.lego.com/media/bricks/5/1/4617848.jpg",66
"30315-1",6097381,2,"Black","System: Wheel Base",18892,"Bearing Element 2X4 Mini Snap","http://cache.lego.com/media/bricks/5/1/6097381.jpg",19
"30315-1",4496366,1,"Bright Blue","System: Decoration Elements",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/1/4496366.jpg",39
"30315-1",486523,1,"Bright Blue","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/486523.jpg",44
"30315-1",9566,1,"Bright Blue","System: Transportation Means, Vehicles",73081,"Console W/St.Wheel B/Bla","http://cache.lego.com/media/bricks/5/1/9566.jpg",156
"30315-1",4529234,2,"Bright Red","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529234.jpg",85
"30315-1",4651441,1,"Bright Yellow","System: Figure, Heads And Masks",99566,"Mini Head No 891","http://cache.lego.com/media/bricks/5/1/4651441.jpg",83
"30315-1",4583879,1,"Dark Stone Grey","System: Bricks, Special",90258,"Brick 2X2 W/Groove A.Cr.Hole","http://cache.lego.com/media/bricks/5/1/4583879.jpg",44
"30315-1",6012812,2,"Dark Stone Grey","System: Figure Accessories, Upper And Lower Part",76116,"Bad Robot Arm","http://cache.lego.com/media/bricks/5/1/6012812.jpg",33
"30315-1",4210997,1,"Dark Stone Grey","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4210997.jpg",311
"30315-1",4611703,1,"Dark Stone Grey","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4611703.jpg",97
"30315-1",4227776,1,"Medium Stone Grey","System: Plates",50290,"Flat Tile 1X2 'No. 101'","http://cache.lego.com/media/bricks/5/1/4227776.jpg",99
"30315-1",6116608,2,"Medium Stone Grey","System: Signs, Flags And Poles",21462,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/6116608.jpg",98
"30315-1",4624473,4,"Silver Metallic","System: Tyres And Rims For Snap Ø3,2",93594,"Rim No.2 Ø11,176X6,2","http://cache.lego.com/media/bricks/5/1/4624473.jpg",29
"30315-1",4623595,1,"Transparent Blue","System: Plates, Special Circles And Angles",54196,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4623595.jpg",19
"30315-1",4609766,1,"Warm Gold, Drum Lacquered / Gold Metalized / Gold Laquered","System: Figure, Head Clothing",93378,"Space Visor, Drum Laqu","http://cache.lego.com/media/bricks/5/1/4609766.jpg",10
"30315-1",6047220,2,"White","System: Bricks With Bows And Arches",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/1/6047220.jpg",83
"30315-1",6023804,4,"White","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6023804.jpg",28
"30315-1",4600121,1,"White","System: Figure, Head Clothing",87754,"Helmet W. Air Bottles","http://cache.lego.com/media/bricks/5/1/4600121.jpg",11
"30315-1",9327,1,"White","System: Mini Figure",73200,"Mini Body Lower Part Wh","http://cache.lego.com/media/bricks/5/1/9327.jpg",262
"30315-1",6109654,1,"White","System: Mini Figure",76382,"Mini Upper Part No. 2992","http://cache.lego.com/media/bricks/5/1/6109654.jpg",5
"30315-1",4243812,1,"White","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243812.jpg",125
"30315-1",4222017,2,"White","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4222017.jpg",121
