SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3061-1",6018848,1,"Aqua","System: Mini Figure",92818,"Female, Hip W/ Skirt 1","http://cache.lego.com/media/bricks/5/1/6018848.jpg",11
"3061-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"3061-1",459926,2,"Black","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459926.jpg",209
"3061-1",614126,4,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"3061-1",4278422,1,"Brick Yellow","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278422.jpg",90
"3061-1",6066344,1,"Brick Yellow","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6066344.jpg",30
"3061-1",614123,1,"Bright Blue","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614123.jpg",165
"3061-1",4504371,1,"Bright Orange","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504371.jpg",84
"3061-1",300821,2,"Bright Red","System: Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/300821.jpg",193
"3061-1",301021,1,"Bright Red","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301021.jpg",408
"3061-1",4520093,8,"Bright Red","System: Bricks With Bows And Arches",33243,"Bow Brick 1X3X2","http://cache.lego.com/media/bricks/5/1/4520093.jpg",4
"3061-1",4622231,8,"Bright Red","System: Bricks With Bows And Arches",33243,"Bow Brick 1X3X2","http://cache.lego.com/media/bricks/5/1/4622231.jpg",2
"3061-1",4113205,1,"Bright Red","System: Bricks, Special",30237,"Brick 1X2 W. Horizontal Holder","http://cache.lego.com/media/bricks/5/1/4113205.jpg",33
