SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3065-1",4249857,1,"Black","System: Figure Accessories, Upper And Lower Part",6266,"Skeleton, Leg","http://cache.lego.com/media/bricks/5/1/4249857.jpg",43
"3065-1",6038453,1,"Black","System: Figure Accessories, Upper And Lower Part",6266,"Skeleton, Leg","http://cache.lego.com/media/bricks/5/1/6038453.jpg",22
"3065-1",4579260,1,"Brick Yellow","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4579260.jpg",69
"3065-1",4114084,8,"Brick Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4114084.jpg",240
"3065-1",4124067,1,"Brick Yellow","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4124067.jpg",126
"3065-1",4243824,1,"Brick Yellow","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243824.jpg",89
"3065-1",4544139,1,"Brick Yellow","System: Plates",4162,"Flat Tile 1X8","http://cache.lego.com/media/bricks/5/1/4544139.jpg",31
"3065-1",4550324,2,"Brick Yellow","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4550324.jpg",75
"3065-1",4624185,1,"Brick Yellow","System: Plates",3033,"Plate 6X10","http://cache.lego.com/media/bricks/5/1/4624185.jpg",12
"3065-1",4140593,1,"Brick Yellow","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140593.jpg",66
"3065-1",4655257,4,"Brick Yellow","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4655257.jpg",32
"3065-1",4129872,4,"Bright Green","System: Plants",2417,"Limb Element","http://cache.lego.com/media/bricks/5/1/4129872.jpg",37
"3065-1",4611777,1,"Bright Green","System: Plates",91405,"Plate 16X16","http://cache.lego.com/media/bricks/5/1/4611777.jpg",23
"3065-1",4216375,1,"Bright Purple","System: Plants",3742,"Flowerhead","http://cache.lego.com/media/bricks/4/1/4216375.jpg",39
"3065-1",303721,2,"Bright Red","System: Bricks, With Slope",3037,"Roof Tile 2X4/45Â°","http://cache.lego.com/media/bricks/5/1/303721.jpg",92
"3065-1",4144003,1,"Bright Red","System: Bricks, With Slope",3041,"Ridged Tile 2X4/45Â°","http://cache.lego.com/media/bricks/5/1/4144003.jpg",35
"3065-1",4599684,1,"Bright Red","System: Plants",93081,"Accessories, Flowers","http://cache.lego.com/media/bricks/5/1/4599684.jpg",4
