SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"31005-1",4143372,1,"Black","System: Connectors",30553,"Fric/Fork W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4143372.jpg",146
"31005-1",4223247,2,"Black","System: Figure Accessories, Upper And Lower Part",30377,"Space Skeleton Arm","http://cache.lego.com/media/bricks/5/1/4223247.jpg",126
"31005-1",379526,1,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"31005-1",4183043,2,"Black","System: Plates, Special",44301,"Plate 1X2 W/Stub Vertical/End","http://cache.lego.com/media/bricks/5/1/4183043.jpg",106
"31005-1",4568644,6,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"31005-1",4578677,6,"Black","System: Tyres And Rims For Snap Ø3,2",87414,"Tyre High Narrow Ø15 X 6","http://cache.lego.com/media/bricks/5/1/4578677.jpg",74
"31005-1",460026,4,"Black","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/460026.jpg",201
"31005-1",4518029,4,"Bright Orange","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4518029.jpg",42
"31005-1",300121,1,"Bright Red","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300121.jpg",436
"31005-1",300521,2,"Bright Red","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300521.jpg",377
"31005-1",4251162,4,"Bright Red","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4251162.jpg",100
"31005-1",4597912,1,"Bright Red","System: Bricks With Bows And Arches",88930,"Plate W. Bow 2X4X2/3","http://cache.lego.com/media/bricks/5/1/4597912.jpg",21
"31005-1",6045891,1,"Bright Red","System: Bricks, Special",14520,"Brick 1X4X1 2/3 W. V. Knobs","http://cache.lego.com/media/bricks/5/1/6045891.jpg",8
"31005-1",366521,2,"Bright Red","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366521.jpg",207
"31005-1",4651524,1,"Bright Red","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4651524.jpg",97
"31005-1",486521,4,"Bright Red","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/486521.jpg",121
"31005-1",4190219,2,"Bright Red","System: Frames, Windows, Walls And Doors",6231,"Wall Corner 1X1X1","http://cache.lego.com/media/bricks/5/1/4190219.jpg",42
"31005-1",4521438,2,"Bright Red","System: Frames, Windows, Walls And Doors",60592,"Frame 1X2X2","http://cache.lego.com/media/bricks/5/1/4521438.jpg",10
"31005-1",302321,5,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"31005-1",306921,5,"Bright Red","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306921.jpg",301
"31005-1",307021,6,"Bright Red","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307021.jpg",177
"31005-1",371021,10,"Bright Red","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371021.jpg",453
"31005-1",4113858,1,"Bright Red","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/4113858.jpg",127
"31005-1",4533742,2,"Bright Red","System: Plates",63864,"Flat Tile 1X3","http://cache.lego.com/media/bricks/5/1/4533742.jpg",62
"31005-1",4560179,2,"Bright Red","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560179.jpg",69
"31005-1",255521,2,"Bright Red","System: Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/255521.jpg",80
"31005-1",4140585,2,"Bright Red","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140585.jpg",101
"31005-1",4588003,8,"Bright Red","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4588003.jpg",141
"31005-1",6001806,2,"Bright Red","System: Plates, Special",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/1/6001806.jpg",45
"31005-1",6030717,2,"Bright Red","System: Plates, Special",12825,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6030717.jpg",32
"31005-1",4504381,2,"Bright Yellow","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504381.jpg",151
"31005-1",302224,4,"Bright Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302224.jpg",370
"31005-1",306924,3,"Bright Yellow","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306924.jpg",249
"31005-1",4140587,2,"Bright Yellow","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140587.jpg",57
"31005-1",4183981,2,"Bright Yellow","System: Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183981.jpg",39
"31005-1",4260192,1,"Bright Yellow","System: Plates, Special Circles And Angles",51739,"Plate 2X4X18°","http://cache.lego.com/media/bricks/5/1/4260192.jpg",29
"31005-1",4249040,3,"Cool Silver, Drum Lacquered","System: Plates, Special",51815,"Lattice Plate 1X2, Lacquered","http://cache.lego.com/media/bricks/5/1/4249040.jpg",89
"31005-1",4211044,2,"Dark Stone Grey","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211044.jpg",129
"31005-1",4239373,1,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",30592,"Plate 2X4/2X2X1 W. Vertical Sn","http://cache.lego.com/media/bricks/5/1/4239373.jpg",44
"31005-1",4271950,1,"Dark Stone Grey","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/4271950.jpg",46
"31005-1",6025235,4,"Dark Stone Grey","System: Frames, Windows, Walls And Doors",6231,"Wall Corner 1X1X1","http://cache.lego.com/media/bricks/5/1/6025235.jpg",14
"31005-1",4210997,2,"Dark Stone Grey","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4210997.jpg",311
"31005-1",4211053,4,"Dark Stone Grey","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4211053.jpg",285
"31005-1",4211065,7,"Dark Stone Grey","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211065.jpg",578
"31005-1",4211094,5,"Dark Stone Grey","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4211094.jpg",499
"31005-1",4211122,1,"Dark Stone Grey","System: Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/4211122.jpg",132
"31005-1",4210892,1,"Dark Stone Grey","System: Plates, Special",44567,"Plate 1X2 W. Stub/Vertical","http://cache.lego.com/media/bricks/5/1/4210892.jpg",114
"31005-1",4543086,2,"Dark Stone Grey","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4543086.jpg",89
"31005-1",4579354,4,"Dark Stone Grey","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4579354.jpg",145
"31005-1",4648067,1,"Dark Stone Grey","System: Plates, Special",93274,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/4648067.jpg",39
"31005-1",6012653,2,"Medium Stone Grey","System: Bricks, Special",76766,"Bottom 2X5X2 1/3","http://cache.lego.com/media/bricks/5/1/6012653.jpg",41
"31005-1",4211412,8,"Medium Stone Grey","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211412.jpg",229
"31005-1",4529241,2,"Medium Stone Grey","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529241.jpg",165
"31005-1",4521921,6,"Medium Stone Grey","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4521921.jpg",261
"31005-1",4211503,2,"Medium Stone Grey","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/4211503.jpg",215
"31005-1",4211398,14,"Medium Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211398.jpg",621
"31005-1",4211462,1,"Medium Stone Grey","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/4211462.jpg",188
"31005-1",4560183,2,"Medium Stone Grey","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560183.jpg",210
"31005-1",4211365,1,"Medium Stone Grey","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4211365.jpg",60
"31005-1",4211419,1,"Medium Stone Grey","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/4211419.jpg",100
"31005-1",4211477,6,"Medium Stone Grey","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4211477.jpg",129
"31005-1",4211496,4,"Medium Stone Grey","System: Plates, Special",4488,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/4211496.jpg",118
"31005-1",4515369,2,"Medium Stone Grey","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515369.jpg",149
"31005-1",4611702,1,"Medium Stone Grey","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4611702.jpg",94
"31005-1",4632575,6,"Medium Stone Grey","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4632575.jpg",80
"31005-1",4654582,1,"Medium Stone Grey","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/4654582.jpg",231
"31005-1",4278273,1,"Medium Stone Grey","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278273.jpg",189
"31005-1",4650260,10,"Medium Stone Grey","System: Plates, Special Circles And Angles",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/1/4650260.jpg",158
"31005-1",4211628,4,"Medium Stone Grey","System: Signs, Flags And Poles",30374,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/4211628.jpg",143
"31005-1",6116608,4,"Medium Stone Grey","System: Signs, Flags And Poles",21462,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/6116608.jpg",98
"31005-1",4211506,6,"Medium Stone Grey","System: Tyres And Rims For Snap Ø3,2",4624,"Rim Narrow W. Hole Ø8","http://cache.lego.com/media/bricks/5/1/4211506.jpg",147
"31005-1",4211764,6,"Medium Stone Grey","System: Tyres And Rims For Snap Ø3,2",6014,"Rim Wide W. Hole Ø11","http://cache.lego.com/media/bricks/5/1/4211764.jpg",207
"31005-1",6018081,4,"Medium Stone Grey","System: Wheel Base",10313,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/6018081.jpg",89
"31005-1",6051422,3,"Silver Ink","System: Plates",15561,"Lattice Plate 1X2 'No. 1000'","http://cache.lego.com/media/bricks/5/1/6051422.jpg",35
"31005-1",3000840,2,"Transparent","System: Plates",30008,"Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3000840.jpg",144
"31005-1",4226179,4,"Transparent Brown","System: Bricks",3065,"Brick 1X2 Without Pin","http://cache.lego.com/media/bricks/5/1/4226179.jpg",57
"31005-1",6024022,2,"Transparent Brown","System: Frames, Windows, Walls And Doors",86209,"Glass For Frame 1X2X2","http://cache.lego.com/media/bricks/5/1/6024022.jpg",8
"31005-1",3005741,4,"Transparent Red","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005741.jpg",948
"31005-1",4650500,6,"Transparent Yellow","System: Plates, Special Circles And Angles",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/1/4650500.jpg",99
"31005-1",302001,1,"White","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302001.jpg",614
"31005-1",302301,4,"White","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302301.jpg",799
"31005-1",302401,4,"White","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302401.jpg",370
"31005-1",379501,2,"White","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379501.jpg",425
"31005-1",4535737,2,"White","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535737.jpg",53
"31005-1",4646576,2,"White","System: Transportation Means, Vehicles",98282,"Brick 2X4X1 W. Screen No. 2","http://cache.lego.com/media/bricks/5/1/4646576.jpg",11
