SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"31007-1",609126,2,"Black","System: Bricks With Bows And Arches",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/609126.jpg",145
"31007-1",4522034,4,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"31007-1",6037746,4,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"31007-1",4213374,2,"Black","System: Bricks, Special",47455,"Joint Link W. Bush","http://cache.lego.com/media/bricks/5/1/4213374.jpg",85
"31007-1",4275826,1,"Black","System: Bricks, Special",48172,"Brick 2X2 W. D. Klick-Female","http://cache.lego.com/media/bricks/5/1/4275826.jpg",47
"31007-1",4619763,2,"Black","System: Bricks, Special",92013,"Brick 2X2 W. Cup For Ball","http://cache.lego.com/media/bricks/5/1/4619763.jpg",38
"31007-1",4526931,1,"Black","System: Bricks, Special Circles And Angles",6564,"Right Roof Tile 2X3","http://cache.lego.com/media/bricks/5/1/4526931.jpg",38
"31007-1",4527766,1,"Black","System: Bricks, Special Circles And Angles",6565,"Left  Roof Tile 2X3","http://cache.lego.com/media/bricks/5/1/4527766.jpg",37
"31007-1",4504382,2,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"31007-1",74011,4,"Black","System: Functional Elements",73983,"Hingeplate  1X2 Un./Ov.Black","http://cache.lego.com/media/bricks/5/1/74011.jpg",101
"31007-1",242026,4,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"31007-1",302026,5,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"31007-1",302226,2,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"31007-1",302326,4,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"31007-1",362326,2,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"31007-1",366626,2,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"31007-1",379526,2,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"31007-1",4114689,2,"Black","System: Plates, Special",32124,"Technic Rotor, 2 Blades","http://cache.lego.com/media/bricks/5/1/4114689.jpg",73
"31007-1",4225201,6,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"31007-1",4258354,3,"Black","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4258354.jpg",90
"31007-1",4515368,4,"Black","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515368.jpg",184
"31007-1",4616245,2,"Black","System: Plates, Special",93274,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/4616245.jpg",37
"31007-1",6048855,4,"Black","System: Plates, Special",92411,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6048855.jpg",83
"31007-1",6117973,4,"Black","System: Plates, Special",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6117973.jpg",151
"31007-1",403226,3,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"31007-1",4531412,4,"Black","System: Plates, Special Circles And Angles",51739,"Plate 2X4X18°","http://cache.lego.com/media/bricks/5/1/4531412.jpg",65
"31007-1",4545295,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56897,"Tyre High Small Ø 30.4 X 11","http://cache.lego.com/media/bricks/5/1/4545295.jpg",10
"31007-1",6043700,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56897,"Tyre High Small Ø 30.4 X 11","http://cache.lego.com/media/bricks/5/1/6043700.jpg",9
"31007-1",4217725,2,"Black","System: Wheel Base",47720,"Plate 2X2 (4M) W. Snap Ø4.85","http://cache.lego.com/media/bricks/5/1/4217725.jpg",66
"31007-1",4121715,2,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"31007-1",4666579,1,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"31007-1",4206482,1,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"31007-1",4164022,2,"Bright Yellowish Green","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4164022.jpg",137
"31007-1",4165967,2,"Bright Yellowish Green","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4165967.jpg",95
"31007-1",4166093,2,"Bright Yellowish Green","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/4166093.jpg",34
"31007-1",4234716,2,"Bright Yellowish Green","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4234716.jpg",67
"31007-1",4212446,4,"Bright Yellowish Green","System: Bricks With Bows And Arches",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/4212446.jpg",31
"31007-1",6033782,2,"Bright Yellowish Green","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6033782.jpg",22
"31007-1",4504372,2,"Bright Yellowish Green","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504372.jpg",69
"31007-1",4537925,2,"Bright Yellowish Green","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4537925.jpg",24
"31007-1",6025026,7,"Bright Yellowish Green","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/6025026.jpg",19
"31007-1",6030276,4,"Bright Yellowish Green","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/6030276.jpg",11
"31007-1",4540385,4,"Bright Yellowish Green","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4540385.jpg",46
"31007-1",6025028,1,"Bright Yellowish Green","System: Decoration Elements",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/1/6025028.jpg",12
"31007-1",4164021,2,"Bright Yellowish Green","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4164021.jpg",77
"31007-1",4164037,4,"Bright Yellowish Green","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4164037.jpg",166
"31007-1",4529160,2,"Bright Yellowish Green","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4529160.jpg",55
"31007-1",4632576,2,"Bright Yellowish Green","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4632576.jpg",28
"31007-1",4539907,4,"Bright Yellowish Green","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4539907.jpg",26
"31007-1",4539908,4,"Bright Yellowish Green","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4539908.jpg",24
"31007-1",6025027,1,"Bright Yellowish Green","System: Plates, Special Circles And Angles",51739,"Plate 2X4X18°","http://cache.lego.com/media/bricks/5/1/6025027.jpg",6
"31007-1",4539906,1,"Bright Yellowish Green","System: Transportation Means, Vehicles",45677,"Plate 4X4X2/3","http://cache.lego.com/media/bricks/5/1/4539906.jpg",3
"31007-1",4610474,4,"Bright Yellowish Green","System: Transportation Means, Vehicles",62361,"Screen 1X6X1 W. Edge","http://cache.lego.com/media/bricks/5/1/4610474.jpg",10
"31007-1",6030275,1,"Bright Yellowish Green","System: Transportation Means, Vehicles",45677,"Plate 4X4X2/3","http://cache.lego.com/media/bricks/5/1/6030275.jpg",2
"31007-1",4225975,2,"Dark Stone Grey","System: Bricks, Special",48171,"Brick 2X2 Ø4.85 Vertic. Snap","http://cache.lego.com/media/bricks/5/1/4225975.jpg",56
"31007-1",4497253,2,"Dark Stone Grey","System: Bricks, Special",57909,"Brick 2X2 W. Ball Ø 10.2","http://cache.lego.com/media/bricks/5/1/4497253.jpg",89
"31007-1",4211043,5,"Dark Stone Grey","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211043.jpg",485
"31007-1",4211115,1,"Dark Stone Grey","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/4211115.jpg",265
"31007-1",4539429,2,"Dark Stone Grey","System: Plates",2639,"Corner Plate 2X4X4","http://cache.lego.com/media/bricks/5/1/4539429.jpg",54
"31007-1",4579354,2,"Dark Stone Grey","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4579354.jpg",145
"31007-1",4278274,4,"Dark Stone Grey","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278274.jpg",171
"31007-1",4502068,2,"Dark Stone Grey","System: Transportation Means, Vehicles",50943,"Motor 2X2X1 1/3","http://cache.lego.com/media/bricks/5/1/4502068.jpg",50
"31007-1",4211350,6,"Medium Stone Grey","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4211350.jpg",431
"31007-1",4598526,4,"Medium Stone Grey","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598526.jpg",217
"31007-1",4654577,2,"Medium Stone Grey","System: Plates, Special",99206,"Plate 2X2X2/3 W. 2. Hor. Knob","http://cache.lego.com/media/bricks/5/1/4654577.jpg",143
"31007-1",6044729,4,"Medium Stone Grey","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",13971,"Rim Narrow Ø18X7 W Hole Ø4.8","http://cache.lego.com/media/bricks/5/1/6044729.jpg",70
"31007-1",4211655,1,"Medium Stone Grey","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4211655.jpg",94
"31007-1",6008484,6,"Titanium Metallic","System: Figure Accessories, Upper And Lower Part",76116,"Bad Robot Arm","http://cache.lego.com/media/bricks/5/1/6008484.jpg",37
"31007-1",3000840,2,"Transparent","System: Plates",30008,"Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3000840.jpg",144
"31007-1",4167842,2,"Transparent","System: Plates",6225,"Plate 1X2 - Tr.","http://cache.lego.com/media/bricks/5/1/4167842.jpg",186
"31007-1",4217722,2,"Transparent Brown","System: Decoration Elements",47904,"Front, 2X2, Sport, Tr.","http://cache.lego.com/media/bricks/5/1/4217722.jpg",70
"31007-1",4124083,1,"Transparent Brown","System: Windscreens And Cockpits",2437,"Windscreen 36 Gr. 3X4X1 1/3","http://cache.lego.com/media/bricks/5/1/4124083.jpg",75
"31007-1",3005747,8,"Transparent Fluorescent Reddish Orange","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005747.jpg",249
