SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"31009-1",4558954,1,"Black","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4558954.jpg",148
"31009-1",306226,1,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"31009-1",4289538,1,"Black","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289538.jpg",203
"31009-1",4526110,1,"Black","System: Figure, Wigs",62810,"Wig Boy","http://cache.lego.com/media/bricks/5/1/4526110.jpg",44
"31009-1",368026,1,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"31009-1",459926,1,"Black","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459926.jpg",209
"31009-1",241226,2,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"31009-1",4140588,1,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"31009-1",614126,2,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"31009-1",249626,2,"Black","System: Tyres And Rims, Special",2496,"Wheel Axle Ø8.2/Ø1.9","http://cache.lego.com/media/bricks/5/1/249626.jpg",185
"31009-1",4109995,3,"Brick Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",277
"31009-1",4107623,1,"Brick Yellow","System: Mini Figure",73200,"Mini Lower Part, Brick Yellow","http://cache.lego.com/media/bricks/5/1/4107623.jpg",80
"31009-1",4114084,5,"Brick Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4114084.jpg",240
"31009-1",4172695,1,"Bright Blue","System: Figure Accessories In Hand",42511,"Scateboard","http://cache.lego.com/media/bricks/5/1/4172695.jpg",21
"31009-1",4275813,1,"Bright Blue","System: Mini Figure",76382,"Mini Upper Part 'No. 1161'","http://cache.lego.com/media/bricks/5/1/4275813.jpg",18
"31009-1",4199519,1,"Bright Blue","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/4199519.jpg",31
"31009-1",4611777,1,"Bright Green","System: Plates",91405,"Plate 16X16","http://cache.lego.com/media/bricks/5/1/4611777.jpg",23
"31009-1",6004650,1,"Bright Green","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/6004650.jpg",11
"31009-1",235721,3,"Bright Red","System: Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/235721.jpg",92
"31009-1",300121,2,"Bright Red","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300121.jpg",436
