SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"31029-1",346026,4,"Black","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/346026.jpg",371
"31029-1",6097283,1,"Black","System: Plates",15397,"Plate 3X3, Cross","http://cache.lego.com/media/bricks/5/1/6097283.jpg",10
"31029-1",4258354,1,"Black","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4258354.jpg",90
"31029-1",6016172,2,"Black","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6016172.jpg",136
"31029-1",6052126,1,"Black","System: Plates, Special",99206,"Plate 2X2X2/3 W. 2. Hor. Knob","http://cache.lego.com/media/bricks/5/1/6052126.jpg",70
"31029-1",6010831,1,"Black","System: Plates, Special Circles And Angles",74698,"Round Plate 2X2 W/Eye","http://cache.lego.com/media/bricks/5/1/6010831.jpg",65
"31029-1",247926,1,"Black","System: Transportation Means, Aviation",2479,"Rotor","http://cache.lego.com/media/bricks/5/1/247926.jpg",142
"31029-1",4599984,1,"Black","System: Transportation Means, Aviation",92842,"Propeller 3 Blades M/Ø4,8","http://cache.lego.com/media/bricks/5/1/4599984.jpg",66
"31029-1",249626,3,"Black","System: Tyres And Rims, Special",2496,"Wheel Axle Ø8.2/Ø1.9","http://cache.lego.com/media/bricks/5/1/249626.jpg",185
"31029-1",6029946,6,"Bright Red","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6029946.jpg",81
"31029-1",654121,1,"Bright Red","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654121.jpg",85
"31029-1",4121934,2,"Bright Red","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121934.jpg",260
"31029-1",4651524,1,"Bright Red","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4651524.jpg",97
"31029-1",243121,1,"Bright Red","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243121.jpg",227
"31029-1",302321,2,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"31029-1",303421,1,"Bright Red","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303421.jpg",153
"31029-1",371021,3,"Bright Red","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371021.jpg",453
"31029-1",6092565,2,"Bright Red","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6092565.jpg",56
"31029-1",4180504,1,"Bright Red","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4180504.jpg",63
"31029-1",4180533,1,"Bright Red","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4180533.jpg",63
"31029-1",6023770,1,"Bright Red","System: Plates, Special Circles And Angles",51739,"Plate 2X4X18°","http://cache.lego.com/media/bricks/5/1/6023770.jpg",20
"31029-1",6029947,2,"Bright Yellow","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6029947.jpg",48
"31029-1",4264028,2,"Bright Yellow","System: Bricks, Special Circles And Angles",50373,"Brick  4X4/18°","http://cache.lego.com/media/bricks/5/1/4264028.jpg",9
"31029-1",374724,1,"Bright Yellow","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374724.jpg",68
"31029-1",4504381,2,"Bright Yellow","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504381.jpg",151
"31029-1",302024,5,"Bright Yellow","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302024.jpg",367
"31029-1",302324,2,"Bright Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",473
