SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"31030-1",393826,1,"Black","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393826.jpg",175
"31030-1",4205760,1,"Black","System: Functional Elements, Gear Wheels And Racks",3743,"Toothed Bar M=1, Z=10","http://cache.lego.com/media/bricks/5/1/4205760.jpg",41
"31030-1",302026,3,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"31030-1",371026,2,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"31030-1",379526,4,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"31030-1",4225201,1,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"31030-1",4515368,4,"Black","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515368.jpg",184
"31030-1",4639695,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",89201,"Tyre Low Wide Ø24 X 14","http://cache.lego.com/media/bricks/5/1/4639695.jpg",47
"31030-1",4121715,2,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"31030-1",6089119,1,"Black","Technic: Connectors",18651,"Cross Axle 2M W. Snap W. Fric.","http://cache.lego.com/media/bricks/5/1/6089119.jpg",115
"31030-1",6093977,1,"Black","Technic: Functional Elements, Gear Wheels And Racks",18575,"Double Conical Wheel Z20 1M","http://cache.lego.com/media/bricks/5/1/6093977.jpg",52
"31030-1",4114671,2,"Black","Technic: Transportation Means, Vehicles",32069,"T. Steering Gear, Bearing 2M","http://cache.lego.com/media/bricks/5/1/4114671.jpg",49
"31030-1",4666579,4,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"31030-1",4504380,2,"Bright Blue","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504380.jpg",91
"31030-1",4651236,4,"Bright Blue","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4651236.jpg",58
"31030-1",242023,2,"Bright Blue","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242023.jpg",93
"31030-1",362323,2,"Bright Blue","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362323.jpg",113
"31030-1",4143005,2,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"31030-1",4633914,1,"Bright Red","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4633914.jpg",40
"31030-1",6045937,6,"Bright Red","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6045937.jpg",29
"31030-1",4157223,2,"Bright Red","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4157223.jpg",77
"31030-1",389421,2,"Bright Red","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3894,"Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/1/389421.jpg",54
"31030-1",4560179,1,"Bright Red","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560179.jpg",69
"31030-1",4534648,2,"Bright Red","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4534648.jpg",51
"31030-1",6089576,2,"Bright Red","System: Plates, Special",10201,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/6089576.jpg",43
"31030-1",4649048,1,"Bright Red","System: Plates, Special Circles And Angles",90194,"Plate 3X4 W/Angles","http://cache.lego.com/media/bricks/5/1/4649048.jpg",11
"31030-1",4142865,2,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"31030-1",614124,4,"Bright Yellow","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614124.jpg",294
"31030-1",4210631,2,"Dark Stone Grey","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4210631.jpg",469
"31030-1",6000606,1,"Dark Stone Grey","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6000606.jpg",230
"31030-1",4168345,2,"Medium Blue","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4168345.jpg",60
"31030-1",4528357,2,"Medium Blue","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/4528357.jpg",36
