SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"31037-1",306226,11,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"31037-1",370026,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"31037-1",366026,2,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"31037-1",258426,1,"Black","System: Functional Elements",2584,"Drum Holder 2X2","http://cache.lego.com/media/bricks/5/1/258426.jpg",84
"31037-1",243126,5,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"31037-1",306926,2,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"31037-1",366626,5,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"31037-1",317626,2,"Black","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/317626.jpg",134
"31037-1",601926,4,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"31037-1",4144023,4,"Black","System: Plates, Special",32529,"T-Beam W. Plate 1X2 W. Knob","http://cache.lego.com/media/bricks/5/1/4144023.jpg",55
"31037-1",4515368,4,"Black","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515368.jpg",184
"31037-1",4653049,3,"Black","System: Plates, Special",87609,"Plate 2X6X2/3 W 4 Hor. Knob","http://cache.lego.com/media/bricks/5/1/4653049.jpg",29
"31037-1",403226,2,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"31037-1",614126,9,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"31037-1",6145492,1,"Black","System: Rubbers And Strings",23198,"100% Polyester Yarn Ø0,5Mm,0,5M","http://cache.lego.com/media/bricks/4/1/6145492.jpg",48
"31037-1",6057397,1,"Black","System: Transportation Means, Vehicles",16091,"Stee.Wheel Ø16 F/Console 2X2","http://cache.lego.com/media/bricks/5/1/6057397.jpg",43
"31037-1",4506553,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56891,"Tyre Balloon Wide Ø 37X18","http://cache.lego.com/media/bricks/5/1/4506553.jpg",38
"31037-1",373726,2,"Black","Technic: Connectors",3737,"Cross Axle 10M","http://cache.lego.com/media/bricks/5/1/373726.jpg",427
"31037-1",4666579,2,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"31037-1",302323,3,"Bright Blue","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302323.jpg",407
"31037-1",243223,1,"Bright Blue","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243223.jpg",105
"31037-1",6029946,4,"Bright Red","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6029946.jpg",81
"31037-1",306221,3,"Bright Red","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306221.jpg",254
"31037-1",459921,1,"Bright Red","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459921.jpg",94
"31037-1",302021,4,"Bright Red","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302021.jpg",507
"31037-1",302421,4,"Bright Red","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302421.jpg",222
"31037-1",371021,4,"Bright Red","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371021.jpg",453
"31037-1",4226876,2,"Bright Red","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4226876.jpg",62
"31037-1",4153718,4,"Bright Red","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4153718.jpg",75
"31037-1",4526984,2,"Bright Red","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526984.jpg",51
"31037-1",306924,1,"Bright Yellow","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306924.jpg",249
