SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"31048-1",300426,2,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"31048-1",4533771,1,"Black","System: Bricks, Special",60475,"Brick 1X1 W/Holder, H0Rizontal","http://cache.lego.com/media/bricks/5/1/4533771.jpg",83
"31048-1",383526,1,"Black","System: Figure Accessories In Hand",3835,"Mini Fireman'S Axe","http://cache.lego.com/media/bricks/5/1/383526.jpg",104
"31048-1",452826,1,"Black","System: Figure Accessories In Hand",4528,"Pan","http://cache.lego.com/media/bricks/5/1/452826.jpg",71
"31048-1",6079894,1,"Black","System: Figure, Wigs",18226,"Mini Wig No. 6","http://cache.lego.com/media/bricks/5/1/6079894.jpg",18
"31048-1",6056234,4,"Black","System: Foodstuff",11610,"Cone 1X1 Invertede W. Shaft","http://cache.lego.com/media/bricks/5/1/6056234.jpg",28
"31048-1",459926,1,"Black","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459926.jpg",209
"31048-1",302126,2,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"31048-1",601926,2,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"31048-1",4598528,3,"Black","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598528.jpg",200
"31048-1",403226,4,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"31048-1",474026,1,"Black","System: Plates, Special Circles And Angles",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/1/474026.jpg",183
"31048-1",614126,4,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"31048-1",4538722,1,"Black","System: Signs, Flags And Poles",63965,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/4538722.jpg",174
"31048-1",4578109,4,"Brick Yellow","System: Frames, Windows, Walls And Doors",60594,"Frame 1X4X3","http://cache.lego.com/media/bricks/5/1/4578109.jpg",13
"31048-1",4578110,1,"Brick Yellow","System: Frames, Windows, Walls And Doors",60596,"Frame 1X4X6","http://cache.lego.com/media/bricks/5/1/4578110.jpg",18
"31048-1",6034929,3,"Brick Yellow","System: Frames, Windows, Walls And Doors",60593,"Frame 1X2X3","http://cache.lego.com/media/bricks/5/1/6034929.jpg",8
"31048-1",4113233,8,"Brick Yellow","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4113233.jpg",213
"31048-1",4113917,5,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"31048-1",4114001,2,"Brick Yellow","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/4114001.jpg",102
"31048-1",4114077,3,"Brick Yellow","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/4114077.jpg",95
"31048-1",4121921,2,"Brick Yellow","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/4121921.jpg",128
"31048-1",4569474,3,"Brick Yellow","System: Plates, Special Circles And Angles",30503,"Corner Plate 45 Deg. 4X4","http://cache.lego.com/media/bricks/5/1/4569474.jpg",7
"31048-1",303523,1,"Bright Blue","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303523.jpg",58
"31048-1",4609342,2,"Bright Blue","System: Plates, Special Circles And Angles",30503,"Corner Plate 45 Deg. 4X4","http://cache.lego.com/media/bricks/5/1/4609342.jpg",17
"31048-1",4610353,2,"Bright Green","System: Plates",92438,"Plate 8X16","http://cache.lego.com/media/bricks/5/1/4610353.jpg",24
"31048-1",329721,10,"Bright Red","System: Bricks, With Slope",3297,"Roof Tile 3X4/25°","http://cache.lego.com/media/bricks/5/1/329721.jpg",56
"31048-1",329821,13,"Bright Red","System: Bricks, With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329821.jpg",143
"31048-1",428621,2,"Bright Red","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428621.jpg",146
"31048-1",389921,1,"Bright Red","System: Figure Accessories In Hand",3899,"Mug","http://cache.lego.com/media/bricks/5/1/389921.jpg",177
"31048-1",6003001,1,"Bright Red","System: Figure Accessories In Hand",95343,"Bucket","http://cache.lego.com/media/bricks/5/1/6003001.jpg",24
"31048-1",6021844,1,"Bright Yellow","System: Figure, Heads And Masks",12813,"Mini Head 'No 1147'","http://cache.lego.com/media/bricks/5/1/6021844.jpg",33
"31048-1",4599537,1,"Bright Yellow","System: Plants",3742,"Flowerhead","http://cache.lego.com/media/bricks/4/1/4599537.jpg",22
"31048-1",302224,1,"Bright Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302224.jpg",370
"31048-1",302324,2,"Bright Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",473
"31048-1",4140587,1,"Bright Yellow","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140587.jpg",57
"31048-1",6012442,1,"Bright Yellow","System: Signs, Flags And Poles",11055,"Flag With 2 Holders","http://cache.lego.com/media/bricks/5/1/6012442.jpg",20
"31048-1",4183133,6,"Bright Yellowish Green","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4183133.jpg",211
"31048-1",6047037,1,"Dark Brown","System: Bricks With Bows And Arches",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/1/6047037.jpg",30
"31048-1",4157270,1,"Dark Green","System: Animals And Creatures",33320,"Frog","http://cache.lego.com/media/bricks/5/1/4157270.jpg",58
"31048-1",4529239,1,"Dark Green","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529239.jpg",86
"31048-1",4583718,1,"Dark Green","System: Frames, Windows, Walls And Doors",60623,"D. W. Panes F. Frame 1X4X6","http://cache.lego.com/media/bricks/5/1/4583718.jpg",16
"31048-1",6112266,8,"Dark Green","System: Frames, Windows, Walls And Doors",60608,"Window ½ For Frame 1X4X3","http://cache.lego.com/media/bricks/5/1/6112266.jpg",4
"31048-1",302028,4,"Dark Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302028.jpg",211
"31048-1",4522245,4,"Dark Green","System: Plates, Special Circles And Angles",30565,"Plate 4X4, 1/4 Circle","http://cache.lego.com/media/bricks/5/1/4522245.jpg",21
"31048-1",4543262,4,"Dark Green","System: Plates, Special Circles And Angles",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4543262.jpg",12
"31048-1",6074954,2,"Dark Green","System: Plates, Special Circles And Angles",15535,"Flat Tile 2X2 Round W. Hole Ø4.85","http://cache.lego.com/media/bricks/5/1/6074954.jpg",3
"31048-1",4211095,4,"Dark Stone Grey","System: Bricks",30136,"Palisade Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211095.jpg",101
"31048-1",4211104,2,"Dark Stone Grey","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/4211104.jpg",169
"31048-1",4211090,9,"Dark Stone Grey","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211090.jpg",205
"31048-1",4504378,6,"Dark Stone Grey","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504378.jpg",298
"31048-1",4289542,1,"Dark Stone Grey","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289542.jpg",224
"31048-1",4211006,1,"Dark Stone Grey","System: Figure Accessories In Hand",3837,"Mini Shovel","http://cache.lego.com/media/bricks/5/1/4211006.jpg",108
"31048-1",4223982,1,"Dark Stone Grey","System: Figure, Head Clothing",30126,"Indian Feather W. Pin","http://cache.lego.com/media/bricks/5/1/4223982.jpg",17
