SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"31052-1",306226,1,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"31052-1",4653822,1,"Black","System: Bricks, Special Circles And Angles",98100,"2X2 Round,Slope Brick W. Knob","http://cache.lego.com/media/bricks/5/1/4653822.jpg",21
"31052-1",4541191,4,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"31052-1",6066113,2,"Black","System: Fences And Ladders",15332,"Fence 1X4X2 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/6066113.jpg",37
"31052-1",4106552,1,"Black","System: Figure Accessories In Hand",30089,"Camera","http://cache.lego.com/media/bricks/5/1/4106552.jpg",97
"31052-1",393826,2,"Black","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393826.jpg",175
"31052-1",383926,1,"Black","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/383926.jpg",164
"31052-1",408126,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"31052-1",4144575,2,"Black","System: Plates, Special",30383,"Plate 1X2 W/Stub/Along/Upper P","http://cache.lego.com/media/bricks/5/1/4144575.jpg",87
"31052-1",4225201,4,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"31052-1",4274405,1,"Black","System: Plates, Special",2508,"Plate 1X2X4 W. Ball","http://cache.lego.com/media/bricks/5/1/4274405.jpg",65
"31052-1",4529064,1,"Black","System: Plates, Special",63082,"Plate 2X2 W Ball Socket W/Cros","http://cache.lego.com/media/bricks/5/1/4529064.jpg",51
"31052-1",6016172,2,"Black","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6016172.jpg",136
"31052-1",614126,7,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"31052-1",4278359,6,"Black","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278359.jpg",241
"31052-1",6116604,4,"Black","System: Signs, Flags And Poles",21462,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/6116604.jpg",104
"31052-1",4617848,2,"Black","System: Tyres And Rims For Snap Ø3,2",92409,"Tyre Ø17,6 X 6,24","http://cache.lego.com/media/bricks/5/1/4617848.jpg",66
"31052-1",4541455,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",61254,"Tyre Low Narrow Ø24X7Mm","http://cache.lego.com/media/bricks/5/1/4541455.jpg",63
"31052-1",249626,2,"Black","System: Tyres And Rims, Special",2496,"Wheel Axle Ø8.2/Ø1.9","http://cache.lego.com/media/bricks/5/1/249626.jpg",185
"31052-1",662826,4,"Black","Technic: Connectors",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/1/662826.jpg",77
"31052-1",4121715,12,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
