SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3183-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"3183-1",4618603,1,"Bright Purple","System: Figure Accessories In Hand",48245,"Bucket","http://cache.lego.com/media/bricks/5/1/4618603.jpg",3
"3183-1",4621638,1,"Bright Purple","System: Figure Accessories In Hand",93092,"Bag, Basket","http://cache.lego.com/media/bricks/5/1/4621638.jpg",6
"3183-1",4216479,2,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"3183-1",6017069,1,"Bright Reddish Violet","System: Mini Figure",92818,"Female, Hip W/ Skirt 1","http://cache.lego.com/media/bricks/5/1/6017069.jpg",8
"3183-1",300424,4,"Bright Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300424.jpg",443
"3183-1",301024,2,"Bright Yellow","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301024.jpg",355
"3183-1",303924,1,"Bright Yellow","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303924.jpg",173
"3183-1",4621603,2,"Bright Yellow","System: Frames, Windows, Walls And Doors",93095,"Foot, Plate","http://cache.lego.com/media/bricks/5/1/4621603.jpg",12
"3183-1",302024,2,"Bright Yellow","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302024.jpg",367
"3183-1",302324,2,"Bright Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",473
"3183-1",306824,4,"Bright Yellow","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306824.jpg",137
"3183-1",4613344,2,"Bright Yellow","System: Plates, Special",93274,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/4613344.jpg",19
"3183-1",9553,1,"Bright Yellow","System: Transportation Means, Vehicles",73081,"Console W/St Wheel Ye/Bl","http://cache.lego.com/media/bricks/5/1/9553.jpg",186
"3183-1",4249040,2,"Cool Silver, Drum Lacquered","System: Plates, Special",51815,"Lattice Plate 1X2, Lacquered","http://cache.lego.com/media/bricks/5/1/4249040.jpg",89
"3183-1",4596240,1,"Cool Yellow","System: Figure, Wigs",92255,"Wig, Straight 1","http://cache.lego.com/media/bricks/5/1/4596240.jpg",14
"3183-1",242328,1,"Dark Green","System: Plants",2423,"Limb Element, Small","http://cache.lego.com/media/bricks/5/1/242328.jpg",153
"3183-1",4161674,1,"Dark Stone Grey","System: Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4161674.jpg",58
"3183-1",4210678,1,"Dark Stone Grey","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/4210678.jpg",190
"3183-1",4579354,1,"Dark Stone Grey","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4579354.jpg",145
"3183-1",6017021,1,"Light Nougat","System: Figure, Heads And Masks",11812,"Head, Female 1, Dec. 2","http://cache.lego.com/media/bricks/5/1/6017021.jpg",49
"3183-1",6018181,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 19","http://cache.lego.com/media/bricks/5/1/6018181.jpg",5
"3183-1",6049660,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 19","http://cache.lego.com/media/bricks/5/1/6049660.jpg",5
"3183-1",4529243,1,"Light Purple","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529243.jpg",5
"3183-1",6001649,1,"Light Purple","System: Figure Accessories In Hand",93080,"Accessories, Hair","http://cache.lego.com/media/bricks/5/1/6001649.jpg",1
"3183-1",4621609,1,"Light Purple","System: Plates",95555,"Flat Tile 1X2, Dec.Music P.","http://cache.lego.com/media/bricks/5/1/4621609.jpg",10
"3183-1",4620909,1,"Medium Azur","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4620909.jpg",33
"3183-1",4619520,4,"Medium Azur","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4619520.jpg",21
"3183-1",4618645,2,"Medium Azur","System: Frames, Windows, Walls And Doors",6231,"Wall Corner 1X1X1","http://cache.lego.com/media/bricks/5/1/4618645.jpg",17
"3183-1",4618647,3,"Medium Azur","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/4618647.jpg",22
"3183-1",4619515,1,"Medium Azur","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/4619515.jpg",20
"3183-1",4624705,2,"Medium Azur","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4624705.jpg",35
"3183-1",4625032,1,"Medium Azur","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4625032.jpg",34
"3183-1",4625036,2,"Medium Azur","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4625036.jpg",25
"3183-1",4619518,2,"Medium Azur","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4619518.jpg",3
"3183-1",4599550,4,"Medium Azur","System: Transportation Means, Vehicles",50745,"Brick  2X4X1 W. Screen","http://cache.lego.com/media/bricks/5/1/4599550.jpg",3
"3183-1",4619514,2,"Medium Lavender","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4619514.jpg",13
"3183-1",4625024,4,"Medium Lavender","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4625024.jpg",19
"3183-1",4625030,2,"Medium Lavender","System: Bricks, With Slope",52501,"Inverted Roof Tile 6X1X1","http://cache.lego.com/media/bricks/5/1/4625030.jpg",1
"3183-1",4619507,1,"Medium Lavender","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/4619507.jpg",17
"3183-1",4619521,4,"Medium Lavender","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4619521.jpg",17
"3183-1",4619524,2,"Medium Lavender","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4619524.jpg",35
"3183-1",4625022,2,"Medium Lavender","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4625022.jpg",14
"3183-1",4625027,4,"Medium Lavender","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4625027.jpg",24
"3183-1",4599549,1,"Medium Lavender","System: Transportation Means, Vehicles",52031,"Plate 4X6X2/3","http://cache.lego.com/media/bricks/5/1/4599549.jpg",1
"3183-1",6017046,1,"Medium Nougat","System: Animals And Creatures",11820,"Dog W Hole Ø 1.5, Dec. No. 1","http://cache.lego.com/media/bricks/5/1/6017046.jpg",6
"3183-1",4211503,1,"Medium Stone Grey","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/4211503.jpg",215
"3183-1",4211395,3,"Medium Stone Grey","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211395.jpg",551
