SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3187-1",6018848,1,"Aqua","System: Mini Figure",92818,"Female, Hip W/ Skirt 1","http://cache.lego.com/media/bricks/5/1/6018848.jpg",11
"3187-1",4625231,1,"Aqua","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4625231.jpg",2
"3187-1",300426,1,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"3187-1",4613153,1,"Black","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4613153.jpg",78
"3187-1",265326,3,"Black","System: Bricks, Special",2653,"Sliding Piece 1X4","http://cache.lego.com/media/bricks/5/1/265326.jpg",81
"3187-1",4164471,1,"Black","System: Bricks, Special Circles And Angles",3063,"Curved Brick 2 Knobs","http://cache.lego.com/media/bricks/5/1/4164471.jpg",38
"3187-1",4567436,1,"Black","System: Bricks, Special Circles And Angles",85080,"Brick 2X2W.Inside And Outs.Bow","http://cache.lego.com/media/bricks/5/1/4567436.jpg",23
"3187-1",4596243,1,"Black","System: Figure, Wigs",92258,"Wig,  Tied Back 1","http://cache.lego.com/media/bricks/5/1/4596243.jpg",4
"3187-1",4650864,1,"Black","System: Figure, Wigs",92257,"Wig, Ponytail 1","http://cache.lego.com/media/bricks/5/1/4650864.jpg",4
"3187-1",368026,1,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"3187-1",302026,2,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"3187-1",4225201,2,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"3187-1",4258354,2,"Black","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4258354.jpg",90
"3187-1",4556158,1,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"3187-1",4227392,1,"Black","System: Plates, Special Circles And Angles",30357,"Plate 3X3, 1/4 Circle","http://cache.lego.com/media/bricks/5/1/4227392.jpg",42
"3187-1",4124456,2,"Brick Yellow","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4124456.jpg",54
"3187-1",4140562,2,"Brick Yellow","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/4140562.jpg",109
"3187-1",4624571,2,"Bright Purple","System: Figure Accessories In Hand",93094,"Lipstick","http://cache.lego.com/media/bricks/5/1/4624571.jpg",10
"3187-1",4216479,3,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"3187-1",4624567,2,"Bright Red","System: Figure Accessories In Hand",93094,"Lipstick","http://cache.lego.com/media/bricks/5/1/4624567.jpg",1
"3187-1",4599741,2,"Bright Reddish Violet","System: Figure Accessories In Hand",93094,"Lipstick","http://cache.lego.com/media/bricks/5/1/4599741.jpg",1
"3187-1",614124,4,"Bright Yellow","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614124.jpg",294
"3187-1",4537936,2,"Bright Yellowish Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4537936.jpg",88
"3187-1",4183133,2,"Bright Yellowish Green","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4183133.jpg",211
"3187-1",4657469,1,"Dark Brown","System: Figure, Wigs",92255,"Wig, Straight 1","http://cache.lego.com/media/bricks/5/1/4657469.jpg",2
"3187-1",4295260,1,"Dark Green","System: Plates",82317,"Flat Tile 1X2, Dec. 100","http://cache.lego.com/media/bricks/5/1/4295260.jpg",127
"3187-1",4493478,1,"Dark Stone Grey","System: Plates",46339,"Flat Tile 1X2 No. 79","http://cache.lego.com/media/bricks/5/1/4493478.jpg",23
"3187-1",4210701,1,"Dark Stone Grey","System: Signs, Flags And Poles",30258,"Four-Sided Sign With Snap","http://cache.lego.com/media/bricks/5/1/4210701.jpg",12
"3187-1",6019089,1,"Earth Blue","System: Mini Figure",92818,"Female, Hip W/ Skirt 1","http://cache.lego.com/media/bricks/5/1/6019089.jpg",8
"3187-1",6001515,1,"Flame Yellowish Orange","System: Figure Accessories In Hand",93080,"Accessories, Hair","http://cache.lego.com/media/bricks/5/1/6001515.jpg",1
"3187-1",6017048,1,"Light Nougat","System: Figure, Heads And Masks",11819,"Head, Female 1, Dec. 5","http://cache.lego.com/media/bricks/5/1/6017048.jpg",37
"3187-1",6017071,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 11","http://cache.lego.com/media/bricks/5/1/6017071.jpg",6
"3187-1",4518890,6,"Light Purple","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4518890.jpg",18
"3187-1",4517995,2,"Light Purple","System: Bricks, With Slope",3040,"Roof Tile 1X2/45Â°","http://cache.lego.com/media/bricks/5/1/4517995.jpg",22
"3187-1",4599534,1,"Light Purple","System: Interior",4536,"Drawer","http://cache.lego.com/media/bricks/5/1/4599534.jpg",16
"3187-1",4610355,2,"Light Purple","System: Plates",92438,"Plate 8X16","http://cache.lego.com/media/bricks/5/1/4610355.jpg",5
"3187-1",4619635,4,"Medium Azur","System: Bricks",2453,"Brick 1X1X5","http://cache.lego.com/media/bricks/5/1/4619635.jpg",1
"3187-1",4619653,2,"Medium Azur","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/4619653.jpg",11
"3187-1",4619655,2,"Medium Azur","System: Bricks, With Slope",3040,"Roof Tile 1X2/45Â°","http://cache.lego.com/media/bricks/5/1/4619655.jpg",16
"3187-1",4618645,4,"Medium Azur","System: Frames, Windows, Walls And Doors",6231,"Wall Corner 1X1X1","http://cache.lego.com/media/bricks/5/1/4618645.jpg",17
"3187-1",4618647,3,"Medium Azur","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/4618647.jpg",22
"3187-1",4624705,3,"Medium Azur","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4624705.jpg",35
