SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3189-1",4599734,2,"Black","System: Animals And Creatures",93087,"Bridle","http://cache.lego.com/media/bricks/5/1/4599734.jpg",6
"3189-1",601926,1,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"3189-1",4517925,1,"Black","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4517925.jpg",191
"3189-1",4109714,1,"Black","System: Rubbers And Strings",76064,"String With Knobs 10 M","http://cache.lego.com/media/bricks/5/1/4109714.jpg",32
"3189-1",6037558,1,"Black","System: Rubbers And Strings",14226,"String 11M W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/6037558.jpg",54
"3189-1",249626,1,"Black","System: Tyres And Rims, Special",2496,"Wheel Axle Ø8.2/Ø1.9","http://cache.lego.com/media/bricks/5/1/249626.jpg",185
"3189-1",4109995,26,"Brick Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",277
"3189-1",4112982,6,"Brick Yellow","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/4112982.jpg",113
"3189-1",4113915,4,"Brick Yellow","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4113915.jpg",165
"3189-1",4113916,26,"Brick Yellow","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4113916.jpg",170
"3189-1",4615599,1,"Brick Yellow","System: Bricks",92538,"Brick 2X10","http://cache.lego.com/media/bricks/5/1/4615599.jpg",16
"3189-1",6096383,2,"Brick Yellow","System: Bricks With Bows And Arches",18838,"Arch 1X12X3","http://cache.lego.com/media/bricks/5/1/6096383.jpg",7
"3189-1",4121972,16,"Brick Yellow","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121972.jpg",115
"3189-1",4129996,8,"Brick Yellow","System: Bricks, With Slope",4460,"Roof Tile 1X2X3/73°","http://cache.lego.com/media/bricks/5/1/4129996.jpg",30
"3189-1",4624988,2,"Brick Yellow","System: Bricks, With Slope",92946,"Roof Tile 1X2 45° W 1/3 Plate","http://cache.lego.com/media/bricks/5/1/4624988.jpg",10
"3189-1",4512688,2,"Brick Yellow","System: Frames, Windows, Walls And Doors",59349,"Wall Element 1X6X5, Abs","http://cache.lego.com/media/bricks/5/1/4512688.jpg",24
"3189-1",306923,4,"Bright Blue","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306923.jpg",165
