SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3315-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"3315-1",654126,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654126.jpg",220
"3315-1",4223247,1,"Black","System: Figure Accessories, Upper And Lower Part",30377,"Space Skeleton Arm","http://cache.lego.com/media/bricks/5/1/4223247.jpg",126
"3315-1",4596244,1,"Black","System: Figure, Wigs",92259,"Wig, Page 1","http://cache.lego.com/media/bricks/5/1/4596244.jpg",5
"3315-1",368026,2,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"3315-1",459926,1,"Black","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459926.jpg",209
"3315-1",243126,3,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"3315-1",4100378,1,"Black","System: Plates",6180,"Plate 4X6 W. 12 Knobs","http://cache.lego.com/media/bricks/5/1/4100378.jpg",60
"3315-1",4243819,1,"Black","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243819.jpg",273
"3315-1",4565323,1,"Black","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565323.jpg",123
"3315-1",4140588,1,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"3315-1",4258354,1,"Black","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4258354.jpg",90
"3315-1",614126,8,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"3315-1",4278359,1,"Black","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278359.jpg",241
"3315-1",4121715,2,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"3315-1",4112980,4,"Brick Yellow","System: Bricks",2453,"Brick 1X1X5","http://cache.lego.com/media/bricks/5/1/4112980.jpg",45
"3315-1",4113915,4,"Brick Yellow","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4113915.jpg",165
"3315-1",4113916,1,"Brick Yellow","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4113916.jpg",170
"3315-1",4114064,19,"Brick Yellow","System: Bricks",2454,"Brick 1X2X5","http://cache.lego.com/media/bricks/5/1/4114064.jpg",74
"3315-1",4159279,4,"Brick Yellow","System: Bricks",3245,"Brick 1X2X2","http://cache.lego.com/media/bricks/5/1/4159279.jpg",60
"3315-1",4166138,2,"Brick Yellow","System: Bricks",6111,"Brick 1X10","http://cache.lego.com/media/bricks/5/1/4166138.jpg",28
"3315-1",4125220,3,"Brick Yellow","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/4125220.jpg",59
"3315-1",4624988,4,"Brick Yellow","System: Bricks, With Slope",92946,"Roof Tile 1X2 45° W 1/3 Plate","http://cache.lego.com/media/bricks/5/1/4624988.jpg",10
"3315-1",4512688,6,"Brick Yellow","System: Frames, Windows, Walls And Doors",59349,"Wall Element 1X6X5, Abs","http://cache.lego.com/media/bricks/5/1/4512688.jpg",24
"3315-1",4611414,1,"Brick Yellow","System: Plates",91405,"Plate 16X16","http://cache.lego.com/media/bricks/5/1/4611414.jpg",20
"3315-1",4666579,2,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"3315-1",4107050,1,"Bright Green","System: Foodstuff",33051,"Apple With Leaf","http://cache.lego.com/media/bricks/5/1/4107050.jpg",77
"3315-1",4119479,2,"Bright Green","System: Foodstuff",33183,"Carrot Top","http://cache.lego.com/media/bricks/5/1/4119479.jpg",116
"3315-1",4619599,5,"Bright Green","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4619599.jpg",134
"3315-1",4107432,1,"Bright Green","System: Plants",6255,"Leaves 3 Elements","http://cache.lego.com/media/bricks/5/1/4107432.jpg",33
"3315-1",4143562,1,"Bright Green","System: Plants",4727,"Flower, Stalk","http://cache.lego.com/media/bricks/5/1/4143562.jpg",61
"3315-1",4610353,3,"Bright Green","System: Plates",92438,"Plate 8X16","http://cache.lego.com/media/bricks/5/1/4610353.jpg",24
"3315-1",4119478,2,"Bright Orange","System: Foodstuff",33172,"Carrot","http://cache.lego.com/media/bricks/5/1/4119478.jpg",76
"3315-1",4157103,1,"Bright Orange","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4157103.jpg",161
"3315-1",4216479,8,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"3315-1",4216375,1,"Bright Purple","System: Plants",3742,"Flowerhead","http://cache.lego.com/media/bricks/4/1/4216375.jpg",39
"3315-1",4521852,1,"Bright Red","System: Bricks With Bows And Arches",30165,"Brick 2X2 W. Bow And Knobs","http://cache.lego.com/media/bricks/5/1/4521852.jpg",37
"3315-1",4520952,1,"Bright Red","System: Foodstuff",33078,"Sausage","http://cache.lego.com/media/bricks/5/1/4520952.jpg",33
"3315-1",6062390,1,"Bright Red","System: Foodstuff",22667,"Cherry,","http://cache.lego.com/media/bricks/5/1/6062390.jpg",7
"3315-1",6100565,1,"Bright Red","System: Foodstuff",18660,"Cherry,","http://cache.lego.com/media/bricks/5/1/6100565.jpg",17
"3315-1",4521851,1,"Bright Red","System: Interior",4346,"Mailbox, Front 2X2","http://cache.lego.com/media/bricks/5/1/4521851.jpg",21
"3315-1",6019653,1,"Bright Red","System: Mini Figure",92817,"Female, Hip W/Skirt 3","http://cache.lego.com/media/bricks/5/1/6019653.jpg",1
