SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3366-1",265326,2,"Black","System: Bricks, Special",2653,"Sliding Piece 1X4","http://cache.lego.com/media/bricks/5/1/265326.jpg",81
"3366-1",4216660,2,"Black","System: Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4216660.jpg",93
"3366-1",6022160,1,"Black","System: Bricks, Special Circles And Angles",3942,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/6022160.jpg",11
"3366-1",6092664,1,"Black","System: Bricks, Special Circles And Angles",14918,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/6092664.jpg",32
"3366-1",393826,1,"Black","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393826.jpg",175
"3366-1",383926,1,"Black","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/383926.jpg",164
"3366-1",448826,4,"Black","System: Plates, Special",4488,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/448826.jpg",68
"3366-1",4609276,1,"Black","System: Signs, Flags And Poles",93336,"4-Edged Sign Computer Screen","http://cache.lego.com/media/bricks/5/1/4609276.jpg",7
"3366-1",6064043,1,"Black","System: Signs, Flags And Poles",93336,"4-Edged Sign Computer Screen","http://cache.lego.com/media/bricks/5/1/6064043.jpg",16
"3366-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"3366-1",6092658,4,"Black","System: Wheel Base",10313,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/6092658.jpg",60
"3366-1",4567909,1,"Bright Blue","System: Figure, Head Clothing",86035,"Mini U.S. Cap","http://cache.lego.com/media/bricks/5/1/4567909.jpg",49
"3366-1",9341,1,"Bright Blue","System: Mini Figure",73200,"Mini Body Lowerpart Blue","http://cache.lego.com/media/bricks/5/1/9341.jpg",390
"3366-1",4548877,1,"Bright Blue","System: Mini Figure",76382,"Mini Upper Part 'No. 1470'","http://cache.lego.com/media/bricks/5/1/4548877.jpg",27
"3366-1",300921,3,"Bright Red","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300921.jpg",304
"3366-1",4558886,6,"Bright Red","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4558886.jpg",72
"3366-1",4121934,2,"Bright Red","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121934.jpg",260
"3366-1",389921,1,"Bright Red","System: Figure Accessories In Hand",3899,"Mug","http://cache.lego.com/media/bricks/5/1/389921.jpg",177
"3366-1",4288209,1,"Bright Red","System: Gates And Roofs",3822,"Left Door 1X3","http://cache.lego.com/media/bricks/5/1/4288209.jpg",36
"3366-1",4537986,1,"Bright Red","System: Gates And Roofs",3821,"Right Door 1X3","http://cache.lego.com/media/bricks/5/1/4537986.jpg",35
"3366-1",403221,3,"Bright Red","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403221.jpg",211
"3366-1",300424,1,"Bright Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300424.jpg",443
"3366-1",4180814,2,"Bright Yellow","System: Bricks, Special Circles And Angles",43888,"Column 1X1X6","http://cache.lego.com/media/bricks/5/1/4180814.jpg",4
"3366-1",4570663,1,"Bright Yellow","System: Figure, Heads And Masks",89164,"Mini Head No. 646","http://cache.lego.com/media/bricks/5/1/4570663.jpg",11
"3366-1",393724,1,"Bright Yellow","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393724.jpg",58
"3366-1",407924,1,"Bright Yellow","System: Interior",4079,"Seat 2X2X2","http://cache.lego.com/media/bricks/5/1/407924.jpg",145
"3366-1",241224,7,"Bright Yellow","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241224.jpg",177
"3366-1",302124,1,"Bright Yellow","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302124.jpg",261
"3366-1",4140587,3,"Bright Yellow","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140587.jpg",57
"3366-1",4535740,2,"Bright Yellow","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535740.jpg",26
"3366-1",4615642,1,"Bright Yellow","System: Plates, Special",92411,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/4615642.jpg",63
"3366-1",6117938,1,"Bright Yellow","System: Plates, Special",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6117938.jpg",38
"3366-1",9553,1,"Bright Yellow","System: Transportation Means, Vehicles",73081,"Console W/St Wheel Ye/Bl","http://cache.lego.com/media/bricks/5/1/9553.jpg",186
"3366-1",302028,1,"Dark Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302028.jpg",211
