SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3817-1",609126,1,"Black","System: Bricks With Bows And Arches",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/609126.jpg",145
"3817-1",4118624,5,"Black","System: Bricks, Special",30237,"Brick 1X2 W. Horizontal Holder","http://cache.lego.com/media/bricks/5/1/4118624.jpg",40
"3817-1",4162443,2,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"3817-1",6092876,5,"Black","System: Bricks, Special",95820,"Brick 1X2 W. Horizontal Holder","http://cache.lego.com/media/bricks/5/1/6092876.jpg",30
"3817-1",389426,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3894,"Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/1/389426.jpg",160
"3817-1",4159103,1,"Black","System: Connectors",2566,"Assembly Element Ø3.2","http://cache.lego.com/media/bricks/5/1/4159103.jpg",83
"3817-1",4532220,1,"Black","System: Connectors",2566,"Assembly Element Ø3.2","http://cache.lego.com/media/bricks/5/1/4532220.jpg",55
"3817-1",4189009,1,"Black","System: Figure Accessories In Hand",3837,"Mini Shovel","http://cache.lego.com/media/bricks/5/1/4189009.jpg",48
"3817-1",4223189,2,"Black","System: Figure Accessories In Hand",6269,"Cup Without Wreath","http://cache.lego.com/media/bricks/5/1/4223189.jpg",26
"3817-1",4658972,1,"Black","System: Figure, Head Clothing",74900,"Admiral\U0027S Hat 'No 3'","http://cache.lego.com/media/bricks/5/1/4658972.jpg",1
"3817-1",4105221,4,"Black","System: Frames, Windows, Walls And Doors",30045,"Cavity W. Iron Lattice","http://cache.lego.com/media/bricks/5/1/4105221.jpg",32
"3817-1",393726,5,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"3817-1",303526,1,"Black","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303526.jpg",211
"3817-1",281726,2,"Black","System: Plates, Special",2817,"Technic Doub. Bearing Pl. 2X2","http://cache.lego.com/media/bricks/5/1/281726.jpg",189
"3817-1",474026,1,"Black","System: Plates, Special Circles And Angles",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/1/474026.jpg",183
"3817-1",4184617,1,"Black","System: Signs, Flags And Poles",44676,"Banner 26 Deg. M. 2 Holdere","http://cache.lego.com/media/bricks/5/1/4184617.jpg",63
"3817-1",4538722,1,"Black","System: Signs, Flags And Poles",63965,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/4538722.jpg",174
"3817-1",6081988,1,"Black","System: Signs, Flags And Poles",18274,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/6081988.jpg",113
"3817-1",4648298,1,"Black","System: Transportation Means, Ships",6076,"Mast 10M W/Ball","http://cache.lego.com/media/bricks/5/1/4648298.jpg",13
"3817-1",73081,1,"Black","System: Transportation Means, Vehicles",73081,"Console W/St.Wheel Bl/Bl","http://cache.lego.com/media/bricks/5/1/73081.jpg",76
"3817-1",370826,1,"Black","Technic: Connectors",3708,"Cross Axle 12M","http://cache.lego.com/media/bricks/5/1/370826.jpg",347
"3817-1",4296268,1,"Black","Technic: Tubes",60676,"Outer Cable 96Mm","http://cache.lego.com/media/bricks/5/1/4296268.jpg",7
"3817-1",4124460,1,"Brick Yellow","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/4124460.jpg",55
"3817-1",4509897,1,"Brick Yellow","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/4509897.jpg",48
"3817-1",4585203,1,"Brick Yellow","System: Plates",90816,"Flat Tile 2X2 'No.167'","http://cache.lego.com/media/bricks/5/1/4585203.jpg",7
"3817-1",4140562,1,"Brick Yellow","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/4140562.jpg",109
"3817-1",4626948,1,"Brick Yellow","System: Plates, Special Circles And Angles",30504,"Corner Plate 45 Deg. 8X8","http://cache.lego.com/media/bricks/5/1/4626948.jpg",7
"3817-1",4543857,1,"Bright Blue","System: Mini Figure",41879,"Mini Leg","http://cache.lego.com/media/bricks/5/1/4543857.jpg",39
"3817-1",4647546,7,"Bright Green","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4647546.jpg",5
"3817-1",4647548,3,"Bright Green","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4647548.jpg",4
"3817-1",302121,1,"Bright Red","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302121.jpg",357
"3817-1",6018391,1,"Bright Yellow","System: Figure, Heads And Masks",11930,"Head Sponge Bob 'No. 11'","http://cache.lego.com/media/bricks/5/1/6018391.jpg",1
"3817-1",4654968,1,"Bright Yellow","System: Mini Figure",76382,"Mini Upper Part No.1980","http://cache.lego.com/media/bricks/5/1/4654968.jpg",1
"3817-1",302124,1,"Bright Yellow","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302124.jpg",261
"3817-1",4519970,9,"Dark Brown","System: Bricks",30136,"Palisade Brick 1X2","http://cache.lego.com/media/bricks/5/1/4519970.jpg",63
"3817-1",4648296,6,"Dark Brown","System: Bricks, With Slope",3660,"Roof Tile 2X2/45 Inv.","http://cache.lego.com/media/bricks/5/1/4648296.jpg",15
"3817-1",4648300,1,"Dark Brown","System: Transportation Means, Aviation",87616,"Inv. Roof T.6X10X4 W.Doubl.Bow","http://cache.lego.com/media/bricks/5/1/4648300.jpg",1
"3817-1",4106356,1,"Dark Green","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4106356.jpg",225
"3817-1",4653205,2,"Dark Green","System: Bricks With Bows And Arches",30099,"Brick With Bow 1X5X4 Inv.","http://cache.lego.com/media/bricks/5/1/4653205.jpg",1
"3817-1",4529239,4,"Dark Green","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529239.jpg",86
"3817-1",4629678,2,"Dark Green","System: Bricks, With Slope",2449,"Roof Tile 1X2X3/74° Inv.","http://cache.lego.com/media/bricks/5/1/4629678.jpg",2
"3817-1",4655148,4,"Dark Green","System: Figure Accessories In Hand",30340,"Lifebuoy With Knob","http://cache.lego.com/media/bricks/5/1/4655148.jpg",8
"3817-1",6019062,1,"Dark Green","System: Figure, Head Clothing",12185,"Big Pirate Hat  'No.3'","http://cache.lego.com/media/bricks/5/1/6019062.jpg",1
"3817-1",4651926,1,"Dark Green","System: Mini Figure",98376,"Mini Genie Lower Part","http://cache.lego.com/media/bricks/5/1/4651926.jpg",1
"3817-1",4654997,1,"Dark Green","System: Mini Figure",76382,"Mini Upper Part No.1981","http://cache.lego.com/media/bricks/5/1/4654997.jpg",1
"3817-1",4258459,4,"Dark Green","System: Plants",6148,"Palmleaf, Small","http://cache.lego.com/media/bricks/5/1/4258459.jpg",22
"3817-1",302228,1,"Dark Green","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302228.jpg",219
"3817-1",379428,2,"Dark Green","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379428.jpg",77
"3817-1",449528,1,"Dark Green","System: Signs, Flags And Poles",4495,"Streamer","http://cache.lego.com/media/bricks/5/1/449528.jpg",59
"3817-1",4211095,3,"Dark Stone Grey","System: Bricks",30136,"Palisade Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211095.jpg",101
"3817-1",4211090,6,"Dark Stone Grey","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211090.jpg",205
"3817-1",4211046,1,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6232,"Brick 2X2 W. Snap And Cross","http://cache.lego.com/media/bricks/5/1/4211046.jpg",79
"3817-1",4210789,2,"Dark Stone Grey","System: Figure, Weapons",2530,"Sword","http://cache.lego.com/media/bricks/5/1/4210789.jpg",47
"3817-1",4211002,5,"Dark Stone Grey","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4211002.jpg",487
"3817-1",4211043,1,"Dark Stone Grey","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211043.jpg",485
"3817-1",4211063,10,"Dark Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211063.jpg",576
"3817-1",4211069,2,"Dark Stone Grey","System: Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/4211069.jpg",185
"3817-1",4263176,1,"Dark Stone Grey","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/4263176.jpg",85
"3817-1",4581225,2,"Dark Stone Grey","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4581225.jpg",84
"3817-1",6030710,2,"Dark Stone Grey","System: Plates, Special",12825,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6030710.jpg",121
"3817-1",4278274,4,"Dark Stone Grey","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278274.jpg",171
"3817-1",4521572,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",32059,"Plate 4X6 26 Degrees","http://cache.lego.com/media/bricks/5/1/4521572.jpg",35
"3817-1",4210980,2,"Dark Stone Grey","Technic: Half Beams",41677,"Technic Lever 2M","http://cache.lego.com/media/bricks/5/1/4210980.jpg",84
"3817-1",4655012,1,"Earth Green","System: Figure, Heads And Masks",72319,"Mini Head 'No. 921'","http://cache.lego.com/media/bricks/5/1/4655012.jpg",1
"3817-1",6018349,1,"Light Nougat","System: Figure, Heads And Masks",11918,"Head Patrick  'No. 6'","http://cache.lego.com/media/bricks/5/1/6018349.jpg",1
"3817-1",4655014,1,"Light Nougat","System: Mini Figure",72321,"Mini Lowerpart 'No. 299'","http://cache.lego.com/media/bricks/5/1/4655014.jpg",1
"3817-1",4211385,1,"Medium Stone Grey","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4211385.jpg",253
"3817-1",4211435,4,"Medium Stone Grey","System: Bricks With Bows And Arches",3659,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4211435.jpg",73
"3817-1",4211614,10,"Medium Stone Grey","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4211614.jpg",234
"3817-1",4211846,2,"Medium Stone Grey","System: Bricks, With Slope",3046,"Corner Brick 2X2/45° Inside","http://cache.lego.com/media/bricks/4/1/4211846.jpg",3
"3817-1",4521921,5,"Medium Stone Grey","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4521921.jpg",261
"3817-1",4542590,1,"Medium Stone Grey","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4542590.jpg",71
"3817-1",4211470,4,"Medium Stone Grey","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4211470.jpg",110
"3817-1",4211881,1,"Medium Stone Grey","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4211881.jpg",193
"3817-1",4211395,3,"Medium Stone Grey","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211395.jpg",551
"3817-1",4211414,1,"Medium Stone Grey","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4211414.jpg",315
"3817-1",4244627,1,"Medium Stone Grey","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4244627.jpg",280
"3817-1",4211483,4,"Medium Stone Grey","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4211483.jpg",572
"3817-1",4211815,1,"Medium Stone Grey","Technic: Connectors",4519,"Cross Axle 3M","http://cache.lego.com/media/bricks/5/1/4211815.jpg",841
"3817-1",4211166,1,"Reddish Brown","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/4211166.jpg",165
"3817-1",4529242,9,"Reddish Brown","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529242.jpg",111
"3817-1",4542131,4,"Reddish Brown","System: Frames, Windows, Walls And Doors",30044,"Window Frame 1X2X2 2/3","http://cache.lego.com/media/bricks/5/1/4542131.jpg",39
"3817-1",4538718,1,"Reddish Brown","System: Functional Elements",2527,"Gun Carriage 2X4X1 1/3","http://cache.lego.com/media/bricks/5/1/4538718.jpg",9
"3817-1",4211163,1,"Reddish Brown","System: Interior",4739,"Chest Lid 2X4","http://cache.lego.com/media/bricks/5/1/4211163.jpg",72
"3817-1",4263459,1,"Reddish Brown","System: Interior",4424,"Fabuland Tub","http://cache.lego.com/media/bricks/5/1/4263459.jpg",41
"3817-1",4533101,1,"Reddish Brown","System: Interior",4738,"Chest 2X4","http://cache.lego.com/media/bricks/5/1/4533101.jpg",74
"3817-1",4541875,1,"Reddish Brown","System: Interior",64951,"Tub","http://cache.lego.com/media/bricks/5/1/4541875.jpg",35
"3817-1",4211190,2,"Reddish Brown","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211190.jpg",281
"3817-1",4211194,11,"Reddish Brown","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4211194.jpg",126
"3817-1",4211211,1,"Reddish Brown","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4211211.jpg",102
"3817-1",4216945,1,"Reddish Brown","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4216945.jpg",81
"3817-1",4221590,2,"Reddish Brown","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4221590.jpg",154
"3817-1",4216581,13,"Reddish Brown","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4216581.jpg",230
"3817-1",4262974,1,"Reddish Brown","System: Signs, Flags And Poles",30374,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/4262974.jpg",122
"3817-1",4531751,1,"Reddish Brown","Technic: Connectors",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/1/4531751.jpg",58
"3817-1",4653199,1,"Sand Green","System: Figure Accessories, Upper Body",61976,"Shoulder Bag","http://cache.lego.com/media/bricks/5/1/4653199.jpg",2
"3817-1",4578032,2,"Sand Yellow","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4578032.jpg",53
"3817-1",4638950,1,"Titanium Metallic","System: Functional Elements",84943,"Cannon","http://cache.lego.com/media/bricks/5/1/4638950.jpg",19
"3817-1",4107106,3,"Transparent Fluorescent Green","System: Bricks, Special Circles And Angles",30068,"Round Brick 1 - Tr","http://cache.lego.com/media/bricks/5/1/4107106.jpg",55
"3817-1",4183544,3,"Transparent Light Blue","System: Bricks, Special Circles And Angles",30068,"Round Brick 1 - Tr","http://cache.lego.com/media/bricks/5/1/4183544.jpg",130
"3817-1",4523159,3,"Warm Gold","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/4523159.jpg",229
"3817-1",4655043,1,"White","System: Frames, Windows, Walls And Doors",72327,"Wall Element 4X4X6,Round'No.1'","http://cache.lego.com/media/bricks/5/1/4655043.jpg",1
"3817-1",4654993,1,"White","System: Mini Figure",76382,"Mini Upper Part No.1982","http://cache.lego.com/media/bricks/5/1/4654993.jpg",1
"3817-1",4613256,2,"White","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4613256.jpg",104
