SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"3930-1",614126,4,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"3930-1",4113917,1,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"3930-1",4140562,1,"Brick Yellow","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/4140562.jpg",109
"3930-1",4216479,1,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"3930-1",4220632,2,"Bright Yellowish Green","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4220632.jpg",116
"3930-1",4527943,3,"Bright Yellowish Green","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/4527943.jpg",38
"3930-1",4537936,1,"Bright Yellowish Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4537936.jpg",88
"3930-1",4596240,1,"Cool Yellow","System: Figure, Wigs",92255,"Wig, Straight 1","http://cache.lego.com/media/bricks/5/1/4596240.jpg",14
"3930-1",6017021,1,"Light Nougat","System: Figure, Heads And Masks",11812,"Head, Female 1, Dec. 2","http://cache.lego.com/media/bricks/5/1/6017021.jpg",49
"3930-1",6018181,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 19","http://cache.lego.com/media/bricks/5/1/6018181.jpg",5
"3930-1",6049660,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 19","http://cache.lego.com/media/bricks/5/1/6049660.jpg",5
"3930-1",4618629,1,"Light Purple","System: Figure Accessories In Hand",6256,"Dish Ø24","http://cache.lego.com/media/bricks/5/1/4618629.jpg",30
"3930-1",4517996,7,"Light Purple","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/4517996.jpg",94
"3930-1",4618647,2,"Medium Azur","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/4618647.jpg",22
"3930-1",4619596,1,"Medium Blue","System: Bricks",95275,"Brick 1X1 No. '6'","http://cache.lego.com/media/bricks/5/1/4619596.jpg",22
"3930-1",6018863,1,"Medium Lavender","System: Mini Figure",92820,"Female, Hip With Skirt 2, Ass.","http://cache.lego.com/media/bricks/5/1/6018863.jpg",7
"3930-1",4211491,1,"Medium Stone Grey","System: Interior",4345,"Mailbox, Casing 2X2X2","http://cache.lego.com/media/bricks/5/1/4211491.jpg",65
"3930-1",4211503,1,"Medium Stone Grey","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/4211503.jpg",215
"3930-1",4211151,1,"Reddish Brown","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4211151.jpg",157
"3930-1",4221744,1,"Reddish Brown","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4221744.jpg",113
"3930-1",3000240,1,"Transparent","System: Figure Accessories In Hand",30002,"Cup Without Wreath - Tr","http://cache.lego.com/media/bricks/5/1/3000240.jpg",123
"3930-1",4219773,1,"Transparent","System: Interior",30059,"Mailbox, Front 2X2","http://cache.lego.com/media/bricks/5/1/4219773.jpg",51
"3930-1",4183544,1,"Transparent Light Blue","System: Bricks, Special Circles And Angles",30068,"Round Brick 1 - Tr","http://cache.lego.com/media/bricks/5/1/4183544.jpg",130
"3930-1",300101,1,"White","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300101.jpg",483
"3930-1",300401,2,"White","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300401.jpg",789
"3930-1",306201,1,"White","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306201.jpg",265
"3930-1",4650644,1,"White","System: Bricks, Special Circles And Angles",92947,"Profile Brick Ø15.83 W. Cross","http://cache.lego.com/media/bricks/5/1/4650644.jpg",39
"3930-1",4504369,1,"White","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504369.jpg",350
"3930-1",4515347,1,"White","System: Plates, Special Circles And Angles",60474,"Plate 4X4 Round W. Snap","http://cache.lego.com/media/bricks/5/1/4515347.jpg",77
"3930-1",4616174,1,"White","System: Plates, Special Circles And Angles",94656,"Round Plate Ø32X6.4 Deco","http://cache.lego.com/media/bricks/5/1/4616174.jpg",5
"3930-1",6044691,1,"White","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6044691.jpg",84
"3930-1",4538720,1,"White","System: Signs, Flags And Poles",63965,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/4538720.jpg",79
