SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41002-1",300226,2,"Black","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300226.jpg",335
"41002-1",362626,1,"Black","System: Figure, Heads And Masks",3626,"Mini Head","http://cache.lego.com/media/bricks/5/1/362626.jpg",65
"41002-1",6096109,1,"Black","System: Figure, Wigs",18637,"Wig,  Tied Back 1","http://cache.lego.com/media/bricks/5/1/6096109.jpg",26
"41002-1",243126,2,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"41002-1",307026,2,"Black","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",204
"41002-1",4565323,3,"Black","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565323.jpg",123
"41002-1",4107761,4,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"41002-1",4109995,4,"Brick Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",277
"41002-1",4113917,2,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"41002-1",4113993,5,"Brick Yellow","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4113993.jpg",152
"41002-1",4118790,1,"Brick Yellow","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4118790.jpg",182
"41002-1",4622743,2,"Bright Purple","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/4622743.jpg",6
"41002-1",4519196,2,"Bright Reddish Violet","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/4519196.jpg",3
"41002-1",6030344,2,"Bright Reddish Violet","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/6030344.jpg",1
"41002-1",4611415,2,"Bright Reddish Violet","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4611415.jpg",46
"41002-1",242328,2,"Dark Green","System: Plants",2423,"Limb Element, Small","http://cache.lego.com/media/bricks/5/1/242328.jpg",153
"41002-1",4646810,1,"Dark Stone Grey","System: Figure, Head Clothing",98130,"Mini Kendo Mask","http://cache.lego.com/media/bricks/5/1/4646810.jpg",1
"41002-1",6003003,4,"Flame Yellowish Orange","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/6003003.jpg",29
"41002-1",4621543,1,"Flame Yellowish Orange","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4621543.jpg",12
"41002-1",6023826,1,"Lavender","System: Figure, Head Clothing",11618,"Bow No. 1","http://cache.lego.com/media/bricks/5/1/6023826.jpg",23
"41002-1",6017048,1,"Light Nougat","System: Figure, Heads And Masks",11819,"Head, Female 1, Dec. 5","http://cache.lego.com/media/bricks/5/1/6017048.jpg",37
"41002-1",6051053,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 24","http://cache.lego.com/media/bricks/5/1/6051053.jpg",1
"41002-1",4580007,4,"Light Purple","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/4580007.jpg",12
"41002-1",4615728,2,"Light Purple","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/4615728.jpg",35
"41002-1",4625629,2,"Medium Azur","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4625629.jpg",20
"41002-1",6087082,1,"Medium Lavender","System: Figure Accessories In Hand",18658,"Bag, Basket","http://cache.lego.com/media/bricks/5/1/6087082.jpg",11
"41002-1",4619512,4,"Medium Lavender","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4619512.jpg",54
"41002-1",4619516,2,"Medium Lavender","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4619516.jpg",38
"41002-1",4625022,1,"Medium Lavender","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4625022.jpg",14
"41002-1",4183901,1,"New Dark Red","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4183901.jpg",66
"41002-1",4539114,1,"New Dark Red","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4539114.jpg",57
"41002-1",4529242,1,"Reddish Brown","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529242.jpg",111
"41002-1",4211207,1,"Reddish Brown","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/4211207.jpg",41
"41002-1",4224243,2,"Reddish Brown","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4224243.jpg",66
"41002-1",6075208,1,"Reddish Brown","System: Signs, Flags And Poles",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/1/6075208.jpg",39
"41002-1",4266902,1,"Sand Yellow","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4266902.jpg",20
"41002-1",4612900,1,"Silver Metallic","System: Figure, Weapons",30173,"Ninja Sword","http://cache.lego.com/media/bricks/5/1/4612900.jpg",40
"41002-1",3006840,1,"Transparent","System: Bricks, Special Circles And Angles",30068,"Round Brick 1 - Tr","http://cache.lego.com/media/bricks/5/1/3006840.jpg",105
"41002-1",4639781,1,"Transparent","System: Frames, Windows, Walls And Doors",93674,"Glas For Frame 1X4X6 'No.1'","http://cache.lego.com/media/bricks/5/1/4639781.jpg",4
"41002-1",6000740,4,"Transparent","System: Frames, Windows, Walls And Doors",94638,"Wallelement 1X2X2, Pc","http://cache.lego.com/media/bricks/5/1/6000740.jpg",54
"41002-1",6030347,1,"Transparent","System: Frames, Windows, Walls And Doors",93674,"Glas For Frame 1X4X6 'No.1'","http://cache.lego.com/media/bricks/4/1/6030347.jpg",1
"41002-1",4567331,1,"Transparent Blue","System: Bricks, Special Circles And Angles",64288,"Nose Cone Small 1X1 - Tr","http://cache.lego.com/media/bricks/5/1/4567331.jpg",89
"41002-1",3005743,2,"Transparent Blue","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005743.jpg",213
"41002-1",4505990,1,"Warm Gold","System: Figure Accessories In Hand",6269,"Cup Without Wreath","http://cache.lego.com/media/bricks/5/1/4505990.jpg",84
"41002-1",4649422,1,"Warm Gold","System: Plates, Special Circles And Angles",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/1/4649422.jpg",80
"41002-1",245301,2,"White","System: Bricks",2453,"Brick 1X1X5","http://cache.lego.com/media/bricks/5/1/245301.jpg",111
"41002-1",6092873,1,"White","System: Bricks, Special",95820,"Brick 1X2 W. Horizontal Holder","http://cache.lego.com/media/bricks/5/1/6092873.jpg",43
"41002-1",4541956,1,"White","System: Frames, Windows, Walls And Doors",60596,"Frame 1X4X6","http://cache.lego.com/media/bricks/5/1/4541956.jpg",92
"41002-1",383101,1,"White","System: Functional Elements",3831,"Hinge 1X2 Lower Part","http://cache.lego.com/media/bricks/5/1/383101.jpg",41
"41002-1",6011456,1,"White","System: Functional Elements",3830,"Hinge 1X2 Upper Part","http://cache.lego.com/media/bricks/5/1/6011456.jpg",28
"41002-1",6082459,1,"White","System: Mini Figure",18353,"Female, Hip W/Shorts No.1 Dec 2","http://cache.lego.com/media/bricks/5/1/6082459.jpg",1
"41002-1",302301,4,"White","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302301.jpg",799
"41002-1",306901,1,"White","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306901.jpg",539
"41002-1",663601,1,"White","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663601.jpg",258
"41002-1",614101,1,"White","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614101.jpg",443
