SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41004-1",6018580,1,"Aqua","System: Figure Accessories In Hand",11973,"El Guitar No.1, No.1 Dec","http://cache.lego.com/media/bricks/5/1/6018580.jpg",3
"41004-1",4613153,1,"Black","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4613153.jpg",78
"41004-1",370026,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"41004-1",394026,1,"Black","System: Decoration Elements",3940,"Undercarriage 2X2X2","http://cache.lego.com/media/bricks/5/1/394026.jpg",47
"41004-1",6106280,1,"Black","System: Decoration Elements",19798,"Undercarriage 2X2X2","http://cache.lego.com/media/bricks/5/1/6106280.jpg",23
"41004-1",6018819,1,"Black","System: Figure Accessories In Hand",12172,"Microphone Ø3.2 Shaft 'No. 1'","http://cache.lego.com/media/bricks/5/1/6018819.jpg",5
"41004-1",4505757,1,"Black","System: Figure Accessories, Upper And Lower Part",59230,"Space  Arm, Angled H.","http://cache.lego.com/media/bricks/5/1/4505757.jpg",33
"41004-1",4590766,1,"Black","System: Figure, Special",92160,"Microphone Ø3.2 Shaft 'No. 1'","http://cache.lego.com/media/bricks/5/1/4590766.jpg",5
"41004-1",368026,1,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"41004-1",4517986,1,"Black","System: Functional Elements",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/1/4517986.jpg",158
"41004-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"41004-1",379426,4,"Black","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379426.jpg",354
"41004-1",379526,1,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"41004-1",395726,1,"Black","System: Signs, Flags And Poles",3957,"Whip/Aerial","http://cache.lego.com/media/bricks/5/1/395726.jpg",210
"41004-1",4125217,1,"Brick Yellow","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/4125217.jpg",52
"41004-1",4611414,1,"Brick Yellow","System: Plates",91405,"Plate 16X16","http://cache.lego.com/media/bricks/5/1/4611414.jpg",20
"41004-1",4106915,1,"Bright Red","System: Plants",3742,"Flowerhead","http://cache.lego.com/media/bricks/4/1/4106915.jpg",79
"41004-1",6024918,1,"Bright Red","Technic: Tubes",60676,"Outercable 96Mm","http://cache.lego.com/media/bricks/5/1/6024918.jpg",1
"41004-1",4654105,3,"Bright Reddish Violet","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4654105.jpg",28
"41004-1",4596240,1,"Cool Yellow","System: Figure, Wigs",92255,"Wig, Straight 1","http://cache.lego.com/media/bricks/5/1/4596240.jpg",14
"41004-1",6096141,1,"Cool Yellow","System: Figure, Wigs",18639,"Wig, Straight 1","http://cache.lego.com/media/bricks/5/1/6096141.jpg",21
"41004-1",374128,1,"Dark Green","System: Plants",3741,"Stalk","http://cache.lego.com/media/bricks/5/1/374128.jpg",229
"41004-1",4210631,2,"Dark Stone Grey","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4210631.jpg",469
"41004-1",4211063,4,"Dark Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211063.jpg",576
"41004-1",6003003,4,"Flame Yellowish Orange","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/6003003.jpg",29
"41004-1",4243668,1,"Flame Yellowish Orange","System: Figure Accessories In Hand",3852,"Hair Brush","http://cache.lego.com/media/bricks/5/1/4243668.jpg",32
"41004-1",6017001,5,"Flame Yellowish Orange","System: Figure Accessories In Hand",11609,"Star Symbol Star W/Tube And Hole Ø1.5","http://cache.lego.com/media/bricks/5/1/6017001.jpg",23
