SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41005-1",6018580,1,"Aqua","System: Figure Accessories In Hand",11973,"El Guitar No.1, No.1 Dec","http://cache.lego.com/media/bricks/5/1/6018580.jpg",3
"41005-1",362226,1,"Black","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/362226.jpg",291
"41005-1",4233487,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"41005-1",4527063,1,"Black","System: Figure Accessories In Hand",62698,"Laptop","http://cache.lego.com/media/bricks/5/1/4527063.jpg",12
"41005-1",6087083,1,"Black","System: Figure Accessories In Hand",18659,"Laptop","http://cache.lego.com/media/bricks/5/1/6087083.jpg",10
"41005-1",4249857,1,"Black","System: Figure Accessories, Upper And Lower Part",6266,"Skeleton, Leg","http://cache.lego.com/media/bricks/5/1/4249857.jpg",43
"41005-1",6038453,1,"Black","System: Figure Accessories, Upper And Lower Part",6266,"Skeleton, Leg","http://cache.lego.com/media/bricks/5/1/6038453.jpg",22
"41005-1",4569106,1,"Black","System: Figure, Wigs",87991,"Mini Wig No. 6","http://cache.lego.com/media/bricks/5/1/4569106.jpg",5
"41005-1",6079894,1,"Black","System: Figure, Wigs",18226,"Mini Wig No. 6","http://cache.lego.com/media/bricks/5/1/6079894.jpg",18
"41005-1",393826,1,"Black","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393826.jpg",175
"41005-1",4100378,1,"Black","System: Plates",6180,"Plate 4X6 W. 12 Knobs","http://cache.lego.com/media/bricks/5/1/4100378.jpg",60
"41005-1",601926,1,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"41005-1",4517925,1,"Black","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4517925.jpg",191
"41005-1",6048855,1,"Black","System: Plates, Special",92411,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6048855.jpg",83
"41005-1",6117973,1,"Black","System: Plates, Special",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6117973.jpg",151
"41005-1",614126,3,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
