SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41006-1",6023004,1,"Black","System: Mini Figure",92821,"Hip W/Pants 1, Ass.","http://cache.lego.com/media/bricks/5/1/6023004.jpg",2
"41006-1",306826,2,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"41006-1",4140801,1,"Black","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",359
"41006-1",4109995,7,"Brick Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",277
"41006-1",4113916,3,"Brick Yellow","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4113916.jpg",170
"41006-1",4114064,4,"Brick Yellow","System: Bricks",2454,"Brick 1X2X5","http://cache.lego.com/media/bricks/5/1/4114064.jpg",74
"41006-1",4114319,2,"Brick Yellow","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4114319.jpg",150
"41006-1",4124455,5,"Brick Yellow","System: Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/4124455.jpg",88
"41006-1",4159279,4,"Brick Yellow","System: Bricks",3245,"Brick 1X2X2","http://cache.lego.com/media/bricks/5/1/4159279.jpg",60
"41006-1",6079724,2,"Brick Yellow","System: Bricks With Bows And Arches",16577,"Brick W. Bow 1X8X2","http://cache.lego.com/media/bricks/5/1/6079724.jpg",18
"41006-1",4121972,2,"Brick Yellow","System: Bricks, With Slope",3040,"Roof Tile 1X2/45Â°","http://cache.lego.com/media/bricks/5/1/4121972.jpg",115
"41006-1",4129996,2,"Brick Yellow","System: Bricks, With Slope",4460,"Roof Tile 1X2X3/73Â°","http://cache.lego.com/media/bricks/5/1/4129996.jpg",30
"41006-1",4140562,1,"Brick Yellow","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/4140562.jpg",109
"41006-1",4649736,1,"Bright Purple","System: Figure Accessories In Hand",6190,"Telephone Reciver","http://cache.lego.com/media/bricks/5/1/4649736.jpg",3
"41006-1",4558886,1,"Bright Red","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4558886.jpg",72
