SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41008-1",370026,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"41008-1",306926,2,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"41008-1",4198367,1,"Black","Technic: Connectors",45590,"Damper 2M","http://cache.lego.com/media/bricks/5/1/4198367.jpg",99
"41008-1",4109995,9,"Brick Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",277
"41008-1",4112982,9,"Brick Yellow","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/4112982.jpg",113
"41008-1",4113916,9,"Brick Yellow","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4113916.jpg",170
"41008-1",6079724,2,"Brick Yellow","System: Bricks With Bows And Arches",16577,"Brick W. Bow 1X8X2","http://cache.lego.com/media/bricks/5/1/6079724.jpg",18
"41008-1",4118793,6,"Brick Yellow","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/4118793.jpg",68
"41008-1",4185259,1,"Brick Yellow","System: Bricks, Special",2921,"Brick 1X1 W. Handle","http://cache.lego.com/media/bricks/5/1/4185259.jpg",19
"41008-1",4117070,8,"Brick Yellow","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4117070.jpg",135
"41008-1",6017003,1,"Brick Yellow","System: Foodstuff",11610,"Cone 1X1 Invertede W. Shaft","http://cache.lego.com/media/bricks/5/1/6017003.jpg",36
"41008-1",4512688,1,"Brick Yellow","System: Frames, Windows, Walls And Doors",59349,"Wall Element 1X6X5, Abs","http://cache.lego.com/media/bricks/5/1/4512688.jpg",24
"41008-1",4113917,5,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"41008-1",4114309,2,"Brick Yellow","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4114309.jpg",245
"41008-1",4124067,7,"Brick Yellow","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4124067.jpg",126
"41008-1",4543858,1,"Brick Yellow","System: Plates, Special Circles And Angles",30357,"Plate 3X3, 1/4 Circle","http://cache.lego.com/media/bricks/5/1/4543858.jpg",32
"41008-1",300323,9,"Bright Blue","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300323.jpg",359
"41008-1",4509443,1,"Bright Blue","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/4509443.jpg",64
"41008-1",614123,1,"Bright Blue","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614123.jpg",165
"41008-1",6023209,1,"Bright Orange","System: Miscellaneous Elements",72824,"Ball Ø14,2","http://cache.lego.com/media/bricks/5/1/6023209.jpg",9
"41008-1",4216479,25,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"41008-1",4520952,1,"Bright Red","System: Foodstuff",33078,"Sausage","http://cache.lego.com/media/bricks/5/1/4520952.jpg",33
"41008-1",614121,1,"Bright Red","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614121.jpg",416
"41008-1",4142865,4,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"41008-1",4518889,2,"Bright Reddish Violet","System: Bricks, With Slope",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/1/4518889.jpg",17
"41008-1",4550362,14,"Bright Reddish Violet","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/4550362.jpg",8
"41008-1",4625626,4,"Bright Reddish Violet","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4625626.jpg",20
"41008-1",6029583,1,"Bright Reddish Violet","System: Decoration Elements",11267,"Slide 6 Modules High","http://cache.lego.com/media/bricks/5/1/6029583.jpg",2
"41008-1",6023038,1,"Bright Reddish Violet","System: Mini Figure",11407,"Female Hip With Skirt 4, Ass '1'","http://cache.lego.com/media/bricks/5/1/6023038.jpg",6
