SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41013-1",306226,1,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"41013-1",4106552,1,"Black","System: Figure Accessories In Hand",30089,"Camera","http://cache.lego.com/media/bricks/5/1/4106552.jpg",97
"41013-1",6096109,1,"Black","System: Figure, Wigs",18637,"Wig,  Tied Back 1","http://cache.lego.com/media/bricks/5/1/6096109.jpg",26
"41013-1",302226,4,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"41013-1",383226,1,"Black","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/383226.jpg",254
"41013-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"41013-1",4159196,4,"Brick Yellow","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/4159196.jpg",57
"41013-1",4626200,2,"Brick Yellow","System: Bricks, With Slope",60481,"Roof Tile 2X1X2","http://cache.lego.com/media/bricks/5/1/4626200.jpg",14
"41013-1",4113917,1,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"41013-1",4114026,1,"Brick Yellow","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4114026.jpg",151
"41013-1",4216479,2,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"41013-1",302221,2,"Bright Red","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302221.jpg",541
"41013-1",614121,1,"Bright Red","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614121.jpg",416
"41013-1",6037650,6,"Bright Reddish Violet","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/6037650.jpg",13
"41013-1",4550362,1,"Bright Reddish Violet","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/4550362.jpg",8
"41013-1",6023827,1,"Bright Reddish Violet","System: Figure, Head Clothing",11618,"Bow No. 1","http://cache.lego.com/media/bricks/5/1/6023827.jpg",39
"41013-1",6017069,1,"Bright Reddish Violet","System: Mini Figure",92818,"Female, Hip W/ Skirt 1","http://cache.lego.com/media/bricks/5/1/6017069.jpg",8
"41013-1",4243784,1,"Bright Reddish Violet","System: Miscellaneous Elements",33009,"Book","http://cache.lego.com/media/bricks/5/1/4243784.jpg",20
"41013-1",4611415,1,"Bright Reddish Violet","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4611415.jpg",46
"41013-1",4651898,2,"Bright Reddish Violet","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4651898.jpg",48
"41013-1",6037652,4,"Bright Reddish Violet","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/6037652.jpg",29
"41013-1",6037651,2,"Bright Reddish Violet","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/6037651.jpg",9
"41013-1",6037648,4,"Bright Reddish Violet","System: Transportation Means, Vehicles",50745,"Brick  2X4X1 W. Screen","http://cache.lego.com/media/bricks/5/1/6037648.jpg",1
"41013-1",4599537,1,"Bright Yellow","System: Plants",3742,"Flowerhead","http://cache.lego.com/media/bricks/4/1/4599537.jpg",22
"41013-1",302324,2,"Bright Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",473
"41013-1",4537936,2,"Bright Yellowish Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4537936.jpg",88
"41013-1",4621548,1,"Bright Yellowish Green","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4621548.jpg",34
"41013-1",303928,2,"Dark Green","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303928.jpg",109
"41013-1",374128,2,"Dark Green","System: Plants",3741,"Stalk","http://cache.lego.com/media/bricks/5/1/374128.jpg",229
"41013-1",4107758,4,"Dark Green","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/4107758.jpg",103
"41013-1",4116671,1,"Dark Green","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/4116671.jpg",57
"41013-1",4569058,3,"Dark Green","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/4569058.jpg",53
"41013-1",4568734,2,"Dark Stone Grey","System: Plates",63864,"Flat Tile 1X3","http://cache.lego.com/media/bricks/5/1/4568734.jpg",100
"41013-1",4648067,2,"Dark Stone Grey","System: Plates, Special",93274,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/4648067.jpg",39
"41013-1",4255413,4,"Earth Blue","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4255413.jpg",38
"41013-1",6037886,2,"Earth Blue","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/6037886.jpg",15
"41013-1",6037887,1,"Earth Blue","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/6037887.jpg",5
"41013-1",6024286,3,"Flame Yellowish Orange","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/6024286.jpg",28
"41013-1",4621543,1,"Flame Yellowish Orange","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4621543.jpg",12
"41013-1",6020073,2,"Flame Yellowish Orange","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/6020073.jpg",27
"41013-1",6037655,1,"Lavender","System: Bricks With Bows And Arches",88930,"Plate W. Bow 2X4X2/3","http://cache.lego.com/media/bricks/5/1/6037655.jpg",8
"41013-1",6037657,2,"Lavender","System: Bricks With Bows And Arches",41762,"Brick 1X6 W/Bow","http://cache.lego.com/media/bricks/5/1/6037657.jpg",4
"41013-1",6045945,2,"Lavender","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6045945.jpg",2
"41013-1",6037649,4,"Lavender","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/6037649.jpg",3
"41013-1",6017048,1,"Light Nougat","System: Figure, Heads And Masks",11819,"Head, Female 1, Dec. 5","http://cache.lego.com/media/bricks/5/1/6017048.jpg",37
"41013-1",6049751,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass.36","http://cache.lego.com/media/bricks/5/1/6049751.jpg",6
"41013-1",4619655,2,"Medium Azur","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4619655.jpg",16
"41013-1",6037410,1,"Medium Azur","System: Figure Accessories In Hand",14197,"Bag, Bagpack No. 1, Dec. 1","http://cache.lego.com/media/bricks/5/1/6037410.jpg",3
"41013-1",6038640,1,"Medium Azur","System: Plates",14384,"Flat Tile 1X2 'No.130'","http://cache.lego.com/media/bricks/5/1/6038640.jpg",14
"41013-1",6028811,2,"Medium Stone Grey","System: Bricks, Special",11215,"Stone 1X2X1 1/3 W. 2 Plates 2X2","http://cache.lego.com/media/bricks/5/1/6028811.jpg",75
"41013-1",4211496,4,"Medium Stone Grey","System: Plates, Special",4488,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/4211496.jpg",118
"41013-1",6003098,1,"Medium Stone Grey","System: Signs, Flags And Poles",98549,"Standard With Foot 2X2X5","http://cache.lego.com/media/bricks/5/1/6003098.jpg",24
"41013-1",6018081,4,"Medium Stone Grey","System: Wheel Base",10313,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/6018081.jpg",89
"41013-1",4211180,2,"Reddish Brown","System: Bricks",30136,"Palisade Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211180.jpg",142
"41013-1",4211183,4,"Reddish Brown","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211183.jpg",197
"41013-1",4243838,1,"Reddish Brown","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243838.jpg",92
"41013-1",4244362,6,"Transparent","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4244362.jpg",236
"41013-1",3005740,4,"Transparent","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005740.jpg",549
