SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41015-1",300326,1,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"41015-1",4181144,2,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"41015-1",370026,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"41015-1",6086929,1,"Black","System: Figure, Wigs",18639,"Wig, Straight 1","http://cache.lego.com/media/bricks/5/1/6086929.jpg",2
"41015-1",601926,1,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"41015-1",4517925,1,"Black","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4517925.jpg",191
"41015-1",6037558,1,"Black","System: Rubbers And Strings",14226,"String 11M W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/6037558.jpg",54
"41015-1",6096955,1,"Black","System: Rubbers And Strings",14226,"String 11M W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/6096955.jpg",25
"41015-1",256926,2,"Black","System: Signs, Flags And Poles",2569,"Antenna 1X1X8","http://cache.lego.com/media/bricks/5/1/256926.jpg",99
"41015-1",4121715,9,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"41015-1",4109995,1,"Brick Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",277
"41015-1",4114319,4,"Brick Yellow","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4114319.jpg",150
"41015-1",4234365,2,"Brick Yellow","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/4234365.jpg",33
"41015-1",4659545,1,"Brick Yellow","System: Figure, Wigs",87991,"Mini Wig No. 6","http://cache.lego.com/media/bricks/5/1/4659545.jpg",4
"41015-1",6093519,1,"Brick Yellow","System: Figure, Wigs",18226,"Mini Wig No. 6","http://cache.lego.com/media/bricks/5/1/6093519.jpg",3
"41015-1",6017003,2,"Brick Yellow","System: Foodstuff",11610,"Cone 1X1 Invertede W. Shaft","http://cache.lego.com/media/bricks/5/1/6017003.jpg",36
"41015-1",4113233,7,"Brick Yellow","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4113233.jpg",213
"41015-1",4113917,6,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"41015-1",4113988,6,"Brick Yellow","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4113988.jpg",99
"41015-1",4113993,3,"Brick Yellow","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4113993.jpg",152
"41015-1",4114084,3,"Brick Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4114084.jpg",240
"41015-1",4114309,9,"Brick Yellow","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4114309.jpg",245
"41015-1",4118790,1,"Brick Yellow","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4118790.jpg",182
"41015-1",4157277,4,"Brick Yellow","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/4157277.jpg",69
"41015-1",4159553,9,"Brick Yellow","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4159553.jpg",121
"41015-1",4185177,1,"Brick Yellow","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/4185177.jpg",121
"41015-1",4243824,1,"Brick Yellow","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243824.jpg",89
"41015-1",4550324,1,"Brick Yellow","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4550324.jpg",75
"41015-1",6030980,7,"Brick Yellow","System: Plates",4282,"Plate 2X16","http://cache.lego.com/media/bricks/5/1/6030980.jpg",18
"41015-1",4217562,1,"Brick Yellow","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4217562.jpg",81
"41015-1",4208072,2,"Brick Yellow","System: Plates, Special Circles And Angles",2450,"Corner Plate 45 Deg. 3X3","http://cache.lego.com/media/bricks/5/1/4208072.jpg",22
"41015-1",6036485,2,"Brick Yellow","System: Plates, Special Circles And Angles",6106,"Corner Plate 6X6X45°","http://cache.lego.com/media/bricks/5/1/6036485.jpg",5
"41015-1",614123,1,"Bright Blue","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614123.jpg",165
"41015-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"41015-1",6009459,1,"Bright Orange","System: Plates, Special Circles And Angles",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/1/6009459.jpg",15
"41015-1",6088555,1,"Bright Purple","System: Figure Accessories In Hand",18742,"Bucket","http://cache.lego.com/media/bricks/5/1/6088555.jpg",4
"41015-1",4216479,2,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"41015-1",4243677,1,"Bright Purple","System: Signs, Flags And Poles",4495,"Streamer","http://cache.lego.com/media/bricks/5/1/4243677.jpg",27
"41015-1",614121,1,"Bright Red","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614121.jpg",416
"41015-1",4519195,1,"Bright Reddish Violet","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4519195.jpg",34
"41015-1",6022656,5,"Bright Reddish Violet","System: Bricks With Bows And Arches",10314,"Brick 1X4X1 1/3","http://cache.lego.com/media/bricks/5/1/6022656.jpg",13
"41015-1",6003007,1,"Bright Reddish Violet","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/6003007.jpg",30
"41015-1",6029583,1,"Bright Reddish Violet","System: Decoration Elements",11267,"Slide 6 Modules High","http://cache.lego.com/media/bricks/5/1/6029583.jpg",2
"41015-1",6023038,1,"Bright Reddish Violet","System: Mini Figure",11407,"Female Hip With Skirt 4, Ass '1'","http://cache.lego.com/media/bricks/5/1/6023038.jpg",6
"41015-1",4611415,10,"Bright Reddish Violet","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4611415.jpg",46
"41015-1",4651898,2,"Bright Reddish Violet","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4651898.jpg",48
"41015-1",300224,1,"Bright Yellow","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300224.jpg",302
"41015-1",374724,2,"Bright Yellow","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374724.jpg",68
"41015-1",4114584,1,"Bright Yellow","System: Foodstuff",33085,"Banana","http://cache.lego.com/media/bricks/5/1/4114584.jpg",73
"41015-1",4556156,1,"Bright Yellow","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556156.jpg",32
"41015-1",4220632,3,"Bright Yellowish Green","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4220632.jpg",116
"41015-1",4622047,1,"Bright Yellowish Green","System: Bricks",95666,"Brick 1X1, Dec. Juice Carton","http://cache.lego.com/media/bricks/5/1/4622047.jpg",10
"41015-1",4527943,1,"Bright Yellowish Green","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/4527943.jpg",38
"41015-1",4164037,2,"Bright Yellowish Green","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4164037.jpg",166
"41015-1",4114348,1,"Dark Green","System: Plants",30176,"Bamboo Leaves 3X3","http://cache.lego.com/media/bricks/5/1/4114348.jpg",188
"41015-1",4211063,3,"Dark Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211063.jpg",576
"41015-1",4211042,7,"Dark Stone Grey","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/4211042.jpg",259
"41015-1",6103764,1,"Earth Blue","System: Mini Figure",18353,"Female, Hip W/Shorts 1 No.4","http://cache.lego.com/media/bricks/5/1/6103764.jpg",7
"41015-1",6022064,2,"Flame Yellowish Orange","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/6022064.jpg",10
"41015-1",6024286,13,"Flame Yellowish Orange","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/6024286.jpg",28
"41015-1",4624184,2,"Flame Yellowish Orange","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4624184.jpg",99
"41015-1",4622062,4,"Flame Yellowish Orange","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4622062.jpg",42
"41015-1",4654129,6,"Flame Yellowish Orange","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/4654129.jpg",21
"41015-1",6017024,1,"Light Nougat","System: Figure, Heads And Masks",11814,"Head, Female 1, Dec. 6","http://cache.lego.com/media/bricks/5/1/6017024.jpg",37
"41015-1",6034744,1,"Light Nougat","System: Figure, Heads And Masks",14011,"Head, Female 1, Dec. 11","http://cache.lego.com/media/bricks/5/1/6034744.jpg",5
"41015-1",6034816,1,"Light Nougat","System: Figure, Heads And Masks",14015,"Head, Boy 1, Dec. 2","http://cache.lego.com/media/bricks/5/1/6034816.jpg",6
"41015-1",6049716,1,"Light Nougat","System: Mini Figure",11408,"Torso, Boy W/Arm 1, Ass","http://cache.lego.com/media/bricks/5/1/6049716.jpg",2
"41015-1",6049743,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 40","http://cache.lego.com/media/bricks/5/1/6049743.jpg",5
"41015-1",6049747,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 41","http://cache.lego.com/media/bricks/5/1/6049747.jpg",6
"41015-1",4618629,1,"Light Purple","System: Figure Accessories In Hand",6256,"Dish Ø24","http://cache.lego.com/media/bricks/5/1/4618629.jpg",30
"41015-1",4599686,2,"Light Purple","System: Frames, Windows, Walls And Doors",93095,"Foot, Plate","http://cache.lego.com/media/bricks/5/1/4599686.jpg",22
"41015-1",4619591,3,"Light Purple","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/4619591.jpg",22
"41015-1",4655258,6,"Light Purple","System: Frames, Windows, Walls And Doors",6231,"Wall Corner 1X1X1","http://cache.lego.com/media/bricks/5/1/4655258.jpg",14
"41015-1",4580010,8,"Light Purple","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4580010.jpg",37
"41015-1",4654128,1,"Light Purple","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4654128.jpg",36
"41015-1",6036495,4,"Light Purple","System: Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/6036495.jpg",2
"41015-1",4517996,3,"Light Purple","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/4517996.jpg",94
"41015-1",4654127,1,"Light Purple","System: Plates, Special Circles And Angles",4150,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/4654127.jpg",13
"41015-1",6092768,1,"Light Purple","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6092768.jpg",20
"41015-1",6034425,1,"Light Royal Blue","System: Animals And Creatures",13987,"Dolphin With Hole Ø 1.5 - Dec. No 1","http://cache.lego.com/media/bricks/5/1/6034425.jpg",5
"41015-1",6022993,1,"Light Royal Blue","System: Mini Figure",92820,"Female, Hip With Skirt 2, Ass. '5'","http://cache.lego.com/media/bricks/5/1/6022993.jpg",5
