SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41030-1",306826,1,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"41030-1",4569733,1,"Black","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4569733.jpg",138
"41030-1",460026,1,"Black","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/460026.jpg",201
"41030-1",4125220,1,"Brick Yellow","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/4125220.jpg",59
"41030-1",6017003,2,"Brick Yellow","System: Foodstuff",11610,"Cone 1X1 Invertede W. Shaft","http://cache.lego.com/media/bricks/5/1/6017003.jpg",36
"41030-1",4217562,3,"Brick Yellow","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4217562.jpg",81
"41030-1",4216479,2,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"41030-1",4651524,2,"Bright Red","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4651524.jpg",97
"41030-1",4261628,1,"Bright Red","System: Interior",4345,"Mailbox, Casing 2X2X2","http://cache.lego.com/media/bricks/5/1/4261628.jpg",41
"41030-1",4521851,1,"Bright Red","System: Interior",4346,"Mailbox, Front 2X2","http://cache.lego.com/media/bricks/5/1/4521851.jpg",21
"41030-1",302321,1,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"41030-1",306821,1,"Bright Red","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306821.jpg",220
"41030-1",4588003,2,"Bright Red","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4588003.jpg",141
"41030-1",4558856,1,"Bright Red","System: Wheel Base",4719,"Mini Bicycle Frame","http://cache.lego.com/media/bricks/5/1/4558856.jpg",22
"41030-1",4504850,2,"Bright Yellowish Green","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4504850.jpg",49
"41030-1",302028,1,"Dark Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302028.jpg",211
"41030-1",302228,1,"Dark Green","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302228.jpg",219
"41030-1",4107758,2,"Dark Green","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/4107758.jpg",103
"41030-1",4624184,6,"Flame Yellowish Orange","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4624184.jpg",99
"41030-1",6003002,1,"Flame Yellowish Orange","System: Plates, Special Circles And Angles",3960,"Round Plate Ø32X6.4","http://cache.lego.com/media/bricks/5/1/6003002.jpg",13
"41030-1",6043921,1,"Light Nougat","System: Figure, Heads And Masks",11815,"Head, Female 1, Dec. 3","http://cache.lego.com/media/bricks/5/1/6043921.jpg",34
"41030-1",6049687,1,"Light Nougat","System: Mini Figure",92456,"Torso, Girl W/Arm 1, Ass. 34","http://cache.lego.com/media/bricks/5/1/6049687.jpg",6
"41030-1",4517993,1,"Light Purple","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4517993.jpg",40
"41030-1",6060795,1,"Light Purple","System: Foodstuff",15470,"1X1 Decoration Top No. 1","http://cache.lego.com/media/bricks/5/1/6060795.jpg",41
"41030-1",4625633,2,"Light Purple","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4625633.jpg",16
"41030-1",4654128,5,"Light Purple","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4654128.jpg",36
"41030-1",6003008,1,"Medium Azur","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/6003008.jpg",28
"41030-1",6029690,1,"Medium Azur","System: Plates, Special Circles And Angles",11213,"Plate 6X6 Round With Tube Snap","http://cache.lego.com/media/bricks/5/1/6029690.jpg",22
"41030-1",4619524,4,"Medium Lavender","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4619524.jpg",35
"41030-1",4651902,2,"Medium Lavender","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4651902.jpg",27
"41030-1",4651231,8,"Medium Nougat","System: Bricks",30136,"Palisade Brick 1X2","http://cache.lego.com/media/bricks/5/1/4651231.jpg",20
