SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41037-1",6018848,1,"Aqua","System: Mini Figure",92818,"Female, Hip W/ Skirt 1","http://cache.lego.com/media/bricks/5/1/6018848.jpg",11
"41037-1",4558954,3,"Black","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4558954.jpg",148
"41037-1",6096138,1,"Black","System: Figure, Wigs",18636,"Wig,  Wavy 1","http://cache.lego.com/media/bricks/5/1/6096138.jpg",5
"41037-1",4560182,1,"Black","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560182.jpg",152
"41037-1",614126,2,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"41037-1",4538722,1,"Black","System: Signs, Flags And Poles",63965,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/4538722.jpg",174
"41037-1",6081988,1,"Black","System: Signs, Flags And Poles",18274,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/6081988.jpg",113
"41037-1",4648298,1,"Black","System: Transportation Means, Ships",6076,"Mast 10M W/Ball","http://cache.lego.com/media/bricks/5/1/4648298.jpg",13
"41037-1",4201062,1,"Brick Yellow","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4201062.jpg",68
"41037-1",6017003,2,"Brick Yellow","System: Foodstuff",11610,"Cone 1X1 Invertede W. Shaft","http://cache.lego.com/media/bricks/5/1/6017003.jpg",36
"41037-1",4113233,3,"Brick Yellow","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4113233.jpg",213
"41037-1",4113988,2,"Brick Yellow","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4113988.jpg",99
"41037-1",4114324,6,"Brick Yellow","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4114324.jpg",93
"41037-1",4609328,1,"Brick Yellow","System: Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/4609328.jpg",9
"41037-1",4609726,1,"Brick Yellow","System: Plates",92438,"Plate 8X16","http://cache.lego.com/media/bricks/5/1/4609726.jpg",24
"41037-1",4611414,1,"Brick Yellow","System: Plates",91405,"Plate 16X16","http://cache.lego.com/media/bricks/5/1/4611414.jpg",20
"41037-1",6030980,2,"Brick Yellow","System: Plates",4282,"Plate 2X16","http://cache.lego.com/media/bricks/5/1/6030980.jpg",18
"41037-1",6037834,1,"Brick Yellow","System: Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/6037834.jpg",6
"41037-1",4161734,2,"Brick Yellow","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4161734.jpg",140
"41037-1",346023,2,"Bright Blue","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/346023.jpg",90
"41037-1",4107050,1,"Bright Green","System: Foodstuff",33051,"Apple With Leaf","http://cache.lego.com/media/bricks/5/1/4107050.jpg",77
"41037-1",4619599,4,"Bright Green","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4619599.jpg",134
"41037-1",4118787,1,"Bright Orange","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/4118787.jpg",45
"41037-1",4173805,1,"Bright Orange","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4173805.jpg",106
