SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"41088-1",6035467,1,"Brick Yellow","System: Animals And Creatures",14081,"Dog W Hole Ø 1.5, Dec. No. 1","http://cache.lego.com/media/bricks/5/1/6035467.jpg",3
"41088-1",4579260,1,"Brick Yellow","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4579260.jpg",69
"41088-1",4114309,1,"Brick Yellow","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4114309.jpg",245
"41088-1",4185177,2,"Brick Yellow","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/4185177.jpg",121
"41088-1",4655257,1,"Brick Yellow","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4655257.jpg",32
"41088-1",4216479,7,"Bright Purple","System: Interior",33291,"Bracelet Upper Part","http://cache.lego.com/media/bricks/5/1/4216479.jpg",124
"41088-1",4519195,2,"Bright Reddish Violet","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4519195.jpg",34
"41088-1",6003007,3,"Bright Reddish Violet","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/6003007.jpg",30
"41088-1",6096942,3,"Bright Reddish Violet","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/6096942.jpg",11
"41088-1",6101073,4,"Bright Reddish Violet","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6101073.jpg",13
"41088-1",6064227,2,"Bright Yellow","System: Bricks, Special Circles And Angles",85080,"Brick 2X2W.Inside And Outs.Bow","http://cache.lego.com/media/bricks/5/1/6064227.jpg",5
"41088-1",4504381,4,"Bright Yellow","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504381.jpg",151
"41088-1",379524,1,"Bright Yellow","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379524.jpg",200
"41088-1",4525858,1,"Bright Yellowish Green","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/4525858.jpg",24
"41088-1",4621548,1,"Bright Yellowish Green","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4621548.jpg",34
"41088-1",6102665,1,"Bright Yellowish Green","System: Plates, Special Circles And Angles",95294,"Flat Tile 2X2, Round, Dec. Paw","http://cache.lego.com/media/bricks/5/1/6102665.jpg",1
"41088-1",4121969,1,"Dark Green","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121969.jpg",128
"41088-1",242328,1,"Dark Green","System: Plants",2423,"Limb Element, Small","http://cache.lego.com/media/bricks/5/1/242328.jpg",153
"41088-1",4114348,2,"Dark Green","System: Plants",30176,"Bamboo Leaves 3X3","http://cache.lego.com/media/bricks/5/1/4114348.jpg",188
"41088-1",4569058,1,"Dark Green","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/4569058.jpg",53
"41088-1",6035618,3,"Dark Orange","System: Figure Accessories In Hand",11609,"Star Symbol Star W/Tube And Hole Ø¸1.5","http://cache.lego.com/media/bricks/5/1/6035618.jpg",9
"41088-1",4618629,1,"Light Purple","System: Figure Accessories In Hand",6256,"Dish Ø24","http://cache.lego.com/media/bricks/5/1/4618629.jpg",30
"41088-1",4620909,2,"Medium Azur","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4620909.jpg",33
"41088-1",4619520,1,"Medium Azur","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4619520.jpg",21
"41088-1",6023825,1,"Medium Azur","System: Figure, Head Clothing",11618,"Bow No. 1","http://cache.lego.com/media/bricks/5/1/6023825.jpg",20
"41088-1",4649741,2,"Medium Azur","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4649741.jpg",46
"41088-1",6003008,1,"Medium Azur","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/6003008.jpg",28
"41088-1",4211376,1,"Medium Stone Grey","System: Plates, Special",2817,"Technic Doub. Bearing Pl. 2X2","http://cache.lego.com/media/bricks/5/1/4211376.jpg",154
"41088-1",4211149,1,"Reddish Brown","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211149.jpg",209
"41088-1",4211202,1,"Reddish Brown","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/4211202.jpg",99
