SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"4183-1",4167106,24,"Black","System: Bricks, Special",30386,"Brick 1X2 Fric/Stub/Fork Vert.","http://cache.lego.com/media/bricks/5/1/4167106.jpg",29
"4183-1",602026,1,"Black","System: Fences And Ladders",6020,"Lattice 1X4X6 W. Snap","http://cache.lego.com/media/bricks/5/1/602026.jpg",94
"4183-1",4649785,1,"Black","System: Figure, Wigs",95331,"Jack Sparrow W. Scarf No. 1","http://cache.lego.com/media/bricks/5/1/4649785.jpg",7
"4183-1",6019787,1,"Black","System: Figure, Wigs",12254,"Jack Sparrow W. Scarf No. 1","http://cache.lego.com/media/bricks/5/1/6019787.jpg",8
"4183-1",393726,1,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"4183-1",383926,1,"Black","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/383926.jpg",164
"4183-1",4515368,2,"Black","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515368.jpg",184
"4183-1",6010831,1,"Black","System: Plates, Special Circles And Angles",74698,"Round Plate 2X2 W/Eye","http://cache.lego.com/media/bricks/5/1/6010831.jpg",65
"4183-1",4500572,1,"Black","System: Rubbers And Strings",58558,"String Pp 1.3Ø 0.30M Black","http://cache.lego.com/media/bricks/4/1/4500572.jpg",5
"4183-1",6006140,2,"Black","Technic: Beams, Special",74695,"Beam 1X2 W/Cross And Hole","http://cache.lego.com/media/bricks/5/1/6006140.jpg",101
"4183-1",370726,1,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
"4183-1",4113917,4,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"4183-1",4514554,1,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",244
"4183-1",241923,2,"Bright Blue","System: Plates, Special Circles And Angles",2419,"Corner Plate 3X6","http://cache.lego.com/media/bricks/5/1/241923.jpg",48
"4183-1",4114052,1,"Bright Red","System: Animals And Creatures",30115,"Snake","http://cache.lego.com/media/bricks/5/1/4114052.jpg",57
"4183-1",613421,1,"Bright Red","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/613421.jpg",98
"4183-1",4597713,2,"Bright Red","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4597713.jpg",39
"4183-1",4620394,2,"Dark Brown","System: Figure Accessories, Upper Body",95348,"Mini Sword Holder Single","http://cache.lego.com/media/bricks/5/1/4620394.jpg",7
"4183-1",4568934,1,"Dark Brown","System: Figure, Wigs",88283,"Mini Wig No. 8","http://cache.lego.com/media/bricks/5/1/4568934.jpg",22
"4183-1",4626931,1,"Dark Brown","System: Figure, Wigs",95226,"Boy`S Wig, Horse`S Tail","http://cache.lego.com/media/bricks/5/1/4626931.jpg",5
"4183-1",4536677,1,"Dark Brown","System: Interior",2489,"Barrel 2X2","http://cache.lego.com/media/bricks/5/1/4536677.jpg",45
"4183-1",4529672,1,"Dark Brown","System: Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4529672.jpg",53
