SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"42021-1",4111998,2,"Black","Technic: Beams",32009,"Double Angular Beam 3X7 45°","http://cache.lego.com/media/bricks/5/1/4111998.jpg",118
"42021-1",4120017,2,"Black","Technic: Beams",32140,"Technic Ang. Beam 4X2 90 Deg","http://cache.lego.com/media/bricks/5/1/4120017.jpg",230
"42021-1",4140327,2,"Black","Technic: Beams",32271,"Technic Angular Beam 3X7","http://cache.lego.com/media/bricks/5/1/4140327.jpg",86
"42021-1",4142135,4,"Black","Technic: Beams",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/1/4142135.jpg",215
"42021-1",6029578,4,"Black","Technic: Beams",64290,"Technic 11M Beam","http://cache.lego.com/media/bricks/5/1/6029578.jpg",52
"42021-1",6022761,3,"Black","Technic: Beams W/ Shapes",11947,"Left Panel 2X5 (Nr 22)","http://cache.lego.com/media/bricks/5/1/6022761.jpg",11
"42021-1",6023036,3,"Black","Technic: Beams W/ Shapes",11946,"Right Panel 2X5 (N0 21)","http://cache.lego.com/media/bricks/5/1/6023036.jpg",11
"42021-1",4121667,5,"Black","Technic: Beams, Special",32184,"Double Cross Block","http://cache.lego.com/media/bricks/5/1/4121667.jpg",199
"42021-1",370626,2,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"42021-1",4107082,2,"Black","Technic: Connectors",32016,"Angle Element, 157,5 Degr. [3]","http://cache.lego.com/media/bricks/5/1/4107082.jpg",152
"42021-1",4121715,13,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"42021-1",4140801,4,"Black","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",359
"42021-1",6055630,2,"Black","Technic: Connectors",15461,"Double Snap With Hole Ø4.85","http://cache.lego.com/media/bricks/5/1/6055630.jpg",37
"42021-1",4530733,2,"Black","Technic: Functional Elements",32005,"Track Rod 6M,","http://cache.lego.com/media/bricks/5/1/4530733.jpg",26
"42021-1",4629921,2,"Black","Technic: Functional Elements",32005,"Track Rod 6M,","http://cache.lego.com/media/bricks/5/1/4629921.jpg",20
"42021-1",4563044,2,"Black","Technic: Half Beams, Special",33299,"2X1X3 Steering Knuckle Arm","http://cache.lego.com/media/bricks/5/1/4563044.jpg",92
"42021-1",4610371,4,"Black","Technic: Half Beams, Special",92907,"Cross Block/Form 2X2X2","http://cache.lego.com/media/bricks/5/1/4610371.jpg",54
"42021-1",6047885,41,"Black","Technic: Tyres And Rims, Special",15379,"Chains M Plate M 5 Ø3, 2 Hole","http://cache.lego.com/media/bricks/5/1/6047885.jpg",20
"42021-1",4514554,2,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",244
"42021-1",4666579,1,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"42021-1",4514553,9,"Bright Blue","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",585
"42021-1",4142865,14,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"42021-1",4140345,4,"Bright Yellowish Green","Technic: Beams",32140,"Technic Ang. Beam 4X2 90 Deg","http://cache.lego.com/media/bricks/5/1/4140345.jpg",19
"42021-1",4495928,2,"Bright Yellowish Green","Technic: Beams",32524,"Technic 7M Beam","http://cache.lego.com/media/bricks/5/1/4495928.jpg",12
"42021-1",6063602,2,"Bright Yellowish Green","Technic: Beams",41239,"Technic 13M Beam","http://cache.lego.com/media/bricks/5/1/6063602.jpg",3
