SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"4209-1",256926,1,"Black","System",2569,"Antenna 1X1X8","https://www.lego.com/service/bricks/5/2/256926",91
"4209-1",383526,1,"Black","System",3835,"Mini Firemans Axe","https://www.lego.com/service/bricks/5/2/383526",109
"4209-1",473326,1,"Black","System",4733,"Brick 1X1 W. 4 Knobs","https://www.lego.com/service/bricks/5/2/473326",143
"4209-1",4274405,1,"Black","System",2508,"Plate 1X2X4 W. Ball","https://www.lego.com/service/bricks/5/2/4274405",81
"4209-1",4289538,2,"Black","System",48729,"Stick Ã˜ 3.2 W. Holder","https://www.lego.com/service/bricks/5/2/4289538",232
"4209-1",4295400,1,"Black","System",56570,"Roof Tile 2X2 No. '14'","https://www.lego.com/service/bricks/5/2/4295400",44
"4209-1",4498340,6,"Black","System",56890,"Tyre Balloon Wide Ã˜ 24X12","https://www.lego.com/service/bricks/5/2/4498340",15
"4209-1",4551168,1,"Black","System",86665,"Roof Tile 2X2 No. 15","https://www.lego.com/service/bricks/5/2/4551168",20
"4209-1",4565323,1,"Black","System",87580,"Plate 2X2 W 1 Knob","https://www.lego.com/service/bricks/5/2/4565323",148
"4209-1",4598897,2,"Black","System",64567,"Light Sword Shaft","https://www.lego.com/service/bricks/5/2/4598897",152
"4209-1",6055123,2,"Black","System",15790,"Propeller Ã˜71.84","https://www.lego.com/service/bricks/5/2/6055123",44
"4209-1",6100054,1,"Black","System",19220,"Walkie-Talkie","https://www.lego.com/service/bricks/5/2/6100054",112
"4209-1",4121715,6,"Black","Technic",2780,"Connector Peg W. Friction","https://www.lego.com/service/bricks/5/2/4121715",1889
"4209-1",4185273,1,"Brick Yellow","System",6232,"Brick 2X2 W. Snap And Cross","https://www.lego.com/service/bricks/5/2/4185273",42
"4209-1",300123,1,"Bright Blue","System",3001,"Brick 2X4","https://www.lego.com/service/bricks/5/2/300123",348
"4209-1",302323,4,"Bright Blue","System",3023,"Plate 1X2","https://www.lego.com/service/bricks/5/2/302323",454
"4209-1",379523,3,"Bright Blue","System",3795,"Plate 2X6","https://www.lego.com/service/bricks/5/2/379523",236
"4209-1",4119014,1,"Bright Blue","System",6541,"Technic Brick 1X1","https://www.lego.com/service/bricks/5/2/4119014",50
"4209-1",4243815,1,"Bright Blue","System",3031,"Plate 4X4","https://www.lego.com/service/bricks/5/2/4243815",108
"4209-1",4143005,1,"Bright Blue","Technic",4274,"Connector Peg W. Knob","https://www.lego.com/service/bricks/5/2/4143005",677
"4209-1",4206482,2,"Bright Blue","Technic",43093,"Conn.Bush W.Fric./Crossale","https://www.lego.com/service/bricks/5/2/4206482",1312
"4209-1",4129872,14,"Bright Green","System",2417,"Limb Element","https://www.lego.com/service/bricks/5/2/4129872",37
"4209-1",4157103,1,"Bright Orange","System",6141,"Round Plate 1X1","https://www.lego.com/service/bricks/5/2/4157103",175
"4209-1",241221,2,"Bright Red","System",2412,"Radiator Grille 1X2","https://www.lego.com/service/bricks/5/2/241221",180
"4209-1",241921,4,"Bright Red","System",2419,"Corner Plate 3X6","https://www.lego.com/service/bricks/5/2/241921",38
"4209-1",300521,5,"Bright Red","System",3005,"Brick 1X1","https://www.lego.com/service/bricks/5/2/300521",402
"4209-1",300921,3,"Bright Red","System",3009,"Brick 1X6","https://www.lego.com/service/bricks/5/2/300921",309
"4209-1",302121,9,"Bright Red","System",3021,"Plate 2X3","https://www.lego.com/service/bricks/5/2/302121",389
"4209-1",302421,2,"Bright Red","System",3024,"Plate 1X1","https://www.lego.com/service/bricks/5/2/302421",245
"4209-1",303221,1,"Bright Red","System",3032,"Plate 4X6","https://www.lego.com/service/bricks/5/2/303221",102
"4209-1",306821,1,"Bright Red","System",3068,"Flat Tile 2X2","https://www.lego.com/service/bricks/5/2/306821",235
"4209-1",306921,3,"Bright Red","System",3069,"Flat Tile 1X2","https://www.lego.com/service/bricks/5/2/306921",336
"4209-1",366521,8,"Bright Red","System",3665,"Roof Tile 1X2 Inv.","https://www.lego.com/service/bricks/5/2/366521",216
"4209-1",366621,11,"Bright Red","System",3666,"Plate 1X6","https://www.lego.com/service/bricks/5/2/366621",290
"4209-1",371021,6,"Bright Red","System",3710,"Plate 1X4","https://www.lego.com/service/bricks/5/2/371021",493
"4209-1",379521,2,"Bright Red","System",3795,"Plate 2X6","https://www.lego.com/service/bricks/5/2/379521",319
"4209-1",4113858,1,"Bright Red","System",6636,"Flat Tile 1X6","https://www.lego.com/service/bricks/5/2/4113858",136
"4209-1",4143832,2,"Bright Red","System",3245,"Brick 1X2X2","https://www.lego.com/service/bricks/5/2/4143832",52
"4209-1",4144302,1,"Bright Red","System",3958,"Plate 6X6","https://www.lego.com/service/bricks/5/2/4144302",30
"4209-1",4160406,4,"Bright Red","System",42023,"Brick 1X6 W/Bow, Rev.","https://www.lego.com/service/bricks/5/2/4160406",30
"4209-1",4179355,1,"Bright Red","System",32000,"Brick 1X2 M. 2 Holes Ã˜ 4,87","https://www.lego.com/service/bricks/5/2/4179355",64
"4209-1",4180504,2,"Bright Red","System",43722,"Right Plate 2X3 W/Angle","https://www.lego.com/service/bricks/5/2/4180504",71
"4209-1",4180533,2,"Bright Red","System",43723,"Left Plate 2X3 W/Angle","https://www.lego.com/service/bricks/5/2/4180533",72
"4209-1",4181138,1,"Bright Red","System",44237,"Brick 2X6","https://www.lego.com/service/bricks/5/2/4181138",191
"4209-1",4259678,1,"Bright Red","System",52501,"Inverted Roof Tile 6X1X1","https://www.lego.com/service/bricks/5/2/4259678",29
"4209-1",4288209,1,"Bright Red","System",3822,"Left Door 1X3","https://www.lego.com/service/bricks/5/2/4288209",46
"4209-1",4514717,1,"Bright Red","System",3029,"Plate 4X12","https://www.lego.com/service/bricks/5/2/4514717",9
"4209-1",4521852,2,"Bright Red","System",30165,"Brick 2X2 W. Bow And Knobs","https://www.lego.com/service/bricks/5/2/4521852",43
"4209-1",4537986,1,"Bright Red","System",3821,"Right Door 1X3","https://www.lego.com/service/bricks/5/2/4537986",35
