SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"44029-1",4632637,5,"Black","Constraction: Body Shells",90639,"Shell A 5M Ball Snap Ø10.2","http://cache.lego.com/media/bricks/5/1/4632637.jpg",10
"44029-1",6073741,1,"Black","Constraction: Body Shells",17571,"Super Chest Deco No.11","http://cache.lego.com/media/bricks/5/1/6073741.jpg",2
"44029-1",4593555,4,"Black","Constraction: Figure Parts",90609,"Beam A 5M Ball/Cup Ø10.2","http://cache.lego.com/media/bricks/5/1/4593555.jpg",75
"44029-1",4593557,3,"Black","Constraction: Figure Parts",90612,"Beam A 3M Ball/Cup Ø 10.2","http://cache.lego.com/media/bricks/5/1/4593557.jpg",49
"44029-1",4593562,9,"Black","Constraction: Figure Parts",90616,"Beam B 6M Ball/Cup Ø10.2","http://cache.lego.com/media/bricks/5/1/4593562.jpg",33
"44029-1",4593567,3,"Black","Constraction: Figure Parts",90622,"Beam C 5M Cup/Cup Ø10.2","http://cache.lego.com/media/bricks/5/1/4593567.jpg",25
"44029-1",4667277,3,"Black","Constraction: Figure Parts",98590,"Torso 7X5-Hf 2012","http://cache.lego.com/media/bricks/5/1/4667277.jpg",23
"44029-1",6056377,4,"Black","Constraction: Figure, Weapons",15362,"Claw 7 Modules With Cross Axle","http://cache.lego.com/media/bricks/5/1/6056377.jpg",15
"44029-1",4563477,6,"Black","System: Animals And Creatures",87747,"Tooth Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4563477.jpg",62
"44029-1",4289538,3,"Black","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289538.jpg",203
"44029-1",4508144,3,"Black","System: Figure Accessories, Upper And Lower Part",60115,"Skeleton Body W. Shaft 3.2","http://cache.lego.com/media/bricks/5/1/4508144.jpg",23
"44029-1",6006739,4,"Black","System: Figure Accessories, Upper And Lower Part",76116,"Bad Robot Arm","http://cache.lego.com/media/bricks/5/1/6006739.jpg",72
"44029-1",6058871,3,"Black","System: Figure Accessories, Upper And Lower Part",60115,"Skeleton Body W Shaft 3.2","http://cache.lego.com/media/bricks/5/1/6058871.jpg",17
"44029-1",6074849,1,"Black","System: Figure, Heads And Masks",17657,"Creature Head Upper Part Deco 4","http://cache.lego.com/media/bricks/5/1/6074849.jpg",1
"44029-1",6051331,1,"Black","System: Functional Elements",15391,"Mini Shooter With Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6051331.jpg",50
"44029-1",4142135,2,"Black","Technic: Beams",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/1/4142135.jpg",215
"44029-1",4593579,3,"Black","Technic: Beams W/ Ball And Ball Cup",90634,"Doub. Snap 3M, W. Ø10.2 Balls","http://cache.lego.com/media/bricks/5/1/4593579.jpg",10
"44029-1",4610948,1,"Black","Technic: Beams W/ Ball And Ball Cup",93571,"Ball Cup 3M Ø10.2","http://cache.lego.com/media/bricks/5/1/4610948.jpg",111
"44029-1",4121667,1,"Black","Technic: Beams, Special",32184,"Double Cross Block","http://cache.lego.com/media/bricks/5/1/4121667.jpg",199
"44029-1",373726,2,"Black","Technic: Connectors",3737,"Cross Axle 10M","http://cache.lego.com/media/bricks/5/1/373726.jpg",427
"44029-1",4107081,3,"Black","Technic: Connectors",32039,"Catch W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4107081.jpg",356
"44029-1",4121715,8,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"44029-1",4140801,2,"Black","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",359
"44029-1",4512363,1,"Black","Technic: Connectors",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/1/4512363.jpg",249
"44029-1",6013938,1,"Brick Yellow","Technic: Connectors",32002,"1 1/2 M Connecting Bush","http://cache.lego.com/media/bricks/5/1/6013938.jpg",111
"44029-1",6072645,1,"Bright Blue","Constraction: Body Shells",15355,"Hopping Grabber Top","http://cache.lego.com/media/bricks/5/1/6072645.jpg",4
"44029-1",4586188,1,"Bright Blue","System: Figure, Heads And Masks",3626,"Mini Head","http://cache.lego.com/media/bricks/5/1/4586188.jpg",7
"44029-1",4143005,3,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"44029-1",4206482,3,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"44029-1",4514553,3,"Bright Blue","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",585
"44029-1",6056350,1,"Bright Orange","Constraction: Body Shells",15354,"Hopping Grabber Base","http://cache.lego.com/media/bricks/5/1/6056350.jpg",8
"44029-1",6056266,2,"Bright Red","System: Figure Accessories, Upper And Lower Part",15341,"Mini Robot Arm","http://cache.lego.com/media/bricks/5/1/6056266.jpg",3
"44029-1",6056317,2,"Bright Red","System: Figure Accessories, Upper And Lower Part",15343,"Mini Robot Legs","http://cache.lego.com/media/bricks/5/1/6056317.jpg",3
"44029-1",6056328,1,"Bright Red","System: Figure, Head Clothing",15348,"Mini Robot Head No.4, 2014","http://cache.lego.com/media/bricks/5/1/6056328.jpg",3
"44029-1",4173441,1,"Bright Red","System: Figure, Heads And Masks",3626,"Mini Head","http://cache.lego.com/media/bricks/5/1/4173441.jpg",13
"44029-1",4142865,7,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"44029-1",4632601,4,"Bright Yellow","Constraction: Body Shells",90641,"Shell A 3M Ball Snap Ø10.2","http://cache.lego.com/media/bricks/5/1/4632601.jpg",5
"44029-1",6031072,6,"Bright Yellow","Constraction: Figure Parts",90611,"Beam A 4M Ball/Cup Ø10.2","http://cache.lego.com/media/bricks/5/1/6031072.jpg",3
"44029-1",6014111,2,"Bright Yellow","System: Figure Accessories, Upper And Lower Part",76116,"Bad Robot Arm","http://cache.lego.com/media/bricks/5/1/6014111.jpg",5
"44029-1",6056237,2,"Bright Yellow","System: Figure Accessories, Upper And Lower Part",15341,"Mini Robot Arm","http://cache.lego.com/media/bricks/5/1/6056237.jpg",4
"44029-1",6056314,2,"Bright Yellow","System: Figure Accessories, Upper And Lower Part",15343,"Mini Robot Legs","http://cache.lego.com/media/bricks/5/1/6056314.jpg",4
"44029-1",6056324,1,"Bright Yellow","System: Figure, Head Clothing",15346,"Mini Robot Head No.3, 2014","http://cache.lego.com/media/bricks/5/1/6056324.jpg",4
"44029-1",4526983,4,"Bright Yellow","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526983.jpg",44
"44029-1",6058121,1,"Bright Yellowish Green","Constraction: Body Shells",15353,"Cockpit With Ball Snap","http://cache.lego.com/media/bricks/5/1/6058121.jpg",4
"44029-1",4579250,6,"Bright Yellowish Green","System: Animals And Creatures",88513,"Horn W. Shaft Ø 3.2","http://cache.lego.com/media/bricks/5/1/4579250.jpg",22
"44029-1",6005755,2,"Dark Brown","Technic: Connectors",10288,"3 Branch Crosshole W. Hole","http://cache.lego.com/media/bricks/5/1/6005755.jpg",32
"44029-1",4622903,4,"Dark Stone Grey","Constraction: Figure Parts",90617,"Beam B 5M Ball/Cup Ø10.2","http://cache.lego.com/media/bricks/5/1/4622903.jpg",64
"44029-1",6001085,2,"Dark Stone Grey","Constraction: Figure Parts",98577,"Beam 3M Ø10.2 Ball With Guide","http://cache.lego.com/media/bricks/5/1/6001085.jpg",60
"44029-1",6056934,5,"Dark Stone Grey","Constraction: Figure Parts",90611,"Beam A 4M Ball/Cup Ø10.2","http://cache.lego.com/media/bricks/5/1/6056934.jpg",9
"44029-1",4211051,1,"Dark Stone Grey","System: Figure Accessories In Hand",30162,"Prismatic Binoculars","http://cache.lego.com/media/bricks/5/1/4211051.jpg",210
"44029-1",4623236,1,"Dark Stone Grey","System: Figure, Weapons",95199,"Mini Spacegun W.Rib Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4623236.jpg",64
"44029-1",6051334,1,"Dark Stone Grey","System: Functional Elements",15392,"Trigger For Mini Shooter","http://cache.lego.com/media/bricks/5/1/6051334.jpg",162
"44029-1",4210857,2,"Dark Stone Grey","Technic: Beams, Special",42003,"Cross Blok 3M","http://cache.lego.com/media/bricks/5/1/4210857.jpg",91
"44029-1",6020189,2,"Dark Stone Grey","Technic: Functional Elements, Others",99021,"Bush W/Connecting Piece","http://cache.lego.com/media/bricks/5/1/6020189.jpg",55
"44029-1",6005999,1,"Light Royal Blue","System: Figure, Heads And Masks",3626,"Mini Head","http://cache.lego.com/media/bricks/5/1/6005999.jpg",5
"44029-1",6058239,1,"Medium Azur","System: Figure, Heads And Masks",15357,"Creature Head Lower Part","http://cache.lego.com/media/bricks/5/1/6058239.jpg",1
"44029-1",4653134,12,"Medium Azur","Technic: Beams W/ Ball And Ball Cup",93571,"Ball Cup 3M Ø10.2","http://cache.lego.com/media/bricks/5/1/4653134.jpg",4
"44029-1",6060782,12,"Medium Azur","Technic: Beams W/ Ball And Ball Cup",93571,"Ball Cup 3M Ø10.2","http://cache.lego.com/media/bricks/5/1/6060782.jpg",4
"44029-1",4225033,1,"Medium Stone Grey","Technic: Beams, Special",48989,"Beam 3 M. W/4 Snaps","http://cache.lego.com/media/bricks/5/1/4225033.jpg",175
"44029-1",6106472,4,"Multicombination","Constraction: Figure Parts",74261,"Ball Cup High Friction W. Rubber","http://cache.lego.com/media/bricks/5/1/6106472.jpg",64
"44029-1",6100507,3,"Multicombination","System: Figure, Weapons",15358,"Shell 5X8X3 With Crossexel, 2K","http://cache.lego.com/media/bricks/5/1/6100507.jpg",3
"44029-1",6100512,3,"Multicombination","System: Figure, Weapons",15358,"Shell 5X8X3 With Crossexel, 2K","http://cache.lego.com/media/bricks/5/1/6100512.jpg",2
"44029-1",4632642,1,"Silver Metallic","Constraction: Body Shells",90639,"Shell A 5M Ball Snap Ø10.2","http://cache.lego.com/media/bricks/5/1/4632642.jpg",6
"44029-1",6060841,1,"Silver Metallic","Constraction: Body Shells",16435,"Shell A 5M, No. 28","http://cache.lego.com/media/bricks/5/1/6060841.jpg",3
"44029-1",6056235,1,"Silver Metallic","System: Figure Accessories, Upper Body",15339,"Mini Robot Armor","http://cache.lego.com/media/bricks/5/1/6056235.jpg",7
"44029-1",6056236,2,"Titanium Metallic","System: Figure Accessories, Upper Body",15339,"Mini Robot Armor","http://cache.lego.com/media/bricks/5/1/6056236.jpg",12
"44029-1",6056372,2,"Transparent Bright Green","Miscellaneous: Miscellaneous Elements",15361,"Container 3X8X5 With Hole Ø 4.85","http://cache.lego.com/media/bricks/5/1/6056372.jpg",3
"44029-1",4570481,2,"Transparent Bright Green","System: Figure Accessories In Hand",58176,"Globe W. 3.2 Stick","http://cache.lego.com/media/bricks/5/1/4570481.jpg",40
"44029-1",4655587,1,"Transparent Bright Green","Technic: Functional Elements",54821,"Ball  Ø16,5","http://cache.lego.com/media/bricks/5/1/4655587.jpg",19
"44029-1",6021672,2,"Transparent Bright Green","Technic: Functional Elements",98564,"Shooter Arm-2012","http://cache.lego.com/media/bricks/5/1/6021672.jpg",9
"44029-1",6030851,1,"Transparent Brown","System: Windscreens And Cockpits",11289,"Cockpit 4X4X4 2/3 W. Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6030851.jpg",11
"44029-1",6061058,7,"Transparent Fluorescent Green","Constraction: Body Shells",10498,"Shell A 3M Ball Snap Ø10.2","http://cache.lego.com/media/bricks/5/1/6061058.jpg",6
"44029-1",3005749,4,"Transparent Fluorescent Green","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005749.jpg",286
"44029-1",6064988,4,"Transparent Light Blue","Constraction: Figure, Weapons",15107,"Leg 8M With Cross Axle/Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6064988.jpg",10
"44029-1",6071199,1,"Warm Gold","Constraction: Body Shells",92234,"Shell/Spi. 4X4 W. D. 3.2 Stick","http://cache.lego.com/media/bricks/5/1/6071199.jpg",1
"44029-1",6075042,1,"Warm Gold","Constraction: Body Shells",15369,"Shell 5X5X5 With Double Ø 3.20 Shaft","http://cache.lego.com/media/bricks/5/1/6075042.jpg",8
