SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"4641-1",301026,1,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"4641-1",4253815,1,"Black","System: Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",133
"4641-1",366526,1,"Black","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366526.jpg",231
"4641-1",4541191,1,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"4641-1",243226,1,"Black","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243226.jpg",233
"4641-1",4535739,1,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"4641-1",4278359,3,"Black","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278359.jpg",241
"4641-1",4567909,1,"Bright Blue","System: Figure, Head Clothing",86035,"Mini U.S. Cap","http://cache.lego.com/media/bricks/5/1/4567909.jpg",49
"4641-1",9341,1,"Bright Blue","System: Mini Figure",73200,"Mini Body Lowerpart Blue","http://cache.lego.com/media/bricks/5/1/9341.jpg",390
"4641-1",4275827,1,"Bright Blue","System: Mini Figure",76382,"Mini Upper Part 'No. 1156'","http://cache.lego.com/media/bricks/5/1/4275827.jpg",16
"4641-1",9566,1,"Bright Blue","System: Transportation Means, Vehicles",73081,"Console W/St.Wheel B/Bla","http://cache.lego.com/media/bricks/5/1/9566.jpg",156
"4641-1",4160390,2,"Bright Red","System: Bricks With Bows And Arches",42022,"Brick 1X6 W/Bow","http://cache.lego.com/media/bricks/5/1/4160390.jpg",34
"4641-1",4540382,2,"Bright Red","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4540382.jpg",55
"4641-1",302221,1,"Bright Red","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302221.jpg",541
"4641-1",366621,2,"Bright Red","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366621.jpg",273
"4641-1",4565426,1,"Bright Red","System: Transportation Means, Aviation",87615,"Roof Tile 6X10 W. Double Bow","http://cache.lego.com/media/bricks/5/1/4565426.jpg",4
"4641-1",4648281,1,"Bright Yellow","System: Figure Accessories, Upper Body",97895,"Life Jacket","http://cache.lego.com/media/bricks/5/1/4648281.jpg",37
"4641-1",4194017,1,"Bright Yellow","System: Figure, Heads And Masks",45939,"Mini Head No. 282","http://cache.lego.com/media/bricks/5/1/4194017.jpg",48
"4641-1",6022320,1,"Bright Yellow","System: Figure, Heads And Masks",45939,"Mini Head No. 282","http://cache.lego.com/media/bricks/5/1/6022320.jpg",59
"4641-1",241224,2,"Bright Yellow","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241224.jpg",177
"4641-1",4496442,1,"Transparent Brown","System: Windscreens And Cockpits",57783,"Windscreen  4X3X1 1/3","http://cache.lego.com/media/bricks/5/1/4496442.jpg",36
"4641-1",4140626,1,"White","System: Bricks, Special",30236,"Brick 1X2 With Stick","http://cache.lego.com/media/bricks/5/1/4140626.jpg",40
"4641-1",4259937,1,"White","System: Bricks, With Slope",52501,"Inverted Roof Tile 6X1X1","http://cache.lego.com/media/bricks/5/1/4259937.jpg",44
"4641-1",4504369,2,"White","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504369.jpg",350
"4641-1",4613786,1,"White","System: Bricks, With Slope",60219,"Inv. Roof Tile 4X6, 3XÃ¸4.9","http://cache.lego.com/media/bricks/5/1/4613786.jpg",6
"4641-1",241201,1,"White","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241201.jpg",244
"4641-1",4649049,1,"White","System: Plates, Special Circles And Angles",90194,"Plate 3X4 W/Angles","http://cache.lego.com/media/bricks/5/1/4649049.jpg",28
"4641-1",4560930,1,"White","System: Transportation Means, Aviation",87611,"Inverted R.T. 6X10 W.Doubl.Bow","http://cache.lego.com/media/bricks/5/1/4560930.jpg",4
