SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"4882-1",4160108,1,"Black","System: Bricks With Special Bows And Angles",41747,"Right Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4160108.jpg",50
"4882-1",4160130,1,"Black","System: Bricks With Special Bows And Angles",41748,"Left Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4160130.jpg",50
"4882-1",458926,4,"Black","System: Bricks, Special Circles And Angles",4589,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/458926.jpg",81
"4882-1",303226,1,"Black","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",282
"4882-1",303426,1,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"4882-1",379426,2,"Black","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379426.jpg",354
"4882-1",379526,1,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"4882-1",403226,9,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"4882-1",4184617,2,"Black","System: Signs, Flags And Poles",44676,"Banner 26 Deg. M. 2 Holdere","http://cache.lego.com/media/bricks/5/1/4184617.jpg",63
"4882-1",370526,2,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"4882-1",370626,2,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"4882-1",370726,1,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
"4882-1",4107783,2,"Black","Technic: Connectors",32034,"Angle Element, 180 Degrees [2]","http://cache.lego.com/media/bricks/5/1/4107783.jpg",252
"4882-1",4109810,2,"Black","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4109810.jpg",530
"4882-1",4107828,1,"Black","Technic: Half Beams",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/1/4107828.jpg",215
"4882-1",4186017,4,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4186017.jpg",292
"4882-1",4666579,4,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"4882-1",300723,1,"Bright Blue","System: Bricks",3007,"Brick 2X8","http://cache.lego.com/media/bricks/5/1/300723.jpg",108
"4882-1",4160391,4,"Bright Blue","System: Bricks With Bows And Arches",42022,"Brick 1X6 W/Bow","http://cache.lego.com/media/bricks/5/1/4160391.jpg",17
"4882-1",4160407,6,"Bright Blue","System: Bricks With Bows And Arches",42023,"Brick 1X6 W/Bow, Rev.","http://cache.lego.com/media/bricks/5/1/4160407.jpg",11
"4882-1",4180410,1,"Bright Blue","System: Bricks With Slope, Special",43710,"Roof Tile 2X4 W/Angle, L","http://cache.lego.com/media/bricks/5/1/4180410.jpg",6
"4882-1",4180420,1,"Bright Blue","System: Bricks With Slope, Special",43711,"Roof Tile 2X4 W/Angle, Right","http://cache.lego.com/media/bricks/5/1/4180420.jpg",6
"4882-1",407023,2,"Bright Blue","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/407023.jpg",88
"4882-1",4212411,2,"Bright Blue","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4212411.jpg",55
"4882-1",4112930,4,"Bright Blue","System: Bricks, Special Ã˜4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4112930.jpg",12
"4882-1",4233490,4,"Bright Blue","System: Bricks, Special Ã˜4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233490.jpg",8
"4882-1",303923,1,"Bright Blue","System: Bricks, With Slope",3039,"Roof Tile 2X2/45Â°","http://cache.lego.com/media/bricks/5/1/303923.jpg",152
"4882-1",366023,1,"Bright Blue","System: Bricks, With Slope",3660,"Roof Tile 2X2/45Â° Inv.","http://cache.lego.com/media/bricks/5/1/366023.jpg",131
"4882-1",4121936,2,"Bright Blue","System: Bricks, With Slope",3040,"Roof Tile 1X2/45Â°","http://cache.lego.com/media/bricks/5/1/4121936.jpg",133
"4882-1",4174262,1,"Bright Blue","System: Bricks, With Slope",3048,"End Ridged Tile 1X2/45Â°","http://cache.lego.com/media/bricks/5/1/4174262.jpg",6
"4882-1",4247225,1,"Bright Blue","System: Decoration Elements",47458,"Plate W. Bows 2X1Â½","http://cache.lego.com/media/bricks/5/1/4247225.jpg",3
"4882-1",241223,3,"Bright Blue","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241223.jpg",116
"4882-1",243123,2,"Bright Blue","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243123.jpg",129
"4882-1",302023,3,"Bright Blue","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302023.jpg",357
