SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"5761-1",4141580,2,"Black","System: Connectors",4735,"Holder 16 Mm","http://cache.lego.com/media/bricks/5/1/4141580.jpg",78
"5761-1",4541191,2,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"5761-1",486526,1,"Black","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/486526.jpg",176
"5761-1",4106347,2,"Black","System: Frames, Windows, Walls And Doors",6231,"Wall Corner 1X1X1","http://cache.lego.com/media/bricks/5/1/4106347.jpg",81
"5761-1",302026,2,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"5761-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"5761-1",4504381,2,"Bright Yellow","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504381.jpg",151
"5761-1",302124,2,"Bright Yellow","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302124.jpg",261
"5761-1",4141630,2,"Bright Yellow","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4141630.jpg",56
"5761-1",4188313,3,"Bright Yellow","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/4188313.jpg",53
"5761-1",4282745,1,"Bright Yellow","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282745.jpg",59
"5761-1",4632569,4,"Bright Yellow","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4632569.jpg",52
"5761-1",4283123,1,"Bright Yellow","System: Transportation Means, Vehicles",44674,"Racers Guard 2,5 X 4","http://cache.lego.com/media/bricks/5/1/4283123.jpg",15
"5761-1",4211090,2,"Dark Stone Grey","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211090.jpg",205
"5761-1",4211001,1,"Dark Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211001.jpg",489
"5761-1",4211094,3,"Dark Stone Grey","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4211094.jpg",499
"5761-1",4210660,4,"Dark Stone Grey","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4210660.jpg",287
"5761-1",4611703,1,"Dark Stone Grey","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4611703.jpg",97
"5761-1",4210633,2,"Dark Stone Grey","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4210633.jpg",326
"5761-1",4211764,4,"Medium Stone Grey","System: Tyres And Rims For Snap Ø3,2",6014,"Rim Wide W. Hole Ø11","http://cache.lego.com/media/bricks/5/1/4211764.jpg",207
"5761-1",4211504,2,"Medium Stone Grey","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/4211504.jpg",115
"5761-1",4211483,1,"Medium Stone Grey","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4211483.jpg",572
"5761-1",4222960,3,"Transparent Bright Orange","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/4222960.jpg",324
"5761-1",4226179,2,"Transparent Brown","System: Bricks",3065,"Brick 1X2 Without Pin","http://cache.lego.com/media/bricks/5/1/4226179.jpg",57
"5761-1",3005741,2,"Transparent Red","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005741.jpg",948
"5761-1",3003944,2,"Transparent Yellow","System: Plates",30039,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/3003944.jpg",62
