SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"5885-1",4218868,4,"Black","Miscellaneous: Miscellaneous Elements",2723,"Disk Ø24","http://cache.lego.com/media/bricks/5/1/4218868.jpg",84
"5885-1",300126,1,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"5885-1",300426,2,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"5885-1",273026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",2730,"Technic Brick 1X10 Ø4.9","http://cache.lego.com/media/bricks/5/1/273026.jpg",141
"5885-1",4655570,7,"Black","System: Cranes And Scaffold",64448,"Lattice Wall 1X6X5","http://cache.lego.com/media/bricks/5/1/4655570.jpg",2
"5885-1",4541191,4,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"5885-1",4185652,2,"Black","System: Fences And Ladders",30055,"Fence 1X4X2 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/4185652.jpg",37
"5885-1",4620385,2,"Black","System: Fences And Ladders",95229,"Lattice Ø3.18 3X8M","http://cache.lego.com/media/bricks/5/1/4620385.jpg",12
"5885-1",383526,1,"Black","System: Figure Accessories In Hand",3835,"Mini Fireman'S Axe","http://cache.lego.com/media/bricks/5/1/383526.jpg",104
"5885-1",4522653,1,"Black","System: Figure, Head Clothing",30171,"Flying Helmet","http://cache.lego.com/media/bricks/5/1/4522653.jpg",52
"5885-1",4658182,1,"Black","System: Mini Figure",76382,"Mini Upper Part 'No. 2006'","http://cache.lego.com/media/bricks/5/1/4658182.jpg",1
"5885-1",302126,4,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"5885-1",366626,6,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"5885-1",243626,1,"Black","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/243626.jpg",77
"5885-1",4282746,1,"Black","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282746.jpg",134
"5885-1",4556158,2,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"5885-1",4297209,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",55976,"Tyre Baloon Wide Ø56 X 26","http://cache.lego.com/media/bricks/5/1/4297209.jpg",32
"5885-1",4562148,2,"Black","Technic: Beams, Special",85940,"Double Ø4.85 Hole W.Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4562148.jpg",60
"5885-1",370726,1,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
"5885-1",4121715,8,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"5885-1",4143005,19,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"5885-1",614321,1,"Bright Red","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614321.jpg",123
"5885-1",9552,1,"Bright Red","System: Transportation Means, Vehicles",73081,"Console W Wheel Red/Blac","http://cache.lego.com/media/bricks/5/1/9552.jpg",157
"5885-1",4227155,4,"Bright Red","Technic: Connectors",6590,"Bush For Cross Axle","http://cache.lego.com/media/bricks/5/1/4227155.jpg",287
"5885-1",300924,6,"Bright Yellow","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300924.jpg",221
"5885-1",4181143,5,"Bright Yellow","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181143.jpg",143
"5885-1",4200026,2,"Bright Yellow","System: Bricks",6111,"Brick 1X10","http://cache.lego.com/media/bricks/5/1/4200026.jpg",20
"5885-1",4264963,2,"Bright Yellow","System: Bricks",2465,"Brick 1X16","http://cache.lego.com/media/bricks/5/1/4264963.jpg",8
