SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75901-1",6122220,1,"Black","System: Figure, Heads And Masks",22418,"Mini Head 'No.1742'","http://cache.lego.com/media/bricks/5/1/6122220.jpg",1
"75901-1",4599499,2,"Black","System: Plates",92593,"Plate 1X4 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/4599499.jpg",79
"75901-1",6055123,1,"Black","System: Transportation Means, Aviation",15790,"Propeller Ø71.84","http://cache.lego.com/media/bricks/5/1/6055123.jpg",33
"75901-1",4516843,2,"Black","System: Tyres And Rims For Snap Ø3,2",59895,"Tyre D8, Sebs","http://cache.lego.com/media/bricks/5/1/4516843.jpg",153
"75901-1",6115248,2,"Brick Yellow","System: Plates, Special Circles And Angles",15535,"Flat Tile 2X2 Round W. Hole Ø4.85","http://cache.lego.com/media/bricks/5/1/6115248.jpg",15
"75901-1",6122533,2,"Brick Yellow","System: Plates, Special Circles And Angles",22718,"Slide Shoe Round 2X2 'No. 2'","http://cache.lego.com/media/bricks/5/1/6122533.jpg",4
"75901-1",9341,1,"Bright Blue","System: Mini Figure",73200,"Mini Body Lowerpart Blue","http://cache.lego.com/media/bricks/5/1/9341.jpg",390
"75901-1",6122259,1,"Bright Blue","System: Mini Figure",76382,"Mini Upper Part No.3101","http://cache.lego.com/media/bricks/5/1/6122259.jpg",1
"75901-1",6055069,4,"Bright Orange","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6055069.jpg",27
"75901-1",4532970,1,"Bright Orange","System: Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4532970.jpg",19
"75901-1",6122207,1,"Bright Orange","System: Figure, Head Clothing",20695,"Mini Hat No.7-Ass.","http://cache.lego.com/media/bricks/5/1/6122207.jpg",3
"75901-1",4121741,1,"Bright Orange","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4121741.jpg",66
"75901-1",4125254,1,"Bright Orange","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4125254.jpg",91
"75901-1",6056707,1,"Bright Orange","System: Plates",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/1/6056707.jpg",7
"75901-1",300221,1,"Bright Red","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300221.jpg",305
"75901-1",614121,2,"Bright Red","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614121.jpg",416
