SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60006-1",4141349,1,"Black","System: Fences And Ladders",6187,"Handle 1X4X2","http://cache.lego.com/media/bricks/5/1/4141349.jpg",50
"60006-1",396226,1,"Black","System: Figure Accessories In Hand",3962,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/396226.jpg",212
"60006-1",6100054,1,"Black","System: Figure Accessories In Hand",19220,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/6100054.jpg",103
"60006-1",4567910,1,"Black","System: Figure, Head Clothing",86035,"Mini U.S. Cap","http://cache.lego.com/media/bricks/5/1/4567910.jpg",25
"60006-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"60006-1",4516843,1,"Black","System: Tyres And Rims For Snap Ø3,2",59895,"Tyre D8, Sebs","http://cache.lego.com/media/bricks/5/1/4516843.jpg",153
"60006-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"60006-1",615726,2,"Black","System: Wheel Base",6157,"Bearing Element 2X2 2/3","http://cache.lego.com/media/bricks/5/1/615726.jpg",241
"60006-1",4599453,1,"Bright Red","System: Figure Accessories In Hand",92585,"Mini Figure Crowbar","http://cache.lego.com/media/bricks/5/1/4599453.jpg",66
"60006-1",4646527,1,"Bright Red","System: Wheel Base",98288,"Mini Wheel Barrow W.Ø3.2Shaft","http://cache.lego.com/media/bricks/5/1/4646527.jpg",16
"60006-1",6018620,1,"Bright Yellow","System: Figure, Heads And Masks",11978,"Mini Head 'No 1086'","http://cache.lego.com/media/bricks/5/1/6018620.jpg",5
"60006-1",6018687,1,"Bright Yellow","System: Figure, Heads And Masks",12535,"Mini Head 'No 1091'","http://cache.lego.com/media/bricks/5/1/6018687.jpg",21
"60006-1",6112620,1,"Bright Yellow","System: Figure, Heads And Masks",21022,"Mini Head 'No. 1662'","http://cache.lego.com/media/bricks/5/1/6112620.jpg",22
"60006-1",4210934,1,"Dark Stone Grey","System: Figure, Head Clothing",41334,"Mini Pixie Cap","http://cache.lego.com/media/bricks/5/1/4210934.jpg",51
"60006-1",6018686,1,"Dark Stone Grey","System: Mini Figure",76382,"Mini Upper Part No 2196","http://cache.lego.com/media/bricks/5/1/6018686.jpg",6
"60006-1",4211002,1,"Dark Stone Grey","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4211002.jpg",487
"60006-1",4296785,1,"Earth Blue","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4296785.jpg",41
"60006-1",6018588,1,"Earth Blue","System: Mini Figure",11974,"Mini Lower Part 'No 406'","http://cache.lego.com/media/bricks/5/1/6018588.jpg",6
"60006-1",4613003,1,"Earth Blue","System: Transportation Means, Vehicles",41854,"Wheel Arch 2X4","http://cache.lego.com/media/bricks/5/1/4613003.jpg",2
"60006-1",6018628,2,"Earth Blue","System: Transportation Means, Vehicles",50947,"Cover Plate W. Curve 1 X 4.5","http://cache.lego.com/media/bricks/5/1/6018628.jpg",1
"60006-1",6018507,1,"Medium Blue","System: Mini Figure",76382,"Mini Upper Part No 2190","http://cache.lego.com/media/bricks/5/1/6018507.jpg",8
"60006-1",4641048,1,"Medium Stone Grey","System: Figure, Weapons",97927,"Handcuffs","http://cache.lego.com/media/bricks/5/1/4641048.jpg",119
"60006-1",4594238,2,"Medium Stone Grey","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4594238.jpg",235
"60006-1",4211628,1,"Medium Stone Grey","System: Signs, Flags And Poles",30374,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/4211628.jpg",143
