SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60014-1",247926,1,"Black","System",2479,"Rotor","https://www.lego.com/service/bricks/5/2/247926",167
"60014-1",258426,1,"Black","System",2584,"Drum Holder 2X2","https://www.lego.com/service/bricks/5/2/258426",77
"60014-1",265426,4,"Black","System",2654,"Slide Shoe Round 2X2","https://www.lego.com/service/bricks/5/2/265426",325
"60014-1",300326,10,"Black","System",3003,"Brick 2X2","https://www.lego.com/service/bricks/5/2/300326",564
"60014-1",317626,2,"Black","System",3176,"Coupling Plate 2X2","https://www.lego.com/service/bricks/5/2/317626",162
"60014-1",383926,1,"Black","System",3839,"Mini Handle","https://www.lego.com/service/bricks/5/2/383926",188
"60014-1",395726,1,"Black","System",3957,"Whip/Aerial","https://www.lego.com/service/bricks/5/2/395726",261
"60014-1",403226,1,"Black","System",4032,"Plate 2X2 Round","https://www.lego.com/service/bricks/5/2/403226",514
"60014-1",407926,2,"Black","System",4079,"Seat 2X2X2","https://www.lego.com/service/bricks/5/2/407926",103
"60014-1",604126,3,"Black","System",6041,"Propeller W. 3 Blades Ã˜26.6","https://www.lego.com/service/bricks/5/2/604126",102
"60014-1",4144023,1,"Black","System",32529,"T-Beam W. Plate 1X2 W. Knob","https://www.lego.com/service/bricks/5/2/4144023",71
"60014-1",4159335,2,"Black","System",41532,"Stub W. Friction Bush 3 M","https://www.lego.com/service/bricks/5/2/4159335",177
"60014-1",4185272,1,"Black","System",44675,"2X2 Front With Suction","https://www.lego.com/service/bricks/5/2/4185272",33
"60014-1",4217725,1,"Black","System",47720,"Plate 2X2 (4M) W. Snap Ã˜4.85","https://www.lego.com/service/bricks/5/2/4217725",68
"60014-1",4289255,1,"Black","System",2421,"Propeller","https://www.lego.com/service/bricks/5/2/4289255",46
"60014-1",4507820,2,"Black","System",30554,"Link 1M Fric/Fork/Stumpf","https://www.lego.com/service/bricks/5/2/4507820",57
"60014-1",4535739,6,"Black","System",63868,"Plate 2X1 W/Holder,Vertical","https://www.lego.com/service/bricks/5/2/4535739",241
"60014-1",4647286,2,"Black","System",93606,"Brick W. Bow 2X4","https://www.lego.com/service/bricks/5/2/4647286",67
"60014-1",4660876,2,"Black","System",98302,"Jet Engine","https://www.lego.com/service/bricks/5/2/4660876",20
"60014-1",6007896,2,"Black","System",98560,"Roof Tile 2X2X3/ 73 Gr.","https://www.lego.com/service/bricks/5/2/6007896",22
"60014-1",6020193,1,"Black","System",99780,"Angular Plate 1.5 Bot. 1X2 1/2","https://www.lego.com/service/bricks/5/2/6020193",271
"60014-1",6021604,1,"Black","System",10885,"Plate 1X2 W. Radiator","https://www.lego.com/service/bricks/5/2/6021604",6
"60014-1",6036006,1,"Black","System",14045,"Headset W. Shaft Ã˜1.5","https://www.lego.com/service/bricks/5/2/6036006",18
"60014-1",6040336,2,"Black","System",14137,"Flap 2X8 Friction/Fork","https://www.lego.com/service/bricks/5/2/6040336",31
"60014-1",6100054,1,"Black","System",19220,"Walkie-Talkie","https://www.lego.com/service/bricks/5/2/6100054",63
"60014-1",6145492,1,"Black","System",23198,"100% Polyester Yarn Ã˜0,5Mm,0,5M","https://www.lego.com/service/bricks/5/2/6145492",27
"60014-1",370526,1,"Black","Technic",3705,"Cross Axle 4M","https://www.lego.com/service/bricks/5/2/370526",1063
"60014-1",370726,2,"Black","Technic",3707,"Cross Axle 8M","https://www.lego.com/service/bricks/5/2/370726",538
"60014-1",4121715,6,"Black","Technic",2780,"Connector Peg W. Friction","https://www.lego.com/service/bricks/5/2/4121715",2110
"60014-1",4238840,2,"Black","Technic",48496,"Double Snap 2M, Ã˜ 4,85","https://www.lego.com/service/bricks/5/2/4238840",29
"60014-1",4666579,2,"Brick Yellow","Technic",6562,"Connector Peg/Cross Axle","https://www.lego.com/service/bricks/5/2/4666579",793
"60014-1",9341,4,"Bright Blue","System",73200,"Mini Body Lowerpart Blue","https://www.lego.com/service/bricks/5/2/9341",426
