SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60027-1",4251161,2,"Black","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4251161.jpg",144
"60027-1",4529236,2,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"60027-1",4233487,8,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"60027-1",4185583,1,"Black","System: Bricks, With Slope",30363,"Roof Tile 2X4X1, 18°","http://cache.lego.com/media/bricks/5/1/4185583.jpg",49
"60027-1",4188534,2,"Black","System: Bricks, With Slope",4871,"Roof Tile 4X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/4188534.jpg",76
"60027-1",4548180,1,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"60027-1",4569407,2,"Black","System: Connectors",87617,"Function Element Female","http://cache.lego.com/media/bricks/5/1/4569407.jpg",27
"60027-1",4541191,2,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"60027-1",408326,1,"Black","System: Fences And Ladders",4083,"Hanger 1X4X2","http://cache.lego.com/media/bricks/5/1/408326.jpg",98
"60027-1",6030875,1,"Black","System: Figure Accessories In Hand",11402,"Tool Wheel","http://cache.lego.com/media/bricks/5/1/6030875.jpg",24
"60027-1",4298619,1,"Black","System: Figure, Head Clothing",30124,"Mini Crash Helmet","http://cache.lego.com/media/bricks/5/1/4298619.jpg",63
"60027-1",6036006,1,"Black","System: Figure, Head Clothing",14045,"Headset W. Shaft Ø1.5","http://cache.lego.com/media/bricks/5/1/6036006.jpg",18
"60027-1",241226,1,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"60027-1",243126,1,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"60027-1",244526,2,"Black","System: Plates",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/1/244526.jpg",220
"60027-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"60027-1",302126,1,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"60027-1",302926,1,"Black","System: Plates",3029,"Plate 4X12","http://cache.lego.com/media/bricks/5/1/302926.jpg",104
"60027-1",366626,2,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"60027-1",371026,3,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"60027-1",3200126,3,"Black","System: Plates, Special",32001,"1Plate 2X6 W. Holes","http://cache.lego.com/media/bricks/5/1/3200126.jpg",108
"60027-1",4140588,4,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"60027-1",4225201,1,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"60027-1",4598528,2,"Black","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598528.jpg",200
"60027-1",6089577,2,"Black","System: Plates, Special",10201,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/6089577.jpg",87
"60027-1",4260488,2,"Black","System: Transportation Means, Vehicles",50745,"Brick 2X4X1 W. Screen","http://cache.lego.com/media/bricks/5/1/4260488.jpg",30
"60027-1",4648117,4,"Black","System: Transportation Means, Vehicles",98282,"Brick 2X4X1 W. Screen No. 2","http://cache.lego.com/media/bricks/5/1/4648117.jpg",10
"60027-1",4568644,10,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"60027-1",4506553,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56891,"Tyre Balloon Wide Ø 37X18","http://cache.lego.com/media/bricks/5/1/4506553.jpg",38
"60027-1",292626,4,"Black","System: Wheel Base",2926,"Bearing Plate 1X4, Double","http://cache.lego.com/media/bricks/5/1/292626.jpg",130
