SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60032-1",6039869,2,"Black","System: Bricks With Bows And Arches",13547,"Brick 1X4X1 Inv. Bow","http://cache.lego.com/media/bricks/5/1/6039869.jpg",49
"60032-1",6100054,1,"Black","System: Figure Accessories In Hand",19220,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/6100054.jpg",103
"60032-1",302126,2,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"60032-1",302226,2,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"60032-1",4569733,2,"Black","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4569733.jpg",138
"60032-1",6062751,1,"Bright Blue","System: Figure, Head Clothing",16655,"Hat No. 20 'No.1'","http://cache.lego.com/media/bricks/5/1/6062751.jpg",9
"60032-1",6072915,1,"Bright Blue","System: Mini Figure",17495,"Mini Lower Part No 645","http://cache.lego.com/media/bricks/5/1/6072915.jpg",8
"60032-1",6068073,1,"Bright Orange","System: Bricks With Bows And Arches",17194,"Plate W.Bow 2X2X2/3 'No.3'","http://cache.lego.com/media/bricks/5/1/6068073.jpg",5
"60032-1",4504371,2,"Bright Orange","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504371.jpg",84
"60032-1",6068060,1,"Bright Orange","System: Mini Figure",76382,"Mini Upper Part No.2641","http://cache.lego.com/media/bricks/5/1/6068060.jpg",7
"60032-1",4121741,2,"Bright Orange","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4121741.jpg",66
"60032-1",4587052,2,"Bright Orange","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4587052.jpg",15
"60032-1",6055326,2,"Bright Orange","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/6055326.jpg",17
"60032-1",4582819,1,"Bright Orange","System: Transportation Means, Vehicles",41854,"Wheel Arch 2X4","http://cache.lego.com/media/bricks/5/1/4582819.jpg",9
"60032-1",6063272,1,"Bright Orange","System: Transportation Means, Vehicles",47755,"Plate 2X4X1 1/3 W. Side Bow","http://cache.lego.com/media/bricks/5/1/6063272.jpg",12
"60032-1",6068052,1,"Bright Yellow","System: Figure, Heads And Masks",17185,"Mini Head 'No.1395'","http://cache.lego.com/media/bricks/5/1/6068052.jpg",5
"60032-1",4211002,1,"Dark Stone Grey","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4211002.jpg",487
"60032-1",4211063,1,"Dark Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211063.jpg",576
"60032-1",4211119,1,"Dark Stone Grey","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4211119.jpg",232
"60032-1",4211069,1,"Dark Stone Grey","System: Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/4211069.jpg",185
"60032-1",4263176,2,"Dark Stone Grey","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/4263176.jpg",85
"60032-1",6030710,1,"Dark Stone Grey","System: Plates, Special",12825,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6030710.jpg",121
