SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60041-1",4141349,1,"Black","System: Fences And Ladders",6187,"Handle 1X4X2","http://cache.lego.com/media/bricks/5/1/4141349.jpg",50
"60041-1",4157108,1,"Black","System: Figure, Head Clothing",41334,"Mini Pixie Cap","http://cache.lego.com/media/bricks/5/1/4157108.jpg",86
"60041-1",302226,1,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"60041-1",6064174,2,"Black","System: Tyres And Rims, Special",50861,"Tyre Ø 20.9 X 5.8","http://cache.lego.com/media/bricks/5/1/6064174.jpg",49
"60041-1",4530673,1,"Black","System: Wheel Base",50859,"Motorcycle Frame 6M","http://cache.lego.com/media/bricks/5/1/4530673.jpg",49
"60041-1",306923,2,"Bright Blue","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306923.jpg",165
"60041-1",4599453,1,"Bright Red","System: Figure Accessories In Hand",92585,"Mini Figure Crowbar","http://cache.lego.com/media/bricks/5/1/4599453.jpg",66
"60041-1",4651218,1,"Bright Yellow","System: Figure, Heads And Masks",99512,"Mini Head 'No. 890'","http://cache.lego.com/media/bricks/5/1/4651218.jpg",7
"60041-1",6022320,1,"Bright Yellow","System: Figure, Heads And Masks",45939,"Mini Head No. 282","http://cache.lego.com/media/bricks/5/1/6022320.jpg",59
"60041-1",6100238,1,"Bright Yellow","System: Figure, Heads And Masks",19547,"Mini Head 'No. 1581'","http://cache.lego.com/media/bricks/5/1/6100238.jpg",9
"60041-1",6112623,1,"Bright Yellow","System: Figure, Heads And Masks",21024,"Mini Head 'No. 1664'","http://cache.lego.com/media/bricks/5/1/6112623.jpg",24
"60041-1",303428,1,"Dark Green","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303428.jpg",83
"60041-1",4295260,2,"Dark Green","System: Plates",82317,"Flat Tile 1X2, Dec. 100","http://cache.lego.com/media/bricks/5/1/4295260.jpg",127
"60041-1",4222693,1,"Dark Stone Grey","System: Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4222693.jpg",179
"60041-1",4162916,1,"Earth Blue","System: Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4162916.jpg",237
"60041-1",6056458,1,"Earth Blue","System: Mini Figure",76382,"Mini Upper Part No. 2504","http://cache.lego.com/media/bricks/5/1/6056458.jpg",7
"60041-1",4656783,4,"Medium Nougat","System: Bricks",98283,"Profile Brick 1X2 Single Gro.","http://cache.lego.com/media/bricks/5/1/4656783.jpg",63
"60041-1",4641048,1,"Medium Stone Grey","System: Figure, Weapons",97927,"Handcuffs","http://cache.lego.com/media/bricks/5/1/4641048.jpg",119
"60041-1",4590443,2,"Medium Stone Grey","System: Tyres And Rims, Special",50862,"Rim Ø 14.58 X 8","http://cache.lego.com/media/bricks/5/1/4590443.jpg",50
"60041-1",4211508,2,"Medium Stone Grey","Technic: Functional Elements, Others",4697,"T-Piece","http://cache.lego.com/media/bricks/5/1/4211508.jpg",188
"60041-1",4598955,1,"Sand Yellow","System: Figure Accessories, Upper Body",92590,"Mini Figure Sack","http://cache.lego.com/media/bricks/5/1/4598955.jpg",53
"60041-1",4567331,1,"Transparent Blue","System: Bricks, Special Circles And Angles",64288,"Nose Cone Small 1X1 - Tr","http://cache.lego.com/media/bricks/5/1/4567331.jpg",89
"60041-1",4244366,2,"Transparent Blue","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4244366.jpg",124
"60041-1",4163306,1,"Transparent Brown","System: Figure, Head Clothing",2447,"Mini Visor 2","http://cache.lego.com/media/bricks/5/1/4163306.jpg",205
"60041-1",4260942,1,"Transparent Yellow","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4260942.jpg",134
"60041-1",4298609,1,"White","System: Figure, Head Clothing",30124,"Mini Crash Helmet","http://cache.lego.com/media/bricks/5/1/4298609.jpg",143
"60041-1",4651211,1,"White","System: Mini Figure",76382,"Mini Upper Part No. 1944","http://cache.lego.com/media/bricks/5/1/4651211.jpg",7
"60041-1",4598527,1,"White","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598527.jpg",69
"60041-1",395701,1,"White","System: Signs, Flags And Poles",3957,"Whip/Aerial","http://cache.lego.com/media/bricks/5/1/395701.jpg",237
"60041-1",4579412,1,"White","System: Transportation Means, Vehicles",89536,"Motor Cycle Fairing","http://cache.lego.com/media/bricks/5/1/4579412.jpg",11
