SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60055-1",4121966,2,"Black","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121966.jpg",308
"60055-1",400626,1,"Black","System: Figure Accessories In Hand",4006,"Screwdriver/Spanner","http://cache.lego.com/media/bricks/5/1/400626.jpg",219
"60055-1",4298619,1,"Black","System: Figure, Head Clothing",30124,"Mini Crash Helmet","http://cache.lego.com/media/bricks/5/1/4298619.jpg",63
"60055-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"60055-1",302026,4,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"60055-1",307026,2,"Black","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",204
"60055-1",371026,2,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"60055-1",383226,1,"Black","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/383226.jpg",254
"60055-1",4183043,2,"Black","System: Plates, Special",44301,"Plate 1X2 W/Stub Vertical/End","http://cache.lego.com/media/bricks/5/1/4183043.jpg",106
"60055-1",4556158,1,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"60055-1",4191191,1,"Black","System: Transportation Means, Vehicles",45677,"Plate 4X4X2/3","http://cache.lego.com/media/bricks/5/1/4191191.jpg",47
"60055-1",6052851,1,"Black","System: Transportation Means, Vehicles",11291,"Front 4X3X2/3 W. Bow","http://cache.lego.com/media/bricks/5/1/6052851.jpg",5
"60055-1",4619323,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",92402,"Tyre Normal Wide Ø30,4 X 14","http://cache.lego.com/media/bricks/5/1/4619323.jpg",72
"60055-1",243223,1,"Bright Blue","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243223.jpg",105
"60055-1",4610938,1,"Bright Yellow","System: Figure, Heads And Masks",93583,"Mini Head 'No. 743'","http://cache.lego.com/media/bricks/5/1/4610938.jpg",16
"60055-1",614124,8,"Bright Yellow","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614124.jpg",294
"60055-1",4164022,1,"Bright Yellowish Green","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4164022.jpg",137
"60055-1",4537928,2,"Bright Yellowish Green","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4537928.jpg",36
"60055-1",4617069,2,"Bright Yellowish Green","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4617069.jpg",18
"60055-1",6052854,2,"Bright Yellowish Green","System: Bricks, With Slope",52501,"Inverted Roof Tile 6X1X1","http://cache.lego.com/media/bricks/5/1/6052854.jpg",3
"60055-1",6092671,2,"Bright Yellowish Green","System: Frames, Windows, Walls And Doors",15207,"Wall Element 1X4X1 Abs","http://cache.lego.com/media/bricks/5/1/6092671.jpg",5
"60055-1",6055271,1,"Bright Yellowish Green","System: Mini Figure",76382,"Mini Upper Part No 2486","http://cache.lego.com/media/bricks/5/1/6055271.jpg",2
"60055-1",4164021,1,"Bright Yellowish Green","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4164021.jpg",77
"60055-1",4537936,2,"Bright Yellowish Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4537936.jpg",88
"60055-1",4537937,2,"Bright Yellowish Green","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4537937.jpg",99
"60055-1",6066119,2,"Dark Stone Grey","System: Bricks, Special",14520,"Brick 1X4X1 2/3 W. V. Knobs","http://cache.lego.com/media/bricks/5/1/6066119.jpg",23
"60055-1",4210631,1,"Dark Stone Grey","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4210631.jpg",469
"60055-1",4646522,4,"Dark Stone Grey","System: Transportation Means, Vehicles",98282,"Brick 2X4X1 W. Screen No. 2","http://cache.lego.com/media/bricks/5/1/4646522.jpg",24
"60055-1",4259673,1,"Dark Stone Grey","System: Wheel Base",52036,"Plate 4X12 W. Bottom 2X4X2/3","http://cache.lego.com/media/bricks/5/1/4259673.jpg",61
"60055-1",6015344,2,"Medium Stone Grey","System: Bricks, Special",11211,"Brick 1X2 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/6015344.jpg",189
"60055-1",4211396,2,"Medium Stone Grey","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211396.jpg",447
"60055-1",4211572,2,"Medium Stone Grey","System: Plates, Special",30157,"Wheel Suspension 2X4 W. Snap","http://cache.lego.com/media/bricks/5/1/4211572.jpg",55
"60055-1",4244627,1,"Medium Stone Grey","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4244627.jpg",280
"60055-1",4598526,1,"Medium Stone Grey","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598526.jpg",217
"60055-1",4226995,1,"Medium Stone Grey","System: Transportation Means, Vehicles",73081,"Console W. Wheel Grey/Black","http://cache.lego.com/media/bricks/5/1/4226995.jpg",136
"60055-1",4299119,4,"Medium Stone Grey","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",55981,"Rim Wide 18/14 W. Hole Ø4.8","http://cache.lego.com/media/bricks/5/1/4299119.jpg",160
"60055-1",4244362,2,"Transparent","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4244362.jpg",236
"60055-1",4163306,1,"Transparent Brown","System: Figure, Head Clothing",2447,"Mini Visor 2","http://cache.lego.com/media/bricks/5/1/4163306.jpg",205
"60055-1",4124083,1,"Transparent Brown","System: Windscreens And Cockpits",2437,"Windscreen 36 Gr. 3X4X1 1/3","http://cache.lego.com/media/bricks/5/1/4124083.jpg",75
"60055-1",4244363,2,"Transparent Red","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4244363.jpg",209
"60055-1",302301,2,"White","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302301.jpg",799
