SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60057-1",4181144,1,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"60057-1",4526756,1,"Black","System: Figure, Wigs",62711,"Wig Lady Page","http://cache.lego.com/media/bricks/5/1/4526756.jpg",22
"60057-1",302326,3,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"60057-1",4183043,2,"Black","System: Plates, Special",44301,"Plate 1X2 W/Stub Vertical/End","http://cache.lego.com/media/bricks/5/1/4183043.jpg",106
"60057-1",4183060,2,"Black","System: Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183060.jpg",116
"60057-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"60057-1",6092658,4,"Black","System: Wheel Base",10313,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/6092658.jpg",60
"60057-1",6019724,1,"Brick Yellow","System: Bricks With Bows And Arches",10314,"Brick 1X4X1 1/3","http://cache.lego.com/media/bricks/5/1/6019724.jpg",8
"60057-1",300423,3,"Bright Blue","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300423.jpg",458
"60057-1",407923,2,"Bright Blue","System: Interior",4079,"Seat 2X2X2","http://cache.lego.com/media/bricks/5/1/407923.jpg",109
"60057-1",9341,1,"Bright Blue","System: Mini Figure",73200,"Mini Body Lowerpart Blue","http://cache.lego.com/media/bricks/5/1/9341.jpg",390
"60057-1",306923,5,"Bright Blue","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306923.jpg",165
"60057-1",9566,1,"Bright Blue","System: Transportation Means, Vehicles",73081,"Console W/St.Wheel B/Bla","http://cache.lego.com/media/bricks/5/1/9566.jpg",156
"60057-1",4629972,1,"Bright Orange","System: Mini Figure",76382,"Mini Upper Part No. 1801","http://cache.lego.com/media/bricks/5/1/4629972.jpg",11
"60057-1",389921,2,"Bright Red","System: Figure Accessories In Hand",3899,"Mug","http://cache.lego.com/media/bricks/5/1/389921.jpg",177
"60057-1",243121,1,"Bright Red","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243121.jpg",227
"60057-1",4616342,1,"Bright Red","System: Plates",6179,"Plate 4X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4616342.jpg",17
"60057-1",6054975,1,"Bright Red","System: Transportation Means, Ships",6021,"Canoe","http://cache.lego.com/media/bricks/5/1/6054975.jpg",2
"60057-1",4648281,2,"Bright Yellow","System: Figure Accessories, Upper Body",97895,"Life Jacket","http://cache.lego.com/media/bricks/5/1/4648281.jpg",37
"60057-1",4506998,1,"Bright Yellow","System: Figure, Heads And Masks",59716,"Mini Head No. 499","http://cache.lego.com/media/bricks/5/1/4506998.jpg",47
"60057-1",4651443,1,"Bright Yellow","System: Figure, Heads And Masks",99570,"Mini Head No. 893","http://cache.lego.com/media/bricks/5/1/4651443.jpg",93
