SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60065-1",4289538,1,"Black","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289538.jpg",203
"60065-1",4556158,1,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"60065-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"60065-1",615726,2,"Black","System: Wheel Base",6157,"Bearing Element 2X2 2/3","http://cache.lego.com/media/bricks/5/1/615726.jpg",241
"60065-1",6100765,1,"Brick Yellow","System: Mini Figure",76382,"Mini Upper Part No 2879","http://cache.lego.com/media/bricks/5/1/6100765.jpg",5
"60065-1",4114052,1,"Bright Red","System: Animals And Creatures",30115,"Snake","http://cache.lego.com/media/bricks/5/1/4114052.jpg",57
"60065-1",6018687,1,"Bright Yellow","System: Figure, Heads And Masks",12535,"Mini Head 'No 1091'","http://cache.lego.com/media/bricks/5/1/6018687.jpg",21
"60065-1",6021844,1,"Bright Yellow","System: Figure, Heads And Masks",12813,"Mini Head 'No 1147'","http://cache.lego.com/media/bricks/5/1/6021844.jpg",33
"60065-1",243224,1,"Bright Yellow","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243224.jpg",132
"60065-1",4183133,1,"Bright Yellowish Green","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4183133.jpg",211
"60065-1",4295260,2,"Dark Green","System: Plates",82317,"Flat Tile 1X2, Dec. 100","http://cache.lego.com/media/bricks/5/1/4295260.jpg",127
"60065-1",4210875,1,"Dark Stone Grey","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4210875.jpg",136
"60065-1",4211045,1,"Dark Stone Grey","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/4211045.jpg",118
"60065-1",6015890,1,"Dark Stone Grey","System: Connectors",11090,"Holder Ø3.2 W/Tube Ø3.2 Hole","http://cache.lego.com/media/bricks/5/1/6015890.jpg",64
"60065-1",4210934,1,"Dark Stone Grey","System: Figure, Head Clothing",41334,"Mini Pixie Cap","http://cache.lego.com/media/bricks/5/1/4210934.jpg",51
"60065-1",6071226,1,"Dark Stone Grey","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6071226.jpg",98
"60065-1",4261908,1,"Dark Stone Grey","System: Transportation Means, Vehicles",30031,"Handle W. 3.18 Stick","http://cache.lego.com/media/bricks/5/1/4261908.jpg",119
"60065-1",4162916,1,"Earth Blue","System: Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4162916.jpg",237
"60065-1",6022579,1,"Earth Blue","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/6022579.jpg",24
"60065-1",6097585,2,"Earth Blue","System: Transportation Means, Vehicles",44674,"Racers Guard 2,5 X 4","http://cache.lego.com/media/bricks/5/1/6097585.jpg",5
"60065-1",4255624,1,"Earth Green","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4255624.jpg",44
"60065-1",4505066,1,"Earth Green","System: Plants",2417,"Limb Element","http://cache.lego.com/media/bricks/5/1/4505066.jpg",39
"60065-1",4641048,1,"Medium Stone Grey","System: Figure, Weapons",97927,"Handcuffs","http://cache.lego.com/media/bricks/5/1/4641048.jpg",119
"60065-1",4211503,2,"Medium Stone Grey","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/4211503.jpg",215
"60065-1",4244627,1,"Medium Stone Grey","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4244627.jpg",280
"60065-1",6093527,1,"Medium Stone Grey","System: Signs, Flags And Poles",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/1/6093527.jpg",38
"60065-1",4211764,4,"Medium Stone Grey","System: Tyres And Rims For Snap Ø3,2",6014,"Rim Wide W. Hole Ø11","http://cache.lego.com/media/bricks/5/1/4211764.jpg",207
"60065-1",4211181,1,"Reddish Brown","System: Bricks",30137,"Palisade Brick 1X4","http://cache.lego.com/media/bricks/5/1/4211181.jpg",91
"60065-1",4211150,2,"Reddish Brown","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211150.jpg",308
"60065-1",4211186,1,"Reddish Brown","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211186.jpg",314
"60065-1",4211219,1,"Reddish Brown","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/4211219.jpg",84
"60065-1",4224732,1,"Reddish Brown","System: Plates, Special Circles And Angles",30503,"Corner Plate 45 Deg. 4X4","http://cache.lego.com/media/bricks/5/1/4224732.jpg",24
"60065-1",4598955,1,"Sand Yellow","System: Figure Accessories, Upper Body",92590,"Mini Figure Sack","http://cache.lego.com/media/bricks/5/1/4598955.jpg",53
"60065-1",6100774,1,"Sand Yellow","System: Figure, Head Clothing",11303,"Figur Head Clothing No 6","http://cache.lego.com/media/bricks/5/1/6100774.jpg",9
"60065-1",4524098,1,"Sand Yellow","System: Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4524098.jpg",88
"60065-1",3005743,2,"Transparent Blue","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005743.jpg",213
"60065-1",4646864,2,"Transparent Red","System: Plates, Special Circles And Angles",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/1/4646864.jpg",178
"60065-1",3005744,2,"Transparent Yellow","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005744.jpg",503
"60065-1",6100792,1,"White","System: Bricks, With Slope",19647,"Roof Tile 1X2X2/3, Abs 'No. 1'","http://cache.lego.com/media/bricks/5/1/6100792.jpg",4
"60065-1",6100770,1,"White","System: Mini Figure",76382,"Mini Upper Part No. 2880","http://cache.lego.com/media/bricks/5/1/6100770.jpg",6
"60065-1",6051511,1,"White","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6051511.jpg",360
"60065-1",4613256,4,"White","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4613256.jpg",104
