SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60085-1",246526,2,"Black","System: Bricks",2465,"Brick 1X16","http://cache.lego.com/media/bricks/5/1/246526.jpg",70
"60085-1",300826,2,"Black","System: Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/300826.jpg",165
"60085-1",300926,2,"Black","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",279
"60085-1",301026,1,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"60085-1",4522034,4,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"60085-1",6037664,2,"Black","System: Bricks With Bows And Arches",13731,"Brick With Bow 1X10","http://cache.lego.com/media/bricks/5/1/6037664.jpg",27
"60085-1",6037746,4,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"60085-1",6053077,1,"Black","System: Bricks With Bows And Arches",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/1/6053077.jpg",107
"60085-1",407026,2,"Black","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/407026.jpg",297
"60085-1",370026,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"60085-1",4233487,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"60085-1",303726,1,"Black","System: Bricks, With Slope",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/1/303726.jpg",123
"60085-1",366526,2,"Black","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366526.jpg",231
