SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60092-1",300526,1,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"60092-1",4181144,1,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"60092-1",4167106,2,"Black","System: Bricks, Special",30386,"Brick 1X2 Fric/Stub/Fork Vert.","http://cache.lego.com/media/bricks/5/1/4167106.jpg",29
"60092-1",4494850,1,"Black","System: Bricks, Special",2434,"Knob Stone 2X4X2","http://cache.lego.com/media/bricks/5/1/4494850.jpg",18
"60092-1",374726,1,"Black","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374726.jpg",172
"60092-1",4143372,2,"Black","System: Connectors",30553,"Fric/Fork W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4143372.jpg",146
"60092-1",614026,1,"Black","System: Fences And Ladders",6140,"Hanger 1X6","http://cache.lego.com/media/bricks/5/1/614026.jpg",70
"60092-1",4187209,1,"Black","System: Fences And Ladders",3633,"Fence 1X4X1","http://cache.lego.com/media/bricks/5/1/4187209.jpg",55
"60092-1",4106552,1,"Black","System: Figure Accessories In Hand",30089,"Camera","http://cache.lego.com/media/bricks/5/1/4106552.jpg",97
"60092-1",6006739,8,"Black","System: Figure Accessories, Upper And Lower Part",76116,"Bad Robot Arm","http://cache.lego.com/media/bricks/5/1/6006739.jpg",72
"60092-1",6107228,2,"Black","System: Mini Figure",76382,"Mini Upper Part No. 2955","http://cache.lego.com/media/bricks/4/1/6107228.jpg",6
"60092-1",6107232,2,"Black","System: Mini Figure",20584,"Mini Lower Part 'No. 827'","http://cache.lego.com/media/bricks/5/1/6107232.jpg",6
"60092-1",241226,2,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"60092-1",302226,1,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"60092-1",303426,1,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"60092-1",366626,2,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"60092-1",4565323,3,"Black","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565323.jpg",123
"60092-1",408126,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"60092-1",4225201,2,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"60092-1",4523339,1,"Black","System: Plates, Special",4595,"Motor 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4523339.jpg",72
