SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60107-1",383526,1,"Black","System",3835,"Mini Firemans Axe","https://www.lego.com/service/bricks/5/2/383526",109
"60107-1",4262023,1,"Black","System",4208,"Hose Drum","https://www.lego.com/service/bricks/5/2/4262023",16
"60107-1",4517986,1,"Black","System",61485,"Bottom W. Turntable 4X4","https://www.lego.com/service/bricks/5/2/4517986",177
"60107-1",4568644,4,"Black","System",87697,"Tyre Normal Wide Ã˜21 X 12","https://www.lego.com/service/bricks/5/2/4568644",276
"60107-1",6061032,2,"Black","System",10247,"Plate 2X2 + One Hule Ã˜4,8","https://www.lego.com/service/bricks/5/2/6061032",89
"60107-1",6063617,1,"Black","System",15210,"Four-Sided Sign With Snap","https://www.lego.com/service/bricks/5/2/6063617",20
"60107-1",6092658,4,"Black","System",10313,"Bearing Element 2X2, Single","https://www.lego.com/service/bricks/5/2/6092658",69
"60107-1",6100054,1,"Black","System",19220,"Walkie-Talkie","https://www.lego.com/service/bricks/5/2/6100054",112
"60107-1",6132595,1,"Black","System",76382,"Mini Upper Part No. 3205","https://www.lego.com/service/bricks/5/2/6132595",8
"60107-1",6132951,1,"Black","System",23924,"String 500Mm W/5.9 Ball","https://www.lego.com/service/bricks/5/2/6132951",4
"60107-1",6143335,2,"Black","System",25859,"Mini Lower Part 'No 408'","https://www.lego.com/service/bricks/5/2/6143335",17
"60107-1",6143834,1,"Black","System",76382,"Mini Upper Part No 2188","https://www.lego.com/service/bricks/5/2/6143834",14
"60107-1",4181139,2,"Bright Blue","System",44237,"Brick 2X6","https://www.lego.com/service/bricks/5/2/4181139",169
"60107-1",4206482,2,"Bright Blue","Technic",43093,"Conn.Bush W.Fric./Crossale","https://www.lego.com/service/bricks/5/2/4206482",1316
"60107-1",300421,6,"Bright Red","System",3004,"Brick 1X2","https://www.lego.com/service/bricks/5/2/300421",624
"60107-1",302121,7,"Bright Red","System",3021,"Plate 2X3","https://www.lego.com/service/bricks/5/2/302121",391
"60107-1",366021,8,"Bright Red","System",3660,"Roof Tile 2X2/45Â° Inv.","https://www.lego.com/service/bricks/5/2/366021",215
"60107-1",403221,1,"Bright Red","System",4032,"Plate 2X2 Round","https://www.lego.com/service/bricks/5/2/403221",231
"60107-1",486521,4,"Bright Red","System",4865,"Wall Element 1X2X1","https://www.lego.com/service/bricks/5/2/486521",125
"60107-1",4143832,1,"Bright Red","System",3245,"Brick 1X2X2","https://www.lego.com/service/bricks/5/2/4143832",53
"60107-1",4259903,2,"Bright Red","System",52031,"Plate 4X6X2/3","https://www.lego.com/service/bricks/5/2/4259903",37
"60107-1",4261690,1,"Bright Red","System",4209,"Drum Holder 2X4X2","https://www.lego.com/service/bricks/5/2/4261690",19
"60107-1",4534648,6,"Bright Red","System",63868,"Plate 2X1 W/Holder,Vertical","https://www.lego.com/service/bricks/5/2/4534648",57
"60107-1",4565431,2,"Bright Red","System",87609,"Plate 2X6X2/3 W 4 Hor. Knob","https://www.lego.com/service/bricks/5/2/4565431",17
"60107-1",4570470,2,"Bright Red","System",87552,"Wallelement 1X2X2","https://www.lego.com/service/bricks/5/2/4570470",16
"60107-1",4619543,1,"Bright Red","System",92410,"Cupboard 2X3X2","https://www.lego.com/service/bricks/5/2/4619543",34
"60107-1",4631877,2,"Bright Red","System",92593,"Plate 1X4 W. 2 Knobs","https://www.lego.com/service/bricks/5/2/4631877",35
"60107-1",6019155,4,"Bright Red","System",11211,"Brick 1X2 W. 2 Knobs","https://www.lego.com/service/bricks/5/2/6019155",84
"60107-1",6115324,4,"Bright Red","System",60475,"Brick 1X1 W/Holder, H0Rizontal","https://www.lego.com/service/bricks/5/2/6115324",6
"60107-1",6195914,2,"Bright Red","System",31509,"Function Element, Female","https://www.lego.com/service/bricks/5/2/6195914",9
"60107-1",4263821,2,"Bright Red","Technic",32348,"Technic Angular Beam 4X4","https://www.lego.com/service/bricks/5/2/4263821",36
"60107-1",9553,1,"Bright Yellow","System",73081,"Console W/St Wheel Ye/Bl","https://www.lego.com/service/bricks/5/2/9553",194
"60107-1",241224,4,"Bright Yellow","System",2412,"Radiator Grille 1X2","https://www.lego.com/service/bricks/5/2/241224",184
"60107-1",302024,2,"Bright Yellow","System",3020,"Plate 2X4","https://www.lego.com/service/bricks/5/2/302024",387
"60107-1",306224,1,"Bright Yellow","System",3062,"Round Brick 1X1","https://www.lego.com/service/bricks/5/2/306224",221
"60107-1",383824,1,"Bright Yellow","System",3838,"Mini Oxygen Bottles","https://www.lego.com/service/bricks/5/2/383824",65
"60107-1",407924,1,"Bright Yellow","System",4079,"Seat 2X2X2","https://www.lego.com/service/bricks/5/2/407924",149
"60107-1",4256320,1,"Bright Yellow","System",4599,"Tap Ã˜4.9/6.4","https://www.lego.com/service/bricks/5/2/4256320",112
