SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60110-1",9339,1,"Black","System",73200,"Mini Body Lower Part Black","https://www.lego.com/service/bricks/5/2/9339",742
"60110-1",241226,2,"Black","System",2412,"Radiator Grille 1X2","https://www.lego.com/service/bricks/5/2/241226",650
"60110-1",246526,2,"Black","System",2465,"Brick 1X16","https://www.lego.com/service/bricks/5/2/246526",71
"60110-1",247926,1,"Black","System",2479,"Rotor","https://www.lego.com/service/bricks/5/2/247926",154
"60110-1",292626,1,"Black","System",2926,"Bearing Plate 1X4, Double","https://www.lego.com/service/bricks/5/2/292626",140
"60110-1",346026,2,"Black","System",3460,"Plate 1X8","https://www.lego.com/service/bricks/5/2/346026",396
"60110-1",368026,3,"Black","System",3680,"Turn Plate 2X2, Lower Part","https://www.lego.com/service/bricks/5/2/368026",222
"60110-1",383526,1,"Black","System",3835,"Mini Firemans Axe","https://www.lego.com/service/bricks/5/2/383526",109
"60110-1",4159335,1,"Black","System",41532,"Stub W. Friction Bush 3 M","https://www.lego.com/service/bricks/5/2/4159335",167
"60110-1",4262023,1,"Black","System",4208,"Hose Drum","https://www.lego.com/service/bricks/5/2/4262023",16
"60110-1",4274405,1,"Black","System",2508,"Plate 1X2X4 W. Ball","https://www.lego.com/service/bricks/5/2/4274405",81
"60110-1",4278359,2,"Black","System",2654,"Slide Shoe Round 2X2","https://www.lego.com/service/bricks/5/2/4278359",308
"60110-1",4507820,4,"Black","System",30554,"Link 1M Fric/Fork/Stumpf","https://www.lego.com/service/bricks/5/2/4507820",54
"60110-1",4515368,2,"Black","System",60478,"Plate 1X2 W/Shaft Ã˜3.2","https://www.lego.com/service/bricks/5/2/4515368",218
"60110-1",4516843,2,"Black","System",59895,"Tyre D8, Sebs","https://www.lego.com/service/bricks/5/2/4516843",178
"60110-1",4517986,1,"Black","System",61485,"Bottom W. Turntable 4X4","https://www.lego.com/service/bricks/5/2/4517986",176
"60110-1",4548180,4,"Black","System",85984,"Roof Tile 1 X 2 X 2/3, Abs","https://www.lego.com/service/bricks/5/2/4548180",337
"60110-1",4568644,10,"Black","System",87697,"Tyre Normal Wide Ã˜21 X 12","https://www.lego.com/service/bricks/5/2/4568644",276
"60110-1",4598528,2,"Black","System",92280,"Plate 1X2 W. Vertical Grip","https://www.lego.com/service/bricks/5/2/4598528",244
"60110-1",4598897,1,"Black","System",64567,"Light Sword Shaft","https://www.lego.com/service/bricks/5/2/4598897",152
"60110-1",4599984,1,"Black","System",92842,"Propeller 3 Blades M/Ã˜4,8","https://www.lego.com/service/bricks/5/2/4599984",77
"60110-1",6064043,1,"Black","System",93336,"4-Edged Sign Computer Screen","https://www.lego.com/service/bricks/5/2/6064043",19
"60110-1",6092658,6,"Black","System",10313,"Bearing Element 2X2, Single","https://www.lego.com/service/bricks/5/2/6092658",69
"60110-1",6100054,1,"Black","System",19220,"Walkie-Talkie","https://www.lego.com/service/bricks/5/2/6100054",112
"60110-1",6132595,2,"Black","System",76382,"Mini Upper Part No. 3205","https://www.lego.com/service/bricks/5/2/6132595",8
"60110-1",6132615,1,"Black","System",24416,"Mini Lower Part 'No. 983'","https://www.lego.com/service/bricks/5/2/6132615",3
"60110-1",6132951,1,"Black","System",23924,"String 500Mm W/5.9 Ball","https://www.lego.com/service/bricks/5/2/6132951",4
"60110-1",6143335,3,"Black","System",25859,"Mini Lower Part 'No 408'","https://www.lego.com/service/bricks/5/2/6143335",17
"60110-1",6143834,2,"Black","System",76382,"Mini Upper Part No 2188","https://www.lego.com/service/bricks/5/2/6143834",14
