SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60123-1",265326,1,"Black","System: Bricks, Special",2653,"Sliding Piece 1X4","http://cache.lego.com/media/bricks/5/1/265326.jpg",81
"60123-1",6092876,1,"Black","System: Bricks, Special",95820,"Brick 1X2 W. Horizontal Holder","http://cache.lego.com/media/bricks/5/1/6092876.jpg",30
"60123-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"60123-1",4295400,1,"Black","System: Bricks, With Slope",56570,"Roof Tile 2X2 No. '14'","http://cache.lego.com/media/bricks/5/1/4295400.jpg",43
"60123-1",4143372,1,"Black","System: Connectors",30553,"Fric/Fork W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4143372.jpg",146
"60123-1",4159335,1,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"60123-1",6052369,1,"Black","System: Connectors",15646,"Hole Ø4.8 Ver. W. 4 Holder","http://cache.lego.com/media/bricks/5/1/6052369.jpg",18
"60123-1",436026,1,"Black","System: Figure Accessories In Hand",4360,"Camera","http://cache.lego.com/media/bricks/5/1/436026.jpg",99
"60123-1",6100054,1,"Black","System: Figure Accessories In Hand",19220,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/6100054.jpg",103
"60123-1",258426,1,"Black","System: Functional Elements",2584,"Drum Holder 2X2","http://cache.lego.com/media/bricks/5/1/258426.jpg",84
"60123-1",4517986,1,"Black","System: Functional Elements",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/1/4517986.jpg",158
"60123-1",241226,3,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"60123-1",244526,1,"Black","System: Plates",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/1/244526.jpg",220
"60123-1",302026,3,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"60123-1",302326,4,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"60123-1",302426,3,"Black","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302426.jpg",320
"60123-1",303526,1,"Black","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303526.jpg",211
"60123-1",362326,2,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"60123-1",379526,3,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"60123-1",4243819,1,"Black","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243819.jpg",273
"60123-1",4514845,2,"Black","System: Plates",60479,"Plate 1X12","http://cache.lego.com/media/bricks/5/1/4514845.jpg",92
"60123-1",6097283,1,"Black","System: Plates",15397,"Plate 3X3, Cross","http://cache.lego.com/media/bricks/5/1/6097283.jpg",10
"60123-1",373826,2,"Black","System: Plates, Special",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/1/373826.jpg",95
"60123-1",408126,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"60123-1",4527604,4,"Black","System: Plates, Special",62743,"Rotorblad 2X16","http://cache.lego.com/media/bricks/5/1/4527604.jpg",25
"60123-1",4598528,2,"Black","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598528.jpg",200
"60123-1",6016172,2,"Black","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6016172.jpg",136
"60123-1",6020193,2,"Black","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6020193.jpg",159
"60123-1",474026,2,"Black","System: Plates, Special Circles And Angles",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/1/474026.jpg",183
"60123-1",4160869,2,"Black","System: Plates, Special Circles And Angles",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160869.jpg",119
"60123-1",4161332,2,"Black","System: Plates, Special Circles And Angles",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4161332.jpg",122
"60123-1",6010831,1,"Black","System: Plates, Special Circles And Angles",74698,"Round Plate 2X2 W/Eye","http://cache.lego.com/media/bricks/5/1/6010831.jpg",65
"60123-1",6116604,1,"Black","System: Signs, Flags And Poles",21462,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/6116604.jpg",104
"60123-1",247926,1,"Black","System: Transportation Means, Aviation",2479,"Rotor","http://cache.lego.com/media/bricks/5/1/247926.jpg",142
"60123-1",6055123,1,"Black","System: Transportation Means, Aviation",15790,"Propeller Ø71.84","http://cache.lego.com/media/bricks/5/1/6055123.jpg",33
"60123-1",4539385,1,"Black","System: Transportation Means, Vehicles",64450,"Crash Bar 4X6X3","http://cache.lego.com/media/bricks/5/1/4539385.jpg",30
"60123-1",4547625,2,"Black","System: Transportation Means, Vehicles",62361,"Screen 1X6X1 W. Edge","http://cache.lego.com/media/bricks/5/1/4547625.jpg",12
"60123-1",4516843,4,"Black","System: Tyres And Rims For Snap Ø3,2",59895,"Tyre D8, Sebs","http://cache.lego.com/media/bricks/5/1/4516843.jpg",153
"60123-1",4180576,2,"Black","System: Tyres And Rims, Special",43903,"Grease Band 151Mm X 2M","http://cache.lego.com/media/bricks/5/1/4180576.jpg",26
"60123-1",4140430,1,"Black","Technic: Beams, Special",32291,"Technic Cross Block 2X1","http://cache.lego.com/media/bricks/5/1/4140430.jpg",135
"60123-1",4109810,2,"Black","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4109810.jpg",530
"60123-1",4121715,1,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
