SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60124-1",287726,10,"Black","System: Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287726.jpg",147
"60124-1",300126,4,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"60124-1",300926,4,"Black","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",279
"60124-1",611226,4,"Black","System: Bricks",6112,"Brick 1X12","http://cache.lego.com/media/bricks/5/1/611226.jpg",76
"60124-1",292126,2,"Black","System: Bricks, Special",2921,"Brick 1X1 W. Handle","http://cache.lego.com/media/bricks/5/1/292126.jpg",82
"60124-1",4163904,1,"Black","System: Bricks, Special",30389,"Brick 2X2 W/Stub Vertical","http://cache.lego.com/media/bricks/5/1/4163904.jpg",39
"60124-1",6012983,1,"Black","System: Bricks, Special",76766,"Bottom 2X5X2 1/3","http://cache.lego.com/media/bricks/5/1/6012983.jpg",40
"60124-1",306226,1,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"60124-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"60124-1",4584274,2,"Black","System: Bricks, Special Circles And Angles",87620,"Brick 2X2 W. Angle 45 Degrees","http://cache.lego.com/media/bricks/5/1/4584274.jpg",33
"60124-1",4107558,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32018,"Technic Brick 1X14, Ø4,9","http://cache.lego.com/media/bricks/5/1/4107558.jpg",107
"60124-1",4141810,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32333,"V-Engine Holder","http://cache.lego.com/media/bricks/5/1/4141810.jpg",28
"60124-1",4144567,1,"Black","System: Connectors",30396,"Ball Coupling Friction/Fork","http://cache.lego.com/media/bricks/5/1/4144567.jpg",39
"60124-1",4159335,6,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"60124-1",6015891,2,"Black","System: Connectors",11090,"Holder Ø3.2 W/Tube Ø3.2 Hole","http://cache.lego.com/media/bricks/5/1/6015891.jpg",86
"60124-1",6143318,2,"Black","System: Connectors",23443,"3.2 Shaft W/3.2 Hole","http://cache.lego.com/media/bricks/5/1/6143318.jpg",17
"60124-1",614026,1,"Black","System: Fences And Ladders",6140,"Hanger 1X6","http://cache.lego.com/media/bricks/5/1/614026.jpg",70
"60124-1",658326,2,"Black","System: Fences And Ladders",6583,"Hand Rail 1.5X6X2","http://cache.lego.com/media/bricks/5/1/658326.jpg",56
"60124-1",4187209,2,"Black","System: Fences And Ladders",3633,"Fence 1X4X1","http://cache.lego.com/media/bricks/5/1/4187209.jpg",55
"60124-1",6138603,3,"Black","System: Fences And Ladders",23444,"Lattice 3X6 Module W/Knobs","http://cache.lego.com/media/bricks/5/1/6138603.jpg",9
"60124-1",4106552,1,"Black","System: Figure Accessories In Hand",30089,"Camera","http://cache.lego.com/media/bricks/5/1/4106552.jpg",97
"60124-1",6100054,1,"Black","System: Figure Accessories In Hand",19220,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/6100054.jpg",103
"60124-1",6151289,2,"Black","System: Figure Accessories In Hand",6190,"Telephone Reciver","http://cache.lego.com/media/bricks/5/1/6151289.jpg",1
"60124-1",4501975,1,"Black","System: Figure, Special",4479,"Metal Detector","http://cache.lego.com/media/bricks/5/1/4501975.jpg",15
"60124-1",368026,1,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"60124-1",4517986,1,"Black","System: Functional Elements",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/1/4517986.jpg",158
"60124-1",6038385,1,"Black","System: Functional Elements",98285,"H. Plate Bot. 2X4 W. Ø¸4.85 H.","http://cache.lego.com/media/bricks/5/1/6038385.jpg",17
"60124-1",6138217,1,"Black","System: Functional Elements",98286,"Hinge Pl.Top 2X4 W.Ø4.85Hole","http://cache.lego.com/media/bricks/5/1/6138217.jpg",3
"60124-1",242026,2,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"60124-1",302026,5,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"60124-1",302126,1,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"60124-1",303226,1,"Black","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",282
"60124-1",303426,5,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"60124-1",306926,4,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"60124-1",362326,2,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"60124-1",366626,2,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"60124-1",371026,6,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"60124-1",379526,6,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"60124-1",395826,2,"Black","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/395826.jpg",109
"60124-1",428226,3,"Black","System: Plates",4282,"Plate 2X16","http://cache.lego.com/media/bricks/5/1/428226.jpg",119
"60124-1",663626,2,"Black","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663626.jpg",298
"60124-1",4514845,6,"Black","System: Plates",60479,"Plate 1X12","http://cache.lego.com/media/bricks/5/1/4514845.jpg",92
"60124-1",4560182,1,"Black","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560182.jpg",152
"60124-1",243226,1,"Black","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243226.jpg",233
"60124-1",317626,4,"Black","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/317626.jpg",134
"60124-1",601926,1,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"60124-1",4107761,8,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"60124-1",4258354,2,"Black","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4258354.jpg",90
"60124-1",4274405,1,"Black","System: Plates, Special",2508,"Plate 1X2X4 W. Ball","http://cache.lego.com/media/bricks/5/1/4274405.jpg",65
"60124-1",4523339,1,"Black","System: Plates, Special",4595,"Motor 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4523339.jpg",72
"60124-1",4556158,3,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"60124-1",6020193,2,"Black","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6020193.jpg",159
"60124-1",614126,1,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"60124-1",6010831,1,"Black","System: Plates, Special Circles And Angles",74698,"Round Plate 2X2 W/Eye","http://cache.lego.com/media/bricks/5/1/6010831.jpg",65
"60124-1",6048849,1,"Black","System: Plates, Special Circles And Angles",14181,"Aeroplanewing 4X9","http://cache.lego.com/media/bricks/5/1/6048849.jpg",6
"60124-1",6093525,3,"Black","System: Signs, Flags And Poles",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/1/6093525.jpg",69
"60124-1",6164379,1,"Black","System: Signs, Flags And Poles",25699,"Antenna 1X1X8","http://cache.lego.com/media/bricks/5/1/6164379.jpg",7
"60124-1",4599984,3,"Black","System: Transportation Means, Aviation",92842,"Propeller 3 Blades M/Ø4,8","http://cache.lego.com/media/bricks/5/1/4599984.jpg",66
"60124-1",4542671,1,"Black","System: Transportation Means, Vehicles",52031,"Plate 4X6X2/3","http://cache.lego.com/media/bricks/5/1/4542671.jpg",26
"60124-1",6117932,1,"Black","System: Transportation Means, Vehicles",21709,"Shovel 4X6X2 1/3 Fric/Fork","http://cache.lego.com/media/bricks/4/1/6117932.jpg",7
"60124-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"60124-1",4506553,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56891,"Tyre Balloon Wide Ø 37X18","http://cache.lego.com/media/bricks/5/1/4506553.jpg",38
"60124-1",4619323,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",92402,"Tyre Normal Wide Ø30,4 X 14","http://cache.lego.com/media/bricks/5/1/4619323.jpg",72
"60124-1",662826,1,"Black","Technic: Connectors",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/1/662826.jpg",77
"60124-1",4121715,8,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"60124-1",4140801,4,"Black","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",359
"60124-1",4526982,1,"Black","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526982.jpg",183
"60124-1",4114295,2,"Black","Technic: Half Beams",32065,"Technic 7M Half Beam","http://cache.lego.com/media/bricks/5/1/4114295.jpg",47
