SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60141-1",9339,1,"Black","System",73200,"Mini Body Lower Part Black","https://www.lego.com/service/bricks/5/2/9339",748
"60141-1",241226,2,"Black","System",2412,"Radiator Grille 1X2","https://www.lego.com/service/bricks/5/2/241226",655
"60141-1",244526,1,"Black","System",2445,"Plate 2X12","https://www.lego.com/service/bricks/5/2/244526",243
"60141-1",247926,1,"Black","System",2479,"Rotor","https://www.lego.com/service/bricks/5/2/247926",154
"60141-1",300126,1,"Black","System",3001,"Brick 2X4","https://www.lego.com/service/bricks/5/2/300126",572
"60141-1",300326,1,"Black","System",3003,"Brick 2X2","https://www.lego.com/service/bricks/5/2/300326",573
"60141-1",300426,2,"Black","System",3004,"Brick 1X2","https://www.lego.com/service/bricks/5/2/300426",757
"60141-1",302026,4,"Black","System",3020,"Plate 2X4","https://www.lego.com/service/bricks/5/2/302026",951
"60141-1",302226,1,"Black","System",3022,"Plate 2X2","https://www.lego.com/service/bricks/5/2/302226",925
"60141-1",302826,3,"Black","System",3028,"Plate 6X12","https://www.lego.com/service/bricks/5/2/302826",80
"60141-1",303026,3,"Black","System",3030,"Plate 4X10","https://www.lego.com/service/bricks/5/2/303026",123
"60141-1",303226,2,"Black","System",3032,"Plate 4X6","https://www.lego.com/service/bricks/5/2/303226",307
"60141-1",303326,3,"Black","System",3033,"Plate 6X10","https://www.lego.com/service/bricks/5/2/303326",76
"60141-1",303426,1,"Black","System",3034,"Plate 2X8","https://www.lego.com/service/bricks/5/2/303426",455
"60141-1",303526,4,"Black","System",3035,"Plate 4X8","https://www.lego.com/service/bricks/5/2/303526",228
"60141-1",306826,1,"Black","System",3068,"Flat Tile 2X2","https://www.lego.com/service/bricks/5/2/306826",442
"60141-1",371026,4,"Black","System",3710,"Plate 1X4","https://www.lego.com/service/bricks/5/2/371026",915
"60141-1",395826,3,"Black","System",3958,"Plate 6X6","https://www.lego.com/service/bricks/5/2/395826",131
"60141-1",400626,1,"Black","System",4006,"Screwdriver/Spanner","https://www.lego.com/service/bricks/5/2/400626",244
"60141-1",416126,5,"Black","System",4161,"Roof Tile 3X3/25Â°","https://www.lego.com/service/bricks/5/2/416126",29
"60141-1",428626,3,"Black","System",4286,"Roof Tile 1X3/25Â°","https://www.lego.com/service/bricks/5/2/428626",220
"60141-1",447726,4,"Black","System",4477,"Plate 1X10","https://www.lego.com/service/bricks/5/2/447726",261
"60141-1",4106552,1,"Black","System",30089,"Camera","https://www.lego.com/service/bricks/5/2/4106552",114
