SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"6858-1",4522034,1,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"6858-1",6037746,1,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"6858-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"6858-1",4504382,2,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"6858-1",4273590,1,"Black","System: Decoration Elements",49668,"Plate 1X1 W/Tooth","http://cache.lego.com/media/bricks/5/1/4273590.jpg",105
"6858-1",400626,1,"Black","System: Figure Accessories In Hand",4006,"Screwdriver/Spanner","http://cache.lego.com/media/bricks/5/1/400626.jpg",219
"6858-1",4651849,1,"Black","System: Figure, Head Clothing",98729,"Figur Hjelm No 2","http://cache.lego.com/media/bricks/5/1/4651849.jpg",2
"6858-1",4650620,1,"Black","System: Figure, Weapons",98721,"Boomerang Wing","http://cache.lego.com/media/bricks/5/1/4650620.jpg",44
"6858-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"6858-1",4655228,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.1954","http://cache.lego.com/media/bricks/5/1/4655228.jpg",1
"6858-1",6032100,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.1954","http://cache.lego.com/media/bricks/5/1/6032100.jpg",1
"6858-1",4523339,2,"Black","System: Plates, Special",4595,"Motor 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4523339.jpg",72
"6858-1",4598528,2,"Black","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598528.jpg",200
"6858-1",403226,2,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"6858-1",6010831,1,"Black","System: Plates, Special Circles And Angles",74698,"Round Plate 2X2 W/Eye","http://cache.lego.com/media/bricks/5/1/6010831.jpg",65
"6858-1",4244953,2,"Black","System: Tyres And Rims, Special",50861,"Tyre Ã˜ 20.9 X 5.8","http://cache.lego.com/media/bricks/5/1/4244953.jpg",22
"6858-1",6064174,2,"Black","System: Tyres And Rims, Special",50861,"Tyre Ã˜ 20.9 X 5.8","http://cache.lego.com/media/bricks/5/1/6064174.jpg",49
"6858-1",4530673,1,"Black","System: Wheel Base",50859,"Motorcycle Frame 6M","http://cache.lego.com/media/bricks/5/1/4530673.jpg",49
"6858-1",370726,1,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
"6858-1",4107085,1,"Black","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",347
"6858-1",4512363,2,"Black","Technic: Connectors",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/1/4512363.jpg",249
"6858-1",4124460,2,"Brick Yellow","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/4124460.jpg",55
"6858-1",300323,1,"Bright Blue","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300323.jpg",359
"6858-1",300423,1,"Bright Blue","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300423.jpg",458
"6858-1",4651236,1,"Bright Blue","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4651236.jpg",58
"6858-1",302323,3,"Bright Blue","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302323.jpg",407
"6858-1",243223,1,"Bright Blue","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243223.jpg",105
"6858-1",4143005,1,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"6858-1",4142865,2,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"6858-1",362324,3,"Bright Yellow","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362324.jpg",156
"6858-1",403224,1,"Bright Yellow","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403224.jpg",123
"6858-1",4540386,2,"Dark Stone Grey","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4540386.jpg",261
"6858-1",4211052,2,"Dark Stone Grey","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4211052.jpg",283
"6858-1",4210956,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",30504,"Corner Plate 45 Deg. 8X8","http://cache.lego.com/media/bricks/5/1/4210956.jpg",11
"6858-1",4547222,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",30504,"Corner Plate 45 Deg. 8X8","http://cache.lego.com/media/bricks/5/1/4547222.jpg",10
"6858-1",4651762,1,"Earth Blue","System: Figure Accessories, Upper Body",98722,"Wing Hole Ã˜ 4,9","http://cache.lego.com/media/bricks/5/1/4651762.jpg",1
"6858-1",6022326,1,"Earth Blue","System: Figure, Head Clothing",10113,"Mask, Batman","http://cache.lego.com/media/bricks/5/1/6022326.jpg",5
"6858-1",4652294,1,"Light Nougat","System: Figure, Heads And Masks",99785,"Mini Head 'No. 896'","http://cache.lego.com/media/bricks/5/1/4652294.jpg",23
"6858-1",4655209,1,"Light Nougat","System: Figure, Heads And Masks",73027,"Mini Head 'No. 906'","http://cache.lego.com/media/bricks/5/1/4655209.jpg",1
"6858-1",4655193,1,"Medium Lilac","System: Transportation Means, Vehicles",89536,"Motor Cycle Fairing","http://cache.lego.com/media/bricks/5/1/4655193.jpg",1
"6858-1",4512228,1,"Medium Stone Grey","System: Mini Figure",73200,"Mini Lower Part 194/140","http://cache.lego.com/media/bricks/5/1/4512228.jpg",6
"6858-1",4569544,1,"Medium Stone Grey","System: Mini Figure",73200,"Mini Lower Part 194/140","http://cache.lego.com/media/bricks/5/1/4569544.jpg",4
"6858-1",4653962,1,"Medium Stone Grey","System: Mini Figure",76382,"Mini Upper Part No.1948","http://cache.lego.com/media/bricks/5/1/4653962.jpg",3
"6858-1",4211350,2,"Medium Stone Grey","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4211350.jpg",431
"6858-1",4211356,1,"Medium Stone Grey","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4211356.jpg",323
"6858-1",4211542,1,"Medium Stone Grey","System: Plates, Special",32001,"Plate 2X6 W. Holes","http://cache.lego.com/media/bricks/5/1/4211542.jpg",84
"6858-1",4590443,2,"Medium Stone Grey","System: Tyres And Rims, Special",50862,"Rim Ã˜ 14.58 X 8","http://cache.lego.com/media/bricks/5/1/4590443.jpg",50
"6858-1",4211508,2,"Medium Stone Grey","Technic: Functional Elements, Others",4697,"T-Piece","http://cache.lego.com/media/bricks/5/1/4211508.jpg",188
"6858-1",4211210,3,"Reddish Brown","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4211210.jpg",169
"6858-1",4569747,1,"Reddish Brown","System: Figure, Weapons",88704,"Whip Long, Stick Ã˜3.2","http://cache.lego.com/media/bricks/5/1/4569747.jpg",13
"6858-1",6080389,1,"Reddish Brown","System: Figure, Weapons",88704,"Whip Long, Stick Ã˜3.2","http://cache.lego.com/media/bricks/5/1/6080389.jpg",14
"6858-1",4520638,2,"Reddish Brown","System: Interior",61780,"Box 2X2X2","http://cache.lego.com/media/bricks/5/1/4520638.jpg",66
"6858-1",4271949,5,"Reddish Brown","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/4271949.jpg",86
"6858-1",4636105,1,"Silver Metallic","System: Figure, Weapons",88811,"Hassansin Braces, Wolverine","http://cache.lego.com/media/bricks/5/1/4636105.jpg",14
"6858-1",4655241,1,"Silver Metallic","System: Plates, Special Circles And Angles",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/1/4655241.jpg",77
"6858-1",4244362,1,"Transparent","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4244362.jpg",236
"6858-1",4248937,1,"Transparent","System: Figure Accessories In Hand",30153,"Diamond With Stick","http://cache.lego.com/media/bricks/5/1/4248937.jpg",71
"6858-1",3005748,3,"Transparent Green","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005748.jpg",353
"6858-1",4163917,2,"Transparent Light Blue","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/4163917.jpg",279
"6858-1",3005741,4,"Transparent Red","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005741.jpg",948
"6858-1",3005744,3,"Transparent Yellow","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005744.jpg",503
"6858-1",4655208,2,"White","System: Plates",73021,"Flat Tile 2X2 'No.201'","http://cache.lego.com/media/bricks/5/1/4655208.jpg",18
