SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"6860-1",9339,1,"Black","System",73200,"Mini Body Lower Part Black","https://www.lego.com/service/bricks/5/2/9339",742
"6860-1",241926,1,"Black","System",2419,"Corner Plate 3X6","https://www.lego.com/service/bricks/5/2/241926",128
"6860-1",292126,2,"Black","System",2921,"Brick 1X1 W. Handle","https://www.lego.com/service/bricks/5/2/292126",71
"6860-1",302026,1,"Black","System",3020,"Plate 2X4","https://www.lego.com/service/bricks/5/2/302026",947
"6860-1",302226,2,"Black","System",3022,"Plate 2X2","https://www.lego.com/service/bricks/5/2/302226",922
"6860-1",302926,1,"Black","System",3029,"Plate 4X12","https://www.lego.com/service/bricks/5/2/302926",110
"6860-1",303226,1,"Black","System",3032,"Plate 4X6","https://www.lego.com/service/bricks/5/2/303226",306
"6860-1",303526,1,"Black","System",3035,"Plate 4X8","https://www.lego.com/service/bricks/5/2/303526",228
"6860-1",303926,5,"Black","System",3039,"Roof Tile 2X2/45Â°","https://www.lego.com/service/bricks/5/2/303926",303
"6860-1",346026,2,"Black","System",3460,"Plate 1X8","https://www.lego.com/service/bricks/5/2/346026",396
"6860-1",362226,1,"Black","System",3622,"Brick 1X3","https://www.lego.com/service/bricks/5/2/362226",307
"6860-1",362326,2,"Black","System",3623,"Plate 1X3","https://www.lego.com/service/bricks/5/2/362326",501
"6860-1",366026,3,"Black","System",3660,"Roof Tile 2X2/45Â° Inv.","https://www.lego.com/service/bricks/5/2/366026",336
"6860-1",366526,4,"Black","System",3665,"Roof Tile 1X2 Inv.","https://www.lego.com/service/bricks/5/2/366526",249
"6860-1",366626,6,"Black","System",3666,"Plate 1X6","https://www.lego.com/service/bricks/5/2/366626",632
"6860-1",370126,1,"Black","System",3701,"Technic Brick 1X4, Ã˜4,9","https://www.lego.com/service/bricks/5/2/370126",247
"6860-1",370226,2,"Black","System",3702,"Technic Brick 1X8","https://www.lego.com/service/bricks/5/2/370226",198
"6860-1",371026,3,"Black","System",3710,"Plate 1X4","https://www.lego.com/service/bricks/5/2/371026",909
"6860-1",379526,1,"Black","System",3795,"Plate 2X6","https://www.lego.com/service/bricks/5/2/379526",708
"6860-1",393726,3,"Black","System",3937,"Rocker Bearing 1X2","https://www.lego.com/service/bricks/5/2/393726",246
"6860-1",415126,3,"Black","System",4151,"Grid Plate 8X8","https://www.lego.com/service/bricks/5/2/415126",29
"6860-1",434926,1,"Black","System",4349,"Megaphone","https://www.lego.com/service/bricks/5/2/434926",172
"6860-1",447726,3,"Black","System",4477,"Plate 1X10","https://www.lego.com/service/bricks/5/2/447726",260
"6860-1",602026,2,"Black","System",6020,"Lattice 1X4X6 W. Snap","https://www.lego.com/service/bricks/5/2/602026",99
"6860-1",614026,2,"Black","System",6140,"Hanger 1X6","https://www.lego.com/service/bricks/5/2/614026",77
"6860-1",654126,2,"Black","System",6541,"Technic Brick 1X1","https://www.lego.com/service/bricks/5/2/654126",234
"6860-1",663626,2,"Black","System",6636,"Flat Tile 1X6","https://www.lego.com/service/bricks/5/2/663626",325
"6860-1",4106513,1,"Black","System",30103,"Bat","https://www.lego.com/service/bricks/5/2/4106513",69
"6860-1",4114294,4,"Black","System",32064,"Brick 1X2 With Cross Hole","https://www.lego.com/service/bricks/5/2/4114294",153
"6860-1",4140588,4,"Black","System",2540,"Plate 1X2 W. Stick","https://www.lego.com/service/bricks/5/2/4140588",401
"6860-1",4162443,4,"Black","System",30414,"Brick 1X4 W. 4 Knobs","https://www.lego.com/service/bricks/5/2/4162443",168
"6860-1",4180576,2,"Black","System",43903,"Grease Band 151Mm X 2M","https://www.lego.com/service/bricks/5/2/4180576",27
"6860-1",4219107,1,"Black","System",47753,"Brick 4X4 W. Bow/Angle","https://www.lego.com/service/bricks/5/2/4219107",38
"6860-1",4227684,2,"Black","System",2450,"Corner Plate 45 Deg. 3X3","https://www.lego.com/service/bricks/5/2/4227684",100
"6860-1",4251161,2,"Black","System",50950,"Brick W/Bow 1/3","https://www.lego.com/service/bricks/5/2/4251161",159
"6860-1",4288212,4,"Black","System",30236,"Brick 1X2 With Stick","https://www.lego.com/service/bricks/5/2/4288212",73
"6860-1",4297713,1,"Black","System",30350,"Plate 2X3 W. Holder","https://www.lego.com/service/bricks/5/2/4297713",50
"6860-1",4500902,1,"Black","System",6585,"Conical Wheel Block 4X4","https://www.lego.com/service/bricks/5/2/4500902",40
"6860-1",4513539,4,"Black","System",59349,"Wall Element 1X6X5, Abs","https://www.lego.com/service/bricks/5/2/4513539",14
"6860-1",4515340,8,"Black","System",60471,"Plate 1X2 W/Fork, Vertical","https://www.lego.com/service/bricks/5/2/4515340",90
"6860-1",4517925,1,"Black","System",61252,"Plate 1X1 W/Holder Vertical","https://www.lego.com/service/bricks/5/2/4517925",368
"6860-1",4525236,2,"Black","System",47755,"Plate 2X4X1 1/3 W. Side Bow","https://www.lego.com/service/bricks/5/2/4525236",26
"6860-1",4531412,1,"Black","System",51739,"Plate 2X4X18Â°","https://www.lego.com/service/bricks/5/2/4531412",80
"6860-1",4548180,2,"Black","System",85984,"Roof Tile 1 X 2 X 2/3, Abs","https://www.lego.com/service/bricks/5/2/4548180",337
"6860-1",4566308,4,"Black","System",2453,"Brick 1X1X5","https://www.lego.com/service/bricks/5/2/4566308",31
"6860-1",4599461,1,"Black","System",92584,"Corner Plate 10X10","https://www.lego.com/service/bricks/5/2/4599461",8
"6860-1",4604304,2,"Black","System",92692,"Plate 1X2 W.Ã˜3.2 Shaft 22.5 D.","https://www.lego.com/service/bricks/5/2/4604304",61
"6860-1",4619323,1,"Black","System",92402,"Tyre Normal Wide Ã˜30,4 X 14","https://www.lego.com/service/bricks/5/2/4619323",88
"6860-1",4639695,1,"Black","System",89201,"Tyre Low Wide Ã˜24 X 14","https://www.lego.com/service/bricks/5/2/4639695",43
"6860-1",4647286,1,"Black","System",93606,"Brick W. Bow 2X4","https://www.lego.com/service/bricks/5/2/4647286",54
"6860-1",4650620,2,"Black","System",98721,"Boomerang Wing","https://www.lego.com/service/bricks/5/2/4650620",56
"6860-1",4652745,1,"Black","System",56630,"Special Mantle","https://www.lego.com/service/bricks/5/2/4652745",7
"6860-1",4653226,1,"Black","System",99930,"Mini Wig, No. 22","https://www.lego.com/service/bricks/5/2/4653226",19
"6860-1",4654944,1,"Black","System",92081,"Mini Wig No. 11","https://www.lego.com/service/bricks/5/2/4654944",24
"6860-1",4667814,1,"Black","System",76631,"Round Plate Ã˜32X6.4, 'No.11'","https://www.lego.com/service/bricks/5/2/4667814",2
"6860-1",6032117,1,"Black","System",75906,"Mini Head 'No.936'","https://www.lego.com/service/bricks/5/2/6032117",2
"6860-1",6037390,2,"Black","System",93888,"Brick 2X8","https://www.lego.com/service/bricks/5/2/6037390",41
"6860-1",6106280,1,"Black","System",19798,"Undercarriage 2X2X2","https://www.lego.com/service/bricks/5/2/6106280",25
"6860-1",370526,1,"Black","Technic",3705,"Cross Axle 4M","https://www.lego.com/service/bricks/5/2/370526",1015
"6860-1",4142135,4,"Black","Technic",32316,"Technic 5M Beam","https://www.lego.com/service/bricks/5/2/4142135",232
"6860-1",4177431,1,"Black","Technic",32270,"Double Conical Wheel Z12 1M","https://www.lego.com/service/bricks/5/2/4177431",316
"6860-1",4542573,2,"Black","Technic",64871,"Technic 15M Beam","https://www.lego.com/service/bricks/5/2/4542573",138
"6860-1",6093977,1,"Black","Technic",18575,"Double Conical Wheel Z20 1M","https://www.lego.com/service/bricks/5/2/6093977",64
"6860-1",4113233,2,"Brick Yellow","System",3710,"Plate 1X4","https://www.lego.com/service/bricks/5/2/4113233",244
"6860-1",4117070,2,"Brick Yellow","System",3062,"Round Brick 1X1","https://www.lego.com/service/bricks/5/2/4117070",145
"6860-1",4565452,2,"Brick Yellow","Technic",6589,"Conical Wheel Z12","https://www.lego.com/service/bricks/5/2/4565452",177
"6860-1",4666579,4,"Brick Yellow","Technic",6562,"Connector Peg/Cross Axle","https://www.lego.com/service/bricks/5/2/4666579",714
"6860-1",4206482,4,"Bright Blue","Technic",43093,"Conn.Bush W.Fric./Crossale","https://www.lego.com/service/bricks/5/2/4206482",1312
"6860-1",4654448,1,"Bright Orange","System",96874,"Element Seperator","https://www.lego.com/service/bricks/5/2/4654448",424
"6860-1",9442,1,"Bright Red","System",73200,"Mini Body Lowerpart Bl/R","https://www.lego.com/service/bricks/5/2/9442",38
"6860-1",9552,1,"Bright Red","System",73081,"Console W Wheel Red/Blac","https://www.lego.com/service/bricks/5/2/9552",164
