SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"6863-1",300526,2,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"6863-1",4522034,2,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"6863-1",4567440,4,"Black","System: Bricks With Bows And Arches",85970,"Brick With Bow 1X10","http://cache.lego.com/media/bricks/5/1/4567440.jpg",5
"6863-1",4613153,1,"Black","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4613153.jpg",78
"6863-1",6037664,4,"Black","System: Bricks With Bows And Arches",13731,"Brick With Bow 1X10","http://cache.lego.com/media/bricks/5/1/6037664.jpg",27
"6863-1",6037746,2,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"6863-1",4160108,1,"Black","System: Bricks With Special Bows And Angles",41747,"Right Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4160108.jpg",50
"6863-1",4160130,1,"Black","System: Bricks With Special Bows And Angles",41748,"Left Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4160130.jpg",50
"6863-1",4161266,1,"Black","System: Bricks With Special Bows And Angles",41764,"Right Shell 2X6W/Bow/Angle,Inv","http://cache.lego.com/media/bricks/5/1/4161266.jpg",21
"6863-1",4161281,1,"Black","System: Bricks With Special Bows And Angles",41765,"Left Shell 2X6W/Bow/Angle,Inv","http://cache.lego.com/media/bricks/5/1/4161281.jpg",21
"6863-1",4219107,2,"Black","System: Bricks With Special Bows And Angles",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/1/4219107.jpg",37
"6863-1",473326,1,"Black","System: Bricks, Special",4733,"Brick 1X1 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/473326.jpg",135
"6863-1",4162443,1,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"6863-1",370026,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"6863-1",370126,3,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370126.jpg",223
"6863-1",389426,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3894,"Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/1/389426.jpg",160
"6863-1",366026,2,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"6863-1",366526,2,"Black","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366526.jpg",231
"6863-1",374726,1,"Black","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374726.jpg",172
"6863-1",4515362,2,"Black","System: Bricks, With Slope",60477,"Roof Tile 1X4X1","http://cache.lego.com/media/bricks/5/1/4515362.jpg",55
"6863-1",4548180,2,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"6863-1",4667463,1,"Black","System: Cranes And Scaffold",95347,"Lattice Tower 2X2X10 W/Cross","http://cache.lego.com/media/bricks/5/1/4667463.jpg",34
"6863-1",4636410,3,"Black","System: Decoration Elements",57906,"Flap 3X12X2/3 W. Fork","http://cache.lego.com/media/bricks/5/1/4636410.jpg",16
"6863-1",4157108,1,"Black","System: Figure, Head Clothing",41334,"Mini Pixie Cap","http://cache.lego.com/media/bricks/5/1/4157108.jpg",86
"6863-1",4653244,1,"Black","System: Figure, Head Clothing",55704,"Mask, Batman","http://cache.lego.com/media/bricks/5/1/4653244.jpg",1
"6863-1",6014618,1,"Black","System: Figure, Head Clothing",10113,"Mask, Batman","http://cache.lego.com/media/bricks/5/1/6014618.jpg",32
"6863-1",4273400,2,"Black","System: Figure, Weapons",53454,"Axe Head W Hole Ø 3.2","http://cache.lego.com/media/bricks/5/1/4273400.jpg",6
"6863-1",4549989,1,"Black","System: Figure, Weapons",85973,"Tommy Gun","http://cache.lego.com/media/bricks/5/1/4549989.jpg",12
"6863-1",4650620,1,"Black","System: Figure, Weapons",98721,"Boomerang Wing","http://cache.lego.com/media/bricks/5/1/4650620.jpg",44
"6863-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"6863-1",4655565,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.1961","http://cache.lego.com/media/bricks/5/1/4655565.jpg",9
"6863-1",242026,2,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"6863-1",302326,2,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"6863-1",306826,2,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"6863-1",383226,2,"Black","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/383226.jpg",254
"6863-1",416226,4,"Black","System: Plates",4162,"Flat Tile 1X8","http://cache.lego.com/media/bricks/5/1/416226.jpg",229
"6863-1",617926,1,"Black","System: Plates",6179,"Plate 4X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/617926.jpg",67
"6863-1",4100378,2,"Black","System: Plates",6180,"Plate 4X6 W. 12 Knobs","http://cache.lego.com/media/bricks/5/1/4100378.jpg",60
"6863-1",3200126,2,"Black","System: Plates, Special",32001,"1Plate 2X6 W. Holes","http://cache.lego.com/media/bricks/5/1/3200126.jpg",108
"6863-1",4183060,4,"Black","System: Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183060.jpg",116
"6863-1",4225201,1,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
